label,Lexikalizazioa copia,wikidata,label_lang,source_url,def,def_lang
Coadyuvante,Coadyuvante,,es, https://www.unodc.org/documents/scientific/Terminology_and_Information_on_Drugs_S_3rd_Edition.pdf ,"Medicamento, sustancia o procedimiento que se utiliza de forma adicional para reforzar o aumentar la eficacia del tratamiento inicial",es
Consumo crónico,Consumo crónico,,es, https://www.unodc.org/documents/scientific/Terminology_and_Information_on_Drugs_S_3rd_Edition.pdf ,"Consumo prolongado, continuo, frecuente, intensivo o a largo plazo de una sustancia durante un determinado período, que produce efectos adversos graves en la salud.",es
Consumo oral,Consumo oral,,es, https://www.unodc.org/documents/scientific/Terminology_and_Information_on_Drugs_S_3rd_Edition.pdf ,Administración de la sustancia por la boca. Las sustancias se ingieren en forma de comprimidos o cápsulas y el sistema digestivo las descompone en metabolitos,es
Dependencia (de las drogas),substance dependence,Q3378593,es, https://www.unodc.org/documents/scientific/Terminology_and_Information_on_Drugs_S_3rd_Edition.pdf,"Necesidad de consumir dosis de dicha droga de forma repetida e indica que una persona presenta un deterioro del control sobre el consumo de la sustancia, ya que sigue consumiéndola a pesar de las consecuencias adversas.",es
Detección de drogas,Detección de drogas,,es, https://www.unodc.org/documents/scientific/Terminology_and_Information_on_Drugs_S_3rd_Edition.pdf ,"Localización y análisis químico de drogas en materiales incautados y muestras biológicas, es decir, en los fluidos corporales (orina, sangre, saliva), el cabello u otros tejidos para detectar la presencia de una o varias sustancias psicoactivas",es
Dosis,dose,Q473420,es,https://www.unodc.org/documents/scientific/Terminology_and_Information_on_Drugs_S_3rd_Edition.pdf,"Cantidad de una sustancia que se necesita para provocar la respuesta deseada en una persona, tanto en la medicina como en lo que se refiere al uso indebido",es
Droga,drug,Q8386,es,https://drogues.gencat.cat/es/ciutadania/sobre_les_drogues/que_son/index.html,"Sustancias que, cuando se introducen en el organismo, actúan sobre el sistema nervioso central. Esto provoca cambios que pueden afectar a la conducta, el estado de ánimo o la percepción.",es
Droga legal,legal intoxicant,Q1812358,es,https://www.unodc.org/documents/scientific/Terminology_and_Information_on_Drugs_S_3rd_Edition.pdf,"Droga que está legalmente disponible mediante prescripción médica o en algunas ocasiones también sin ella, en una determinada jurisdicción.",es
Efectos agudos,Efectos agudos,,es, https://www.unodc.org/documents/scientific/Terminology_and_Information_on_Drugs_S_3rd_Edition.pdf ,Efectos que produce una sola dosis de una droga o la administración continua de esta durante un período corto de tiempo.,es
Estimulante,stimulant,Q211036,es, https://www.unodc.org/documents/scientific/Terminology_and_Information_on_Drugs_S_3rd_Edition.pdf ,"En referencia al sistema nervioso central, cualquier sustancia que activa, potencia o incrementa la actividad neuronal. . Son ejemplos los estimulantes de tipo anfetamínico, la cocaína, la cafeína, la nicotina, etcétera. ",es
Estupefaciente,narcotic,Q940,es,https://dle.rae.es/estupefaciente,"Dicho de una sustancia que altera la sensibilidad y puede producir efectos estimulantes, deprimentes, narcóticos o alucinógenos, y cuyo uso continuado crea adicción. ",es
Farmacología,pharmacology,Q128406,es, https://www.unodc.org/documents/scientific/Terminology_and_Information_on_Drugs_S_3rd_Edition.pdf ,"Ciencia que se ocupa del estudio de los fármacos, lo que incluye su origen, apariencia, composición química, propiedades, mecanismos de acción biológica y usos terapéuticos. ",es
Hipnótico,hypnotic,Q62962,es, https://www.unodc.org/documents/scientific/Terminology_and_Information_on_Drugs_S_3rd_Edition.pdf ,Depresor del sistema nervioso central que tiene la capacidad de inducir sueño,es
Inhalación nasal,nasal administration,Q6966562,es, https://www.unodc.org/documents/scientific/Terminology_and_Information_on_Drugs_S_3rd_Edition.pdf ,"Consumo de una droga en forma de polvo o líquido, inhalándola por la nariz o “esnifándola”. Los efectos se empiezan a sentir de manera casi inmediata, ya que las partículas de la sustancia pueden atravesar las membranas mucosas de la nariz, muy cerca del cerebro.",es
Intramuscular,intramuscular injection,Q432083,es, https://www.unodc.org/documents/scientific/Terminology_and_Information_on_Drugs_S_3rd_Edition.pdf ,Cuando se inyecta a través de un músculo. Este es el método más lento en lo que respecta a la transmisión a todo el organismo.,es
intravenosa (IV),intravenous administration,Q29913953,es, https://www.unodc.org/documents/scientific/Terminology_and_Information_on_Drugs_S_3rd_Edition.pdf ,"Cuando se inyecta a través de las venas. Este es el método de distribución más rápido, ya que la droga se introduce directamente en el torrente sanguíneo. ",es
Inyección,injection,Q245359,es, https://www.unodc.org/documents/scientific/Terminology_and_Information_on_Drugs_S_3rd_Edition.pdf ,Administración de una droga a través de la piel por medio de una jeringuilla o cualquier otra herramienta de inyección,es
Modo de administración,Modo de administración,,es, https://www.unodc.org/documents/scientific/Terminology_and_Information_on_Drugs_S_3rd_Edition.pdf ,"Forma en que se introduce una sustancia en el organismo. Son las siguientes: vía oral; inyección intravenosa (IV), subcutánea o intramuscular; inhalación; fumada, o por absorción a través de la piel o la superficie de las mucosas, como las encías, el recto o los genitales.",es
Predisposición al abuso,Predisposición al abuso,,es, https://www.unodc.org/documents/scientific/Terminology_and_Information_on_Drugs_S_3rd_Edition.pdf ,"Inclinación hacia una sustancia psicoactiva concreta susceptible de abuso, definido por la probabilidad relativa de que su consumo provoque problemas sociales, psicológicos y físicos para una persona o para la sociedad.",es
Psicodélico,psychedelic drug,Q2314176,es, https://www.unodc.org/documents/scientific/Terminology_and_Information_on_Drugs_S_3rd_Edition.pdf ,"La característica que distingue a las drogas “psicodélicas” es su capacidad de inducir estados de alteración de la percepción, el pensamiento y las sensaciones que únicamente se experimentan en los sueños o en momentos de exaltación religiosa; pueden producir alucinaciones, aunque no necesariamente.",es
Síndrome de abstinencia,drug withdrawal,Q498902,es, https://www.unodc.org/documents/scientific/Terminology_and_Information_on_Drugs_S_3rd_Edition.pdf ,"Conjunto de síntomas con grado de intensidad y agrupamiento variables que aparecen al suspender o reducir el consumo de una sustancia psicoactiva que se ha consumido de forma repetida, habitualmente durante un período prolongado o en dosis altas.",es
Sobredosis,drug overdose,Q3505252,es, https://www.unodc.org/documents/scientific/Terminology_and_Information_on_Drugs_S_3rd_Edition.pdf ,Consumo de cualquier droga o medicamento en una cantidad que provoca efectos adversos agudos físicos o mentales. La sobredosis puede producir efectos pasajeros o prolongados e incluso la muerte; la dosis mortal de una sustancia concreta varía en cada persona y según las circunstancias.,es
Subcutánea,subcutaneous injection,Q2035485,es, https://www.unodc.org/documents/scientific/Terminology_and_Information_on_Drugs_S_3rd_Edition.pdf ,Cuando se inyecta en la capa que se encuentra inmediatamente debajo de la piel. Se trata de un método de transmisión relativamente lento.,es
Sustancia psicotrópica o psicoactiva,psychotropic drug,Q12830468,es, https://www.unodc.org/documents/scientific/Terminology_and_Information_on_Drugs_S_3rd_Edition.pdf ,Cualquier sustancia química que afecta a la mente o a los procesos mentales (cualquier droga psicoactiva).,es
Tolerancia,drug tolerance,Q1425425,es, https://www.unodc.org/documents/scientific/Terminology_and_Information_on_Drugs_S_3rd_Edition.pdf ,"Disminución de la respuesta a una dosis concreta de una droga o un medicamento que se produce con el uso continuado, es decir, que se necesitan dosis más altas de la sustancia para conseguir los efectos que se obtenían al principio con dosis más bajas.",es
Tráfico ilícito,Tráfico ilícito,Q25508803,es, https://www.unodc.org/documents/scientific/Terminology_and_Information_on_Drugs_S_3rd_Edition.pdf ,"La fabricación, el cultivo o cualquier tráfico de estupefacientes o sustancias sicotrópicas contrarios a las disposiciones de los Convenios.",es
Abuse liability,Abuse liability,,en,https://www.unodc.org/pdf/publications/report_2003-09-01_1.pdf,"The propensity of a particular psychoactive substance to be susceptible to abuse, defined in terms of the relative probability that use in the substance will result in social, psychological and physical problems for an individual or for society.",en
Adverse drug reaction,adverse drug reaction,Q45959,en,https://www.unodc.org/pdf/publications/report_2003-09-01_1.pdf,Unpleasant psychological and physical reactions to drug taking.,en
Designer drug,designer drug,Q1200715,en,https://www.unodc.org/pdf/publications/report_2003-09-01_1.pdf,"Novel chemical substance with psychoactive properties, designed on the basis of the chemical structure of a given parent drug and synthesized specifically for sale on the illicit market and to circumvent regulations on controlled substances.",en
Habituation,habituation,Q1136816,en,https://www.unodc.org/pdf/publications/report_2003-09-01_1.pdf,"The terms “addiction” and “habituation” were abandoned by WHO in 1964 in favour of “drug dependence”. However, since those terms are still widely used, below is a definition of “habituation”. “Habituation” means becoming accustomed to any behaviour or condition.",en
Hallucinogen,hallucinogen,Q194270,en,https://www.unodc.org/pdf/publications/report_2003-09-01_1.pdf,"Chemical agent that induces illusions, hallucinations, delusions,paranoid ideations and other alterations of mood and thinking that are observed in spontaneously occurring psychotic states. The term is generally used to also encompass substances which induce altered states of perception, thought and feeling, even without producing overt hallucinations.",en
Harmful use,substance abuse,Q3184856,en,https://www.unodc.org/pdf/publications/report_2003-09-01_1.pdf,"A pattern of psychoactive substance use that is causing damage to health, physical or mental. Harmful use commonly, but not invariably, has adverse social consequences.",en
Hazardous use,Hazardous use,,en,https://www.unodc.org/pdf/publications/report_2003-09-01_1.pdf,"A pattern of substance use that increases the risk of harmful consequences for the user. In contrast to harmful use, hazardous use refers to patterns of use that are of public health significance despite the absence of any current disorder in the individual user.",en
Long-term effects,Long-term effects,,en,https://www.unodc.org/pdf/publications/report_2003-09-01_1.pdf,"Effects resulting from the frequent repeated use, or prolonged continuous use of a drug",en
Psychotropic substance,psychotropic drug,Q12830468,en,https://www.unodc.org/pdf/publications/report_2003-09-01_1.pdf,Any chemical agent affecting the mind or mental processes (i.e. any psychoACTIVE drug).,en
Sedative,sedative,Q847705,en,https://www.unodc.org/pdf/publications/report_2003-09-01_1.pdf,Any of a group of central nervous system depressants with the capacity of relieving anxiety and inducing calmness. Major classes of sedatives/hypnotics include the benzodiazepines and barbiturates. ,en
Short-term effects,Short-term effects,,en,https://www.unodc.org/pdf/publications/report_2003-09-01_1.pdf,Effects produced by a single dose or a short period of continuous administration of a drug.,en
Alcohol,alcohols,Q156,es,https://www.drogomedia.com/es/glosario/0-todos/,"Líquido incoloro, con un olor espirituoso característico y un sabor quemante. El alcohol produce euforia y desinhibición, así como descoordinación, y alteración de la atención y del rendimiento intelectual. Entre los riesgos derivados de su consumo, destacan las alteraciones orgánicas (infarto, úlcera, arterioesclerosis) y mentales (demencia, delirios).",es
Alucinógeno,hallucinogen,Q194270,es,https://www.drogomedia.com/es/glosario/0-todos/," Estimulantes del Sistema Nervioso Central, son sustancias que provocan la percepción subjetiva de un fenómeno no existente. Drogas que, ingeridas por vía oral, al alterar el ánimo del consumidor, la percepción de su entorno y su pro-pio cuerpo, generan experiencias de alucinación. Es decir, ver, oler, gustar, escuchar o sentir cosas que no existen.",es
Apetencia,craving,Q391682,es,https://www.drogomedia.com/es/glosario/0-todos/,"Término inglés que se usa para referirse al impulso imperioso, central en toda dependencia, de consumir una determinada sustancia con el deseo subjetivo de experimentar sus efectos.",es
Alcoohol Use Disorder Test (AUDIT),AUDIT,,es,https://www.drogomedia.com/es/glosario/0-todos/,El Test AUDIT (Alcoohol Use Disorder Test) permite detectar consumo de alcohol de riesgo y/o una posible dependencia.,es
Centro de Documentación de Drogodependencias del País Vasco (CDD),Centro de Documentación de Drogodependencias del País Vasco (CDD),,es,https://www.drogomedia.com/es/glosario/0-todos/,Entidad dedicada a recopilar y proporcionar información relacionada con las drogodependencias en el País Vasco.,es
Cigarrilo electrónico,vape,Q189511,es,https://www.drogomedia.com/es/glosario/0-todos/,"Objeto que simula un cigarrillo (inhalación de vapor aromatizado) y que no contiene tabaco, pero sí nicotina, habitualmente. Denomindo también cigarrillo-e. Su consumo se denomina vapeo.",es
Codependencia,codependency,Q21109,es,https://www.drogomedia.com/es/glosario/0-todos/,"Ciclo de patrones de conducta y pensamientos disfuncionales que se repiten de manera compulsiva como respuesta a una relación enferma y alienante con una persona adicta. La codependencia puede desarrollarse en cualquier persona que esté en contacto con la adicción de otra, ya sea por relaciones familiares, afectivas o laborales.",es
Coffee shop,cannabis coffee shop,Q774861,es,https://www.drogomedia.com/es/glosario/0-todos/,"En los Países Bajos, un coffee shop hace referencia a un local o restaurante, que tiene como característica principal la posibilidad de comprar y consumir legalmente cannabis, hachís y alimentos con cannabis.",es
Comunidad terapeutica,therapeutic community,Q676211,es,https://www.drogomedia.com/es/glosario/0-todos/,Entorno estructurado en el que viven personas con trastornos por consumo de sustancias psicoactivas para lograr su rehabilitación. Estas comunidades están a menudo diseñadas expresamente para personas drogodependientes,es
Consumo abusivo,Consumo abusivo,,es,https://www.drogomedia.com/es/glosario/0-todos/,definido por la OMS como el patrón de consumo que excede un estándar de consumo moderado o (de manera más ambigua) consumo social. Es el consumo que supera un volumen diario determinado,es
Consumo experimental,Consumo experimental,,es,https://www.drogomedia.com/es/glosario/0-todos/,Generalmente se refiere a los primeros consumos de una determinada droga. También se utiliza este término para referirse a consumos muy poco frecuentes de una sustancia.,es
Convenciones internacionales sobre drogas,Convenciones internacionales sobre drogas,,es,https://www.drogomedia.com/es/glosario/0-todos/,Tratados internacionales relativos al control de la producción y distribución de sustancias psicoactivas.,es
Dependencia física,physical dependence,Q2622112,es,https://www.drogomedia.com/es/glosario/0-todos/,"Situación en la que el organismo, habituado a la presencia de una sustancia, necesita mantener un determinado nivel en sangre para funcionar con normalidad.",es
Dependencia psicológica,psychological dependence,Q4420150,es,https://www.drogomedia.com/es/glosario/0-todos/,"Situación en la que se produce un impulso compulsivo que lleva a consumir periódicamente una determinada droga para experimentar un estado afectivo positivo (placer, euforia, sociabilidad, etc.) o evitar un estado negativo (aburrimiento, timidez, insatisfacción",es
Doce pasos,Twelve-step program,Q245169,es,https://es.wikipedia.org/wiki/Programa_de_doce_pasos,El programa de doce pasos es un programa de recuperación inicialmente orientado a tratar la enfermedad del alcoholismo.,es
Drogas duras,Drogas duras,,es,https://www.drogomedia.com/es/glosario/0-todos/,Término con el que se denominan la mayoría de drogas ilegales,es
Hábito,Hábito,,es,https://www.drogomedia.com/es/glosario/0-todos/,consumo repetido y habitual que aunque no conlleva el aumento de dosis sí conduce a la dependencia. Muy asociado a situaciones sociales. Consumidor/a regular.,es
Legalización,legalization,Q1639895,es,https://www.drogomedia.com/es/glosario/0-todos/,"Desaparición de la prohibición relacionada con el comercio y consumo de las drogas ilegales. En consecuencia, en un contexto de legalización, la producción y comercialización de dichas sustancias se encontrarían sujetas a regulación por parte del Estado.",es
Mal viaje,bad trip,Q622106,es,https://www.drogomedia.com/es/glosario/0-todos/,"Efecto adverso de las drogas que se caracteriza por una pérdida del control de las emociones, ansiedad, pánico, alucinaciones, ideas suicidas, etc. Las anfetaminas, el LSD, la ketamina y las setas alucinógenas pueden provocar este efecto.",es
Narcotraficante,drug trafficker,Q10384029,es,https://www.drogomedia.com/es/glosario/0-todos/,Persona que se dedica al tráfico de drogas ilegales en grandes cantidades.,es
Pin-shot,Pin-shot,,en,https://www.drogomedia.com/es/glosario/0-todos/,Dícese de la acción de inyectarse una droga por vía intravenosa cuando no se dispone de una jeringa; se agujerea la vena con una aguja o pincho y se introduce la droga con cualquier adminículo de que se disponga.,es
Politoxicomanía,Politoxicomanía,,es,https://www.drogomedia.com/es/glosario/0-todos/,"Conducta adictiva en la que se produce el consumo de múltiples drogas, con vías de administración diferentes o simultáneas. También llamada poliadicción, politoxicomanía o policonsumo de drogas.",es
Programas de objetivos intermedios,therapeutic self-help group,Q107584900,es,https://www.drogomedia.com/es/glosario/0-todos/,"Conjunto de actuaciones asistenciales, integradas en los procesos de deshabituación, con el objetivo de mejorar la salud y calidad de vida del consumidor o la consumidora dependiente de alta cronicidad.",es
Recaída,relapse,Q2292472,es,https://www.drogomedia.com/es/glosario/0-todos/,"Acción de volver a consumir alcohol o cualquier otra droga después de un periodo de abstinencia. Normalmente, la recaída vuelve a hacer aparecer los síntomas de dependencia.",es
Recuperación,Recuperación,,es,https://www.drogomedia.com/es/glosario/0-todos/,"Mantenimiento de la abstinencia del alcohol y/o de otras drogas mediante cualquier tipo de tratamiento. También conocido como ""rehabilitación"". ",es
Droga ilegal,illegal drug,Q10268802,es,https://drogues.gencat.cat/es/ciutadania/glossari-00001/index.html,"Sustancia psicoactiva que tiene prohibidas su producción, venta o consumo. En sentido estricto, la droga por sí misma no es ilegal, pero sí lo son su producción, venta o consumo en determinadas circunstancias y en una determinada jurisdicción.",es
Factores de riesgo,Factores de riesgo,,es,https://drogues.gencat.cat/es/ciutadania/glossari-00001/index.html,"Son las características de carácter individual, familiar, ambiental o social que incrementan la probabilidad de que una persona se implique en el consumo de drogas o que este consumo llegue a causar problemas importantes, bien de carácter conductual (conductas desadaptativas o problemas relacionales, entre otros), sanitario (morbilidad o mortalidad evitables) o social (violencia y disturbios, entre otros). ",es
Grupo de ayuda mutua,Grupo de ayuda mutua,,es,https://drogues.gencat.cat/es/ciutadania/glossari-00001/index.html,"Grupo en el que los participantes se ayudan mutuamente a recuperarse o a mantener la recuperación de la dependencia del alcohol u otra droga, de los problemas relacionados o de los efectos de la dependencia de otra persona, sin tratamiento ni orientación profesional. Los grupos más destacados son Alcohólicos Anónimos, Narcóticos Anónimos y Al-Anon (dirigido a familiares de personas alcohólicas).",es
Irtencambio de jeringas ,needle exchange programme,Q1760326,es,https://drogues.gencat.cat/es/ciutadania/glossari-00001/index.html,"Intervención preventiva que tiene como objetivo reducir la transmisión de enfermedades infecciosas a través de la sangre. Implica la distribución de jeringas estériles a cambio de jeringas utilizadas, si bien en la práctica no siempre es imprescindible el intercambio y las jeringas estériles son distribuidas gratuitamente o a bajo coste.",es
Intoxicación,Intoxicación,,es,https://drogues.gencat.cat/es/ciutadania/glossari-00001/index.html,"Estado posterior a la administración de una sustancia psicoactiva que causa alteraciones en el nivel de conciencia, en el nivel cognitivo, en la percepción, en el juicio, en la afectividad o en el comportamiento, o en otras funciones y respuestas psicofisiológicas.",es
Población en situación de riesgo,Población en situación de riesgo,,es,https://drogues.gencat.cat/es/ciutadania/glossari-00001/index.html,"Grupo de población que, por distintas circunstancias, se encuentra más expuesto a uno o más factores de riesgo para desarrollar problemas relacionados con las drogas que cualquier persona de la población general.",es
Prevención de recaida,relapse prevention,Q7310684,es,https://drogues.gencat.cat/es/ciutadania/glossari-00001/index.html,"Conjunto de procedimientos terapéuticos utilizados, en los casos de problemas con el alcohol y otras drogas, para ayudar a los afectados a evitar o a superar la vuelta al consumo o la recaída hacia un consumo no controlado de la sustancia.",es
Rehabilitación,drug rehabilitation,Q1260022,es,https://drogues.gencat.cat/es/ciutadania/glossari-00001/index.html,"Proceso con el que una persona con problemas de consumo de drogas alcanza un estado de salud, una función psicológica y un bienestar social óptimos.",es
Rush,Rush,,en,https://drogues.gencat.cat/es/ciutadania/glossari-00001/index.html,"Efecto inmediato, agradable e intenso que se experimenta después de la inyección intravenosa de ciertas drogas (por ejemplo, heroína, morfina, anfetaminas, cocaína, propoxifeno.",es
Usuario de drogas por vía intravenosa (UDVI),UDVI,,es,https://drogues.gencat.cat/es/ciutadania/glossari-00001/index.html,Usuario de drogas por vía intravenosa. Término englobado en las siglas UDVP (usuario de drogas por vía parenteral).,es
Usuario de drogas por vía parenteral (UDVP),Usuario de drogas por vía parenteral (UDVP),,es,https://drogues.gencat.cat/es/ciutadania/glossari-00001/index.html,"Usuario de drogas por vía parenteral. Las inyecciones pueden administrarse por vía intramuscular, subcutánea, intravenosa (IV), entre otros.",es
Uso de drogas,drug use,Q110207349,es,https://drogues.gencat.cat/es/ciutadania/glossari-00001/index.html,"Término que en algunas ocasiones se utiliza como sinónimo de consumo no perjudicial de drogas, como en el caso del consumo de medicamentos bajo prescripción facultativa.",es
Uso controlado de drogas,Uso controlado de drogas,,es,https://drogues.gencat.cat/es/ciutadania/glossari-00001/index.html,"Mantenimiento de un uso regular, no compulsivo, de sustancias psicoactivas, que no interfiere con el funcionamiento cotidiano de la vida de una persona.",es
Uso recreativo,recreational drug use,Q7708739,es,https://drogues.gencat.cat/es/ciutadania/glossari-00001/index.html,"Consumo de una droga, normalmente ilegal, en situaciones sociales o relajantes, que implica que no existe dependencia ni otros problemas.",es
Zoppsia,Zoppsia,,es,https://drogues.gencat.cat/es/ciutadania/glossari-00001/index.html,"Visión de animales (serpientes, insectos, etc.) que normalmente forma parte de un proceso de delírium trémens o de otros estados de confusión o alucinación inducidos por un consumo de sustancias.",es
Comedown,Comedown,Q5151412,en,https://positivechoices.org.au/teachers/glossary,"Taking illegal drugs can lead to experiencing negative after-effects sometimes known as a ‘comedown’ or ‘crash’, which are the feelings experienced as the drug wears off.",en
Polydrug use,Polydrug use,,en,https://positivechoices.org.au/teachers/glossary,Mixing drugs or taking one drug when under the influence of another drug is known as polydrug use.,en
Serotonin Syndrome,Serotonin Syndrome,,en,https://positivechoices.org.au/teachers/glossary,"A life-threatening condition that usually starts within 24 hours of taking the drug. It occurs when the brain is overloaded with a neurotransmitter called serotonin. Symptoms include coma, seizures, shaking, confusion, rigid muscles, rapid heartbeat, and overheating.",en
Decriminalisation,decriminalization,Q903453,en,https://www.drugsandalcohol.ie/glossary/,"When drug use and possession are decriminalised, criminal charges are not applied.",en
Detoxification,drug detoxification,Q1345789,en,https://www.drugsandalcohol.ie/glossary/,"A process in which the body rids itself of a drug, or its metabolites. Medically-assisted detoxification may be needed to help manage a person’s withdrawal symptoms. Detoxification alone is not a treatment for substance use disorders, but this is often the first step in a drug treatment program.",en
Drug consumption facilities,Design considerations for supervised consumption facilities (SCFs): preferences for facilities where people can inject and smoke drugs.,Q44989797,en,https://www.drugsandalcohol.ie/glossary/,Drug consumption facilities are places in which drug users can use illicit drugs under the supervision of medically trained staff. They exist in several European countries and are usually located in areas where there is an open drug scene and injecting in public places is common. Their primary goal is to reduce morbidity and mortality by providing a safer environment for drug use and training clients in safer forms of drug use.,en
European Monitoring Centre for Drugs and Drug Addiction (EMCDDA),European Monitoring Centre for Drugs and Drug Addiction,Q1377256,en,https://www.drugsandalcohol.ie/glossary/,The EMCDDA exists to provide the EU and its Member States with a factual overview of European drug problems and a solid evidence base to support the drugs debate.,en
European School Survey Project on Alcohol and other Drugs (ESPAD),Methodological background and descriptive features of the ESPAD 2011 Study (European School Survey Project on Alcohol and other Drugs) in Hungary,Q43691438,en,https://www.drugsandalcohol.ie/glossary/,ESPAD is a collaborative effort of independent research teams in more than forty European countries and the largest cross-national research project on adolescent substance use in the world. The overall aim with the project is to repeatedly collect comparable data on substance use among 15–16 year old students in as many European countries as possible.,en
Gateway drug,Gateway drug,,en,https://www.drugsandalcohol.ie/glossary/,"An illicit or licit drug, use of which is regarded as opening the way to the use of another drug, usually one viewed as more problematic.",en
Hallucination,hallucination,Q130741,en,https://www.drugsandalcohol.ie/glossary/,Apparent perception of an external object or person when no such object or person is present.,en
Legalisation,drug liberalization,Q1638361,en,https://www.drugsandalcohol.ie/glossary/,Drug legalisation removes all penalties for possession and personal use of a drug,en
Maintenance therapy,Maintenance therapy,Q6736822,en,https://www.drugsandalcohol.ie/glossary/,Treatment of drug dependence by prescription of a substitute drug for which cross-dependence and cross-tolerance exist. The term is sometimes in reference to a less hazardous form of the same drug used in the treatment.,en
Non-medical use,Non-medical use,,en,https://www.drugsandalcohol.ie/glossary/,"Use of a prescription drug, whether obtained by prescription or otherwise, other than in the manner or for the time period prescribed, or by a person for whom the drug was not prescribed. The term sometimes also covers the use of illicit drugs.",en
Social reintegration,reintegration,Q9305716,en,https://www.drugsandalcohol.ie/glossary/,Social reintegration is not a term that is used or defined consistently across EU Member States but it is a key aspect of full recovery from drug dependence. Its scope is wider than the traditional treatment focus on pharmacological and psychosocial outcomes.,en
The National Drug Related Deaths Index (NDRDI),"The role of alcohol dependency in deaths among people with epilepsy recorded by the National Drug-Related Deaths Index (NDRDI) in Ireland, 2004-2013.",Q40440894,en,https://www.drugsandalcohol.ie/glossary/,The National Drug Related Deaths Index is a census of drug-related deaths (such as those due to accidental or intentional overdose) and deaths among drug users in Ireland. It will also record alcohol-related deaths.,en
Universal prevention,Universal prevention,,en,https://www.drugsandalcohol.ie/glossary/,"Universal prevention strategies address the entire population (national, local community, school, neighbourhood) with messages and programmes aimed at preventing or delaying the abuse of alcohol, tobacco, and other drugs.",en
