claim_id	entity	context
Q45672-9AA95F5A-8E5C-4759-A753-8EEF0535065C	Campión A.	Don Ramón Menéndez Pidal, de acuerdo con Campión, exponía ya en 1920 la necesidad de «formar una crestomatía especial, en la que todas las voces y breves frases que del vascuence se escribieron antes de su pleno cultivo literario figurasen doctamente leídas y fechadas».
Q45690-9AD6ACF9-862D-4CBE-82F9-7674FFD4135B	Cantar de Juan deLazcano	12. Cantar de Juan de Lazcano
Q45692-8DD6F4AE-C131-4113-914E-3882435C6E94	Cantar de la batalla de Urrejola	3. Cantar de la batalla de Urrejola
Q45693-45D954E3-937B-4A8A-8DDF-F46E060AF330	Cantar de la quema de Mondragón	7. Cantares de la quema de Mondragón
Q45694-C5749A05-DD9A-40F9-ABCE-5CF14F0B5765	Cantar de Olaso	8. Cantar de Olaso
Q46528-DC566F3C-4C32-4A49-AF59-38DAAF53269E	Ibáñez de Labiero Martín	4. Epitafio de Martín Ibáñez de Labiero
Q46529-9615750D-096F-4807-8D44-FD01873D1DB7	Ibargüen Cachopín (crónica)	Ibargüen-Cachopín, cuaderno 70, hoy en Bilbao.
Q46532-805E9F5C-D989-4562-B956-09FD83F00129	Ibiñagabeitia A. (‘S. Idoyaga’)	bein «primeramente, por primera vez», no «una vez» o «ahora», propone A. de Ibiñagabeitia, Egan 1960, 92;
Q46540-9AB2786C-64E4-4F68-B19B-3577127FD240	Ilarregui P.	que aún no se ha hecho desde nuestro punto de vista, a pesar de su recomendación, seguimos a la edición de P. Ilarregui y S. Lapuerta, Pamplona 1869, salvo en algunos detalles en que podemos apoyarnos en el trabajo de don Bonifacio de Echegaray, Euskera 8 (1927), 1.
Q46203-DE4594D2-FBB0-4FA9-863A-47598513EDDE	Gamón J. I.	Hau dela eta, ez datoz batere bihurri errenteriar jakintsu bezain aspergarri batek (Juan Ignacio Gamón, Noticias históricas de Rentería,  Donostia 1930 , 78.
Q46206-95D8D465-B84C-4170-BA0F-105B77C1C32D	Gandiaga B.	fray V. Gandiaga, Euskera 1 (1956), 206 ss.
Q46210-6E52D430-9EF0-46FD-988E-070232CF5175	Garate J.	En cuanto al caballo, del cual se habla en ambas lenguas, ¿a qué responde? J. Garate, RIEV 20 (1929), 460 s.
Q46226-43F2EDA3-C384-4D6F-9457-1F77AD856D04	García de Diego V.	Quizá podría añadirse at(h)orra para -dd- (V. García de Diego, Manual de dialectología española,  Madrid 1946 , p. 294).
Q46229-4BC2C951-2978-4352-9663-624F69FDAF61	García de Salazar L.	con bibliografía, analiza suga-ar «serpiente macho» y lo asimila al «diablo que llaman en Bizcaya Culebro», que, según Lope García de Salazar, se ayuntó en Mundaca con una hija del rey de Escocia de quien tuvo como fruto a Jaun Zuria, primer señor de Vizcaya.
Q46231-204E9206-1FA1-4850-84E6-B223F363EA15	García Larragueta S. A.	S. Juan = Santos A. García Larragueta, El gran priorado de Navarra de la Orden de San Juan de Jerusalén, Pamplona 1957.
Q46248-1921AAFB-22E0-4F40-9792-3117142324F7	Garmendia M. C.	En euskera, las cosas no son, ni mucho menos, tan claras como en castellano y por eso mismo me he visto en la precisión de hacer más retoques, aun a riesgo (como me ocurrió, para citar un caso, con la traducción de un fragmento del Diario de Ana Frank por María del Carmen Garmendia y Rudolf de Rijk) de introducir en el texto algún disparate notorio.
Q46240-0015F109-C4D6-45C2-B6D8-D557ECF833C5	Garibay E. de	eskalu (Garibay, 17: eçcaluac «peces pequeños») : keskailo «bermejuela» (que recuerda el lat.
Q46240-1E92EB33-951C-43BC-AD08-5B3ED1E6A100	Garibay E. de	Begira zer dioen Garibayk, bere Compendio historial-ean (1570), VIII. liburuko 41. kapituluan: «.
Q46240-839C11D3-759D-4739-9FB2-8CFE53E8EEED	Garibay E. de	Garibay, Compendio = Los XL libros del compendio historial de las chronicas y Universal historia de todos los reynos de España, Amberes 1571. Garibay, Memorias = Memorias de Esteban de Garibay y Zamalloa.
Q46258-B3B5EAE1-B75E-41D7-BA07-A26C5368288F	Gavel H.	¿Cuál era el estado de cosas antiguo? Hay dos posibilidades: todas las b-, d-, g- modernas provienen de sordas primitivas, hipótesis que Gavel no descarta en absoluto, o bien b y p, etc.
Q46258-B3B5EAE1-B75E-41D7-BA07-A26C5368288F	Gavel H.	Gavel se inclinaba a esta última alternativa: un proceso de sonorización —una ley fonética— ha producido la confusión de las antiguas sordas iniciales con las antiguas sonoras.
Q46258-C21F0AF7-2914-4CBC-94F9-535361C48B4B	Gavel H.	Henri Gavel, GH 2 (1922), publicó la parte vasca de su viaje, con traducción francesa y comentario, según la edición de Colonia, 1860. El pasaje que transcribimos viene en las pp. 453-456.
Q46258-C869EC94-A6FF-48EA-B898-E9B852083FF9	Gavel H.	Udazkenean, hau ere ustekabean, Henri Gavel jauna galdu dugu, Tolosako Unibertsitateko irakasle izana eta lehengo gizaldiko euskalari garaietan bizirik geneuzkan gutxietakoa.
Q46258-C869EC94-A6FF-48EA-B898-E9B852083FF9	Gavel H.	sur le gascon de Bayonne par H. Gavel Baiona 1926.
Q46261-C6F50C49-A828-4F22-B52A-A14247C5D803	Gayangos P. de	Los versos citados fueron ya reproducidos por Pascual de Gayangos, Memorial histórico español, Madrid 1854 , VII, p. xv s.
Q46279-7DD35549-B353-4D5A-9772-720D8AF495BD	Gifford D. J.	Rey de Nauarra Conde de Eureus, ayuda a fechar el texto vasco, pues el último Carlos (de Evreux) reinó en Navarra hasta 1425. Fue publicado por D. J. Gifford y M. Molho, a quien se debe la noticia de su existencia, en PV 18 (1957), 241-243. Se sigue aquí la nueva lectura de D. J. Gifford y L. Michelena, PV 19 (1958), 167-170. La escritura aparece borrada completa o casi completamente en el borde de la hoja inmediato a la encuadernación, y el es
Q46297-4A44059D-7626-4246-8153-6FC668B66572	Goicoechea C.	Ez gaitu, bada, harrituko nuncio, erdaraz, ‘pregonero (municipal)’ —hots, kridaria— dela jakiteak Nafarroako zenbait lekutan, Iribarrenek dioenez, eta baita ere Errioxan oraintsu arte, Cesáreo Goicoechearen Vocabulario riojano-nc ikus daitekeenez.
Q46306-18A25966-238E-415B-85F8-10F84D1929DE	Gómez G.	En la Tercera parte de la tragicomedia de Celestina (1536), de Gaspar Gómez, «natural dela muy insigne cibdad de Toledo».
Q46308-7ACD7F05-A432-4F39-BCFB-DEEF5EFB49FC	Gómez Moreno M.	U. Schmoll, Die Sprache 6 (1960), 49 s. Sin embargo, M. Gómez-Moreno, Misceláneas, Madrid 1949, p. 243, lee Lurberrexo.
Q46310-35E6D660-2CE4-44AD-8B45-BF6FE53DA151	Góngora L.	Beldur naiz ohar honen gaia ez ote den gai irristakorregi horietakoa, Góngorak esate baterako ez baitzituen adarrak «con perdón de clérigos» baizik aipatzen.
Q46310-B7824E77-2A9D-4FA5-8739-F999A854152E	Góngora L.	Hobe da, noski, Góngora edo Joyce irakurtzea bestek aztertu, barrendu eta adierazi dituen ondoren, eta halaz guztiz ezin ditzaket irakur tantaka eta pittinka baizik.
Q46314-7A51E29C-4C02-444A-BA8A-76BD96450850	González de Butrón G.	López de Gamboa y los Ibargüen de Durango, contra los de Unzueta, oñacinos, a quienes envió ayuda Gómez González de Butrón, el viejo.
Q46318-1D33AF1E-DF32-4274-9E9D-9D393916B957	Gonzalo de Berceo	14. Gonzalo de Berceo
Q46321-B0ED7B65-D9C1-4395-92CA-7CF3080E3E23	Goñi Gaztambide J.	7, catalogado como del siglo XIV, de la biblioteca de la Catedral de Pamplona contiene reunidos una obra del obispo Arnalt de Barbazan (1318-1355), sobre el cual véase J. Goñi Gaztambide, PV 23 (1962), 46-117, y unas rúbricas para el rezo del oficio divino que forman la mayor parte del volumen.
Q46325-FCA87799-5A3F-42CE-A96C-5A46455CC2A9	Gorki M.	Fellinik gizartearen bazter elkorretara eta zoko ilunetara du joera, Gorkik «gizon izanengana» bezala.
Q46329-47C450E0-539B-4435-9E6C-CC89DD558912	Gorostiaga Bilbao J.	Gorostiaga = Juan Gorostiaga Bilbao, Épica y lírica vizcaína antigua, Bilbao 1952.
Q46356-7F4B9517-C1AD-4BFC-845F-2BA8FBC3DE59	Greene G.	Mexikoko lur beroetan —edo lur beroen mugan— gertatzen den Graham Greenen ipuin labur bat hartu dute oinarri, ezin gehiago luzatuaz.
Q46370-D2608AA6-F4EE-4B07-87F4-77662FD47C25	Guerra J. C.	Guerra = Juan Carlos de Guerra, Viejos textos del idioma.
Q46379-922542E1-A452-46CA-B458-72183E1BD32C	Guinness A.	Eta ikusi ez duenari igarraraziko dio zerbait Alec Guinnessek, gogoa zabalik badauka.
Q46410-2E9C3297-D069-44A5-82E3-A08DAA7EC0A0	Harff A. von	18. El vocabulario de Arnold von Harff
Q46446-2CC89E2E-16E6-4493-9930-BEB87004F233	Henao G. de	Henao = P. Gabriel de Henao, Averiguaciones de las antiguedades de Cantabria, Salamanca 1689, I.
Q46480-2FFE2CF4-B9B9-44E2-A7B2-8D9C54A6D38B	Hirschfeld O.	Las inscripciones aquitanas conocidas hasta entonces están recogidas en Julien Sacaze, Inscriptions antiques des Pyrénées, Toulouse 1892, y en el tomo XIII, 1, del Corpus Inscriptionum Latinarum («Inscriptiones Aquitaniae et Lugdunensis»), editado por Otto Hirschfeld, Berlín, 1899, que en adelante se cita por CIL, sin indicación del tomo;
Q46483-2885A74B-3F7B-4CD8-BAA7-3FF0DD97247A	Hitchcock A.	Ikusi berria nuen Psychosis, beti gogoko izan dudan Hitchcockek bere bekatuzko bizian egin duen bekaturik larrienetakoa.
Q46483-C494F0DA-2796-4A4B-8DF9-AD80786CDCEA	Hitchcock A.	Beherago aipatzen ditudan Hitchcocken lapurrak aingeru gisa badabiltza paretan gora eta behera edo teilatuz teilatu jantzirik zarratatu gabe, Dassinen hauek ez dute horrelako dohainik.
Q46496-59EC8B01-B7D6-4BF1-A535-AFD1F203B2A3	Holmer N. M.	Unas consideraciones análogas, en cuyo apoyo se citaba precisamente esta vacilación gráfica, fueron hechas por Nils M. Holmer («A proto-European consonant system and the pronunciation of Sumerian», Studia linguistica  3, 1949, 1-17 ), que trataba de establecer las características fonológicas de una serie de lenguas que se hablan o hablaban alrededor del Mediterráneo y entre ellas destacaba la ausencia de una serie sonora en las oclusivas.
Q46498-3D96A319-2A1C-404C-BA17-A908556AB8D0	Homero	Un día que andemos mejor de fondos habrá que comprar un atril donde colocarlos, a semejanza de aquel famoso en que el Petrarca adoraba su Homero griego, a falta de poder leerlo.
Q46502-40620D93-C6BE-4212-9B85-91215D39DA5E	Hovelacque A.	Vinson, Études = A. Hovelacque et J. Vinson, Études de linguistique et d’ethnographie, París 1878. Vinson, Mélanges = Mélanges de linguistique et d’anthropologie par Abel Hovelacque, Emile Picot et Julien Vinson, París 1880. vizc.
Q46509-B2C04AFD-CDA4-4E2C-8565-1E6E9D76B8AA	Hualde Mayo P.	Hualde Mayoren itzulpena dugu lekuko: eta juezac entrega dazaizula nu[n]ciuarenetan (Mt.
Q46524-A2CF5A2F-1C2B-4DCB-A2B3-6AE268F50C21	Huston J.	Beti izaten dira ikusgarri John Hustonek egin eta gidatzen dituen filmak.
Q46524-A2CF5A2F-1C2B-4DCB-A2B3-6AE268F50C21	Huston J.	Begiez ez ezik, belarriez ere jabetzen da John Huston, zalaparta beldurgarriaren ondoren itsasoko ixiltasun beldurgarriagoa —zenbait itsas hegaztiren garrasiak besterik ez airean— sentiarazten duenean.
Q46036-4B0F96F9-8195-471F-8F45-1AF6997F193A	Endecha de don Diego López de Haro	14. Endecha de don Diego López de Haro
Q46037-2AE01FDB-6ED0-44E1-9B70-3C0BB35006C5	Endechas de doña Milia de Lastur	5. Endechas de doña Milia de Lastur
Q46038-F2BF7BED-EE27-44C7-A422-8A68D1DA5B09	Endechas por Martin Bañez de Artaçubiaga	9. Endechas por la muerte de Martin Bañez de Artaçubiaga
Q46046-9FE46659-3FF5-4ACE-B962-81FE237C48A4	Erkiaga E.	Horrelako horma-burruntzi tenteak ere ez izaki, Erkiaga adiskideak esango lukeen bezala, andrazkoen arteetarik ihes egiterik.
Q46070-0446A0FA-9BDA-435D-A07C-93BA7F8A94C5	Etcheberri J. (de Ciboure)	ahí oste es claramente «ejército, hueste», no «multitud, gentío», lo mismo que en Etcheberri, Noelac, Bayona 1697, p. 111: Orduan ethorrico da Erromaren ostea / Suntsitcera Iudeaco natione noblea «Entonces vendrá el ejército de Roma a destruir la noble nación de Judea».
Q46080-FA0C4774-9BEE-47AE-93B5-27F1564EB8E0	Etxaide J.	Azkenaldi honetan, aspaldian bazterturik egon ziren euskarazko izen propioak, pertsona eta leku-izenak, franko aztertuak izan dira, Irigaray, Etxaide eta beste zenbaiti eskerrak.
Q46111-51889D9E-6A02-497E-812C-55FCD9484665	Fagoaga B.	Don Blas Fagoaga ha publicado en Euskera 6 (1961), 29, una frase vasca tomada de un documento de 1415 (Archivo General de Navarra, papeles sueltos, 2.
Q46127-32957FB5-630D-42E1-ACC3-D0A15AF8079E	Fellini F.	Dena dela, Fellinigandik datozkigu azken urteotan filmik ausart eta sarkorrenak.
Q46127-32957FB5-630D-42E1-ACC3-D0A15AF8079E	Fellini F.	Fellinik gizartearen bazter elkorretara eta zoko ilunetara du joera, Gorkik «gizon izanengana» bezala.
Q46127-32957FB5-630D-42E1-ACC3-D0A15AF8079E	Fellini F.	Nork esan non bukatzen den Fellinigan urrikia, non hasten bihotz-gogorkeria? Bi ahoko ezpata darabil beti eskuetan eta urrikia du ezpata horrek ahorik zorrotzena.
Q46127-32957FB5-630D-42E1-ACC3-D0A15AF8079E	Fellini F.	Zer ote litzateke Fellini Giulietta Masina, bere emaztea, gabe? Neke da esaten.
Q46127-E3F7C86D-2060-4FF4-BCDF-EA1EF542F568	Fellini F.	Eta hori fededunengan eta fedegabeengan: Chaplinengan, Caprarengan, Fellinigan, Bardemengan.
Q46157-AF859C31-F73F-4AD7-95F7-1F9CD15267F9	Floranes R.	FHV = Luis Michelena, Fonética histórica vasca, San Sebastián 1961. Floranes = véase Isasti, Apéndice.
Q46157-AF859C31-F73F-4AD7-95F7-1F9CD15267F9	Floranes R.	Isasti, Apéndice= Rafael de Floranes, De las memorias que tiene la provincia de Guipúzcoa en obras inéditas de Lope García de Salazar.
Q46163-25BFB8E2-805B-4C8B-949C-73467940BA3C	Fonda H.	Hamabi antzezlari azkarren laguntzarekin, ezagunenak Henry Fonda eta Lee J. Cobb direla.
Q46163-75D3EF1A-6D3B-4C7F-A57F-53A8D0E2E432	Fonda H.	Ez zen besterik John Forden My darling Clementine («Pasión de los fuertes», hemen), Henry Fonda, Walter Brennan eta Victor Maturekin.
Q46164-913A86E1-AAAA-43A1-A064-0A0BC132AB32	Ford J.	Ez zen besterik John Forden My darling Clementine («Pasión de los fuertes», hemen), Henry Fonda, Walter Brennan eta Victor Maturekin.
Q46164-913A86E1-AAAA-43A1-A064-0A0BC132AB32	Ford J.	Fordenak, bere Stagecoach-en mailara heldu gabe, gizen gutxiago zuen beharbada azkeneko honek baino.
Q46165-4AC4FF40-4E14-484B-A42F-BBFB82B9D4BC	Forester D. C.	Kanoizar horren gorabeherak, D. C. Foresteren eleberri batetik hartuak, gogaikarri xamarrak dira, egia esan, zeharo aldrebesak ez esateagatik.
Q46149-C9FD8770-B3BC-424B-BB4B-7A4CCDC7D8D2	Fita F.	Cabe al padre F. Fita el mérito de haber señalado el interés lingüístico de esta enumeración de poblaciones, en el detenido comentario que le dedicó en BRAH 3 (1883), 215-243, comparándola con la relación, desgraciadamente incompleta, de los pueblos de Álava que en 1295 contribuyeron a los gastos del asedio de Tarifa.
Q46168-97AA758E-DBDF-4B7A-AAEE-173FAD3967B1	Francisque-Michel	y Francisque-Michel, Le Pays Basque, 1857, p. 239. En las versiones de Zaldibia, p. 38, e Isasti, p. 273, aparte de pequeñas variantes como milla en ambos, frente a mila en Garibay, hay que señalar que, aunque Isasti tiene también batu dira «se han topado» en el v. 5, en Zaldibia se lee bildu dira: ambos verbos son, puede decirse, estrictamente sinónimos, sinonimia que se extiende a sus derivados.
Q46177-5FF64C20-A59E-4051-B752-42B37B6FADEE	Fresna P.	Ez da erraz esaten zer egin duen: ikasbidezko ipuina, hitzaldia —Pierre Fresnayk esana, nolanahi ere—, film bat ez beste edozer.
Q46555-F689D43E-3010-481B-AA10-A569B829F5A3	Iraizoz P. (‘Irisarri’)	El P. Policarpo de Iraizoz, BAP 7 (1951), 525 s. compara jzioqui, si su z está por tz, con itzeuqui, palabra que Leiçarraga usa por lo menos dos veces con el valor de «tener por, reputar, considerar como»: hobequi, moldezcoago itzeuquiz «teniéndolo por mejor, por más apropiado».
Q46555-F689D43E-3010-481B-AA10-A569B829F5A3	Iraizoz P. (‘Irisarri’)	El padre Iraizoz resume bien las razones que a ello se oponen, cuyo peso global no es despreciable: (1) no hay otro indicio de la realidad de ese supuesto préstamo;
Q46567-89C147C8-62FA-4AEE-8C07-691065112FA1	Iribarren J. M.ª	Iribarrenen Vocabulario navarro-nb ere irakur daiteke: «Almirante.
Q46567-89C147C8-62FA-4AEE-8C07-691065112FA1	Iribarren J. M.ª	Ez gaitu, bada, harrituko nuncio, erdaraz, ‘pregonero (municipal)’ —hots, kridaria— dela jakiteak Nafarroako zenbait lekutan, Iribarrenek dioenez, eta baita ere Errioxan oraintsu arte, Cesáreo Goicoechearen Vocabulario riojano-nc ikus daitekeenez.
Q46567-AEA6B497-F40D-46CC-926F-B288E2633305	Iribarren J. M.ª	En documentos navarros, el buruzagui o buruzai es, según Yanguas y Miranda, «especie de mayoral o alguacil que antiguamente tenían algunos pueblos, con la obligación de avisar a los vecinos a las juntas de los concejos y a las obras públicas, tocar la campana, llevar pan y vino a los vecinos que trabajasen en dichas obras, y recoger las multas y prendas de los contraventores a las ordenanzas municipales» (Iribarren, Vocabulario navarro, s.
Q46568-0BB7C2A7-55EA-4288-AB78-51FE573B7731	Irigaray A. (‘Apat-Echebarne A.’)	Sobre la onomástica medieval navarra, tomando como base esta colección diplomática, ha publicado varios artículos A. Irigaray, en PV y BAP. Como sobrenombres aparecen adjetivos como Andia «el grande», Chipia (y Gutia) «el pequeño», Belza «el negro», Zuria «la blanca», Ona «el bueno», Macua (?), etc.
Q46568-925D93BF-F2A2-4C65-BD33-9980774E414D	Irigaray A. (‘Apat-Echebarne A.’)	Azkenaldi honetan, aspaldian bazterturik egon ziren euskarazko izen propioak, pertsona eta leku-izenak, franko aztertuak izan dira, Irigaray, Etxaide eta beste zenbaiti eskerrak.
Q46568-D2FA393C-D77E-495C-9DE9-994FAD80015A	Irigaray A. (‘Apat-Echebarne A.’)	En el último número del Boletín (20, 1964, 182),a don Ángel Irigaray ha recogido, no sin alguna acrimonia, el contenido de una nota que va en la p. 95 de mis Textos arcaicos vascos (Madrid 1964) y hace referencia al texto y a la interpretación del cantar de Sandailia.
Q46568-D2FA393C-D77E-495C-9DE9-994FAD80015A	Irigaray A. (‘Apat-Echebarne A.’)	Pero tengo que volver sobre el tema, bien a mi pesar, porque considero que quien se guíe tan sólo por lo que dice el señor Irigaray tiene que formarse una idea inexacta del tenor y alcance de mi nota.
Q46571-E56CBE1D-0517-48C2-A525-818E4C88D2B0	Irigoyen A.	Estando ya preparado este libro, me entero por Alfonso Irigoyen que en Bilbao ha aparecido otra carta, de carácter comercial ésta, de finales del siglo XVII. Si nos percatamos bien del valor intrínseco de cualquier muestra del vasco antiguo, no cabe duda de que descubrimientos análogos seguirán sucediéndose.
Q46600-D37D1EF1-C007-48B9-8008-897A50C3B99D	Iztueta J. I.	Del buey y del carnero, e incluso de otros animales menores, hablan, por ejemplo, Larramendi e Iztueta, y la cos
Q46629-3CDE2274-55BC-45D7-9B38-C91BCDBC24DC	Joannon L.	Léo Joannonek lehenbizikoan irakatsi nahi ligukeena —eta beti irakasteko asmotan dabiltzanetakoa da, noski— hauxe da, gutxi gorabehera: ez duela gogortasunak, ezta alderatzeko ere, destenoreko urrikiak eta biguinkeriak adinbat kalte egiten.
Q46637-DB94BA52-2B7D-4D07-9445-5E8C04B2E8DF	Joyce J.	Hobe da, noski, Góngora edo Joyce irakurtzea bestek aztertu, barrendu eta adierazi dituen ondoren, eta halaz guztiz ezin ditzaket irakur tantaka eta pittinka baizik.
Q46658-D5BC5E56-C519-48EC-B541-BFAF32D8EB2C	Kazan E.	Beste burutik hastekotan, Elia Kazanen East of Eden («Al este del Edén») aipa dezagun aurrenik.
Q46661-3FDD0655-4644-4BC0-A2C0-3BB950EEF88C	Kelly G.	Grace Kelly ere begi-gozagarri aukeratu du noski.
Q46678-AEA02D58-6394-425D-AD3D-7CBE7432B157	Kramer S.	Stanley Kramerek Espainian egin duen Orgullo y pasión baino okerragoak ikusten dira.
Q46678-EDA56898-48EF-42F7-8393-1ABC61E03440	Kramer S.	Gisa horretako predikua, eta luze xamarra aukeran, da goien aipatu dugun Stanley Krameren film hau.
Q46700-117595C2-6A8C-457E-BEE2-657D64D41BC8	Lacarra J. M.ª	VM = José María Lacarra, Vasconia medieval.
Q46993-97FD6066-5AC8-461C-BCB6-14D7D1D5A966	Martínez de Zaldibia J.	Zaldibia = Juan Martínez de Zaldibia, Suma de las cosas cantábricas y guipuzcoanas, San Sebastián 1944. Zaldibia murió en 1575. Zumalde = Ignacio Zumalde, Historia de Oñate.
Q46998-C4BCF81D-0133-420A-9D02-022B02FDAD64	Masina G.	Zer ote litzateke Fellini Giulietta Masina, bere emaztea, gabe? Neke da esaten.
Q47000-617BB493-0FE4-4A17-ABE8-5C2879CE0FEA	Mason P.	Perry Mason auzitegian inoiz ikusi duenak ongi daki gauza horiek nola izaten diren.
