qid	Len	P1	P90	P68	Den	P92	P57	qal64	qal64
	popfeminism	"""Q131767266"""	Q2579	Q2570	"""mainstream, media-friendly feminism often criticized for oversimplifying complex gender issues"""	Q20	"en:""popfeminism"""	Q2581	Q1318
	body neutrality	"""Q133278524"""	Q2575	Q2570	"""a movement focusing on bodily functionality and acceptance rather than appearance, without the pressure to love one’s body"""	Q20	"en:""body neutrality"""	Q2581	Q1318
	feminisation of poverty	"""Q1404505"""	Q2580	Q2570	"""increasing incidence and prevalence of poverty among women compared to men, as a result of structural inequalities"""	Q20	"en:""feminisation of poverty"""	Q2581	Q1318
	revenge porn	"""Q15056789"""	Q2573	Q2570	"""non-consensual sharing of intimate images to humiliate or blackmail someone, often by ex-partners"""	Q20	"en:""revenge porn"""	Q2581	Q1318
	cisgender man	"""Q15145778"""	Q2574	Q2570	"""a man who was assigned male at birth and identifies as male"""	Q20	"en:""cisgender man"""	Q2581	Q1318
	cisgender woman	"""Q15145779"""	Q2574	Q2570	"""a woman who was assigned female at birth and identifies as female"""	Q20	"en:""cisgender woman"""	Q2581	Q1318
	mansplaining	"""Q16961425"""	Q2578	Q2570	"""the act of a man explaining something to a woman in a condescending or patronizing manner, often about topics she already understands"""	Q21	"en:""mansplaining"""	Q2581	Q1318
	misogynoir	"""Q17007178"""	Q2576	Q2570	"""the specific intersection of misogyny and racism experienced by black women"""	Q20	"en:""misogynoir"""	Q2581	Q1318
	upskirting	"""Q1713106"""	Q2573	Q2570	"""the invasive act of taking photos under someone’s clothing without consent, often for sexual purposes"""	Q21	"en:""upskirting"""	Q2581	Q1318
	victim blaming	"""Q1716206"""	Q2573	Q2570	"""holding victims of abuse or violence responsible for the harm done to them"""	Q21	"en:""victim blaming"""	Q2581	Q1318
	LGBTIQ+	"""Q17884"""	Q2574	Q2570	"""collective encompassing lesbian, gay, bisexual, transgender, intersex, queer, and other diverse sexual orientations and gender identities"""	Q20	"en:""LGBTIQ+"""	Q2581	Q1318
	gender fluid	"""Q18116794"""	Q2574	Q2570	"""a person whose gender identity that may change or shift over time between different gender expressions"""	Q20	"en:""gender fluid"""	Q2581	Q1318
	transmisogyny	"""Q18211652"""	Q2576	Q2570	"""prejudice or violence directed at trans women and transfeminine people, combining transphobia and misogyny"""	Q20	"en:""transmisogyny"""	Q2581	Q1318
	manspreading	"""Q20027925"""	Q2578	Q2570	"""the practice of men sitting with legs wide apart in public spaces, encroaching on others' space"""	Q21	"en:""manspreading"""	Q2581	Q1318
	pinkwashing	"""Q20200811"""	Q2577	Q2570	"""a marketing or political strategy that promotes products, companies, or institutions by appealing to their lgbtqia+ friendliness"""	Q21	"en:""pinkwashing"""	Q2581	Q1318
	birth-assigned sex	"""Q20474187"""	Q2574	Q2570	"""the sex (male, female, or intersex) assigned to an individual at birth based on physical anatomy"""	Q20	"en:""birth-assigned sex"""	Q2581	Q1318
	obstetric violence	"""Q21011009"""	Q2573	Q2570	"""mistreatment, coercion, or abuse during pregnancy, childbirth, or postpartum care by medical providers"""	Q20	"en:""obstetric violence"""	Q2581	Q1318
	post-pornography	"""Q21011011"""	Q2579	Q2570	"""feminist movement reclaiming erotic media to challenge traditional porn's gendered power dynamics"""	Q20	"en:""post-pornography"""	Q2581	Q1318
	cissexism	"""Q21233437"""	Q2573	Q2570	"""discrimination or prejudice favoring cisgender people over transgender and non-binary individuals"""	Q20	"en:""cissexism"""	Q2581	Q1318
	homocapitalism	"""Q22205399"""	Q2580	Q2570	"""the commodification and commercialization of lgbtq+ identities for profit, often divorced from activist roots"""	Q20	"en:""homocapitalism"""	Q2581	Q1318
	rainbow capitalism	"""Q22205399"""	Q2580	Q2570	"""corporate exploitation of lgbtq+ pride for profit without meaningful support for queer communities"""	Q20	"en:""rainbow capitalism"""	Q2581	Q1318
	rape culture	"""Q2252195"""	Q2573	Q2570	"""social environment that normalizes, excuses, or tolerates sexual violence through attitudes/practices"""	Q20	"en:""rape culture"""	Q2581	Q1318
	homonationalism	"""Q22809895"""	Q2579	Q2570	"""the exploitation of lgbtq+ rights rhetoric to justify nationalist, racist, or xenophobic agendas"""	Q20	"en:""homonationalism"""	Q2581	Q1318
	body positivity	"""Q23013372"""	Q2575	Q2570	"""a movement advocating for the acceptance of all bodies, regardless of gender, size, ability, or appearance, while challenging beauty standards"""	Q20	"en:""body positivity"""	Q2581	Q1318
	heteropatriarchy	"""Q24451508"""	Q2575	Q2570	"""a social system where heterosexual men hold primary power and dominate in roles of political leadership and social privilege"""	Q20	"en:""heteropatriarchy"""	Q2581	Q1318
	trans man	"""Q2449503"""	Q2574	Q2570	"""a man who was assigned female at birth but identifies as male"""	Q20	"en:""trans man"""	Q2581	Q1318
	pink tax	"""Q24964949"""	Q2580	Q2570	"""gender-based pricing where products marketed to women cost more than comparable men's products"""	Q20	"en:""pink tax"""	Q2581	Q1318
	fourth-wave feminism	"""Q25382187"""	Q2579	Q2570	"""current feminist movement focusing on intersectionality, digital activism, and combating sexual violence"""	Q20	"en:""fourth-wave feminism"""	Q2581	Q1318
	detransition	"""Q25396757"""	Q2574	Q2570	"""the process of stopping or reversing gender transition"""	Q20	"en:""detransition"""	Q2581	Q1318
	pansexual	"""Q271534"""	Q2571	Q2570	"""a person who experiences sexual attraction to people regardless of gender"""	Q20	"en:""pansexual"""	Q2581	Q1318
	transfeminine	"""Q27679684"""	Q2574	Q2570	"""a gender identity or expression that is partially or fully feminine, but not exclusively female"""	Q23	"en:""transfeminine"""	Q2581	Q1318
	transmasculine	"""Q27679766"""	Q2574	Q2570	"""a gender identity or expression that is partially or fully masculine, but not exclusively male"""	Q23	"en:""transmasculine"""	Q2581	Q1318
	intersexphobia	"""Q28001435"""	Q2576	Q2570	"""prejudice, discrimination, or erasure directed against intersex people or their rights"""	Q20	"en:""intersexphobia"""	Q2581	Q1318
	purple washing	"""Q28135044"""	Q2580	Q2570	"""superficial adoption of feminist rhetoric by institutions without substantive policy changes"""	Q21	"en:""purple washing"""	Q2581	Q1318
	toxic masculinity	"""Q28439795"""	Q2578	Q2570	"""cultural norms that equate masculinity with dominance, aggression, and emotional suppression, harming men and others"""	Q20	"en:""toxic masculinity"""	Q2581	Q1318
	manterrupting	"""Q28920387"""	Q2578	Q2570	"""the frequent interruption of women by men in professional or social settings"""	Q21	"en:""manterrupting"""	Q2581	Q1318
	Two Spirit	"""Q301702"""	Q2574	Q2570	"""a native american/indigenous identity encompassing diverse genders, sexualities, and spiritual roles"""	Q20	"en:""Two Spirit"""	Q2581	Q1318
	gender non-conformity	"""Q4135211"""	Q2574	Q2570	"""behavior or gender-expression that doesn't match masculine or feminine gender norms"""	Q20	"en:""gender non-conformity"""	Q2581	Q1318
	nonbinary	"""Q48270"""	Q2574	Q2570	"""a person whose gender identity is outside the male/female binary"""	Q20	"en:""nonbinary"""	Q2581	Q1318
	third gender	"""Q48279"""	Q2574	Q2570	"""a recognized gender category beyond male/female in some cultures"""	Q20	"en:""third gender"""	Q2581	Q1318
	agender	"""Q505371"""	Q2574	Q2570	"""a person whose gender identity is characterized by the absence of gender or a neutral rejection of gender categories"""	Q20	"en:""agender"""	Q2581	Q1318
	enbyphobia	"""Q5282086"""	Q2573	Q2570	"""prejudice, discrimination, or hostility directed specifically toward non-binary individuals"""	Q20	"en:""enbyphobia"""	Q2581	Q1318
	gender binary	"""Q5530970"""	Q2574	Q2570	"""the classification of gender into two distinct, opposite categories (male and female)"""	Q20	"en:""gender binary"""	Q2581	Q1318
	cyberflashing	"""Q55608715"""	Q2573	Q2570	"""sending unsolicited explicit images (e.g., nude photos) digitally, often as a form of sexual harassment"""	Q21	"en:""cyberflashing"""	Q2581	Q1318
	zipper system	"""Q55638258"""	Q2577	Q2570	"""electoral mechanism intended to enforce gender parity in countries using party-list proportional gender representation with closed lists"""	Q20	"en:""zipper system"""	Q2581	Q1318
	transexclusionary radical feminist	"""Q55961209"""	Q2579	Q2570	"""a feminist whobelieves that feminism should not include supporting the rights of transgender women"""	Q20	"en:""transexclusionary radical feminist"""	Q2581	Q1318
	gender incongruence	"""Q56314793"""	Q2574	Q2570	"""distress experienced when one's gender identity doesn't align with their assigned sex at birth"""	Q20	"en:""gender incongruence"""	Q2581	Q1318
	cisgender privilege	"""Q56623621"""	Q2578	Q2570	"""societal advantages granted to cisgender people that transgender and non-binary individuals do not experience"""	Q20	"en:""cisgender privilege"""	Q2581	Q1318
	caring masculinity	"""Q58037329"""	Q2578	Q2570	"""a model of masculinity that emphasizes emotional openness, nurturing, and caregiving, challenging traditional gender roles"""	Q20	"en:""caring masculinity"""	Q2581	Q1318
	LGBTphobia	"""Q583261"""	Q2576	Q2570	"""prejudice, discrimination, or hatred against lgbtiq+ people"""	Q20	"en:""LGBTphobia"""	Q2581	Q1318
	trans affirmative	"""Q58606505"""	Q2577	Q2570	"""policies, practices, or attitudes that actively support transgender rights and identities"""	Q23	"en:""trans affirmative"""	Q2581	Q1318
	whorephobia	"""Q59161710"""	Q2576	Q2570	"""stigma or discrimination against sex workers or those perceived as sexually promiscuous"""	Q20	"en:""whorephobia"""	Q2581	Q1318
	transprejudice	"""Q59677"""	Q2576	Q2570	"""discrimination or bias against transgender individuals"""	Q20	"en:""transprejudice"""	Q2581	Q1318
	acephobia	"""Q60755604"""	Q2573	Q2570	"""prejudice, discrimination, or hostility toward asexuality or asexual individuals"""	Q20	"en:""acephobia"""	Q2581	Q1318
	period poverty	"""Q62101642"""	Q2576	Q2570	"""lack of access to menstrual products, hygiene facilities, and education by women and girls during their menstrual period"""	Q20	"en:""period poverty"""	Q2581	Q1318
	body shaming	"""Q63522120"""	Q2573	Q2570	"""criticizing or humiliating someone for their bodily features, often reinforcing harmful beauty standards"""	Q21	"en:""body shaming"""	Q2581	Q1318
	demigender	"""Q63715923"""	Q2574	Q2570	"""a person that feels a partial, but not full, connection to a specific gender"""	Q20	"en:""demigender"""	Q2581	Q1318
	anti-gender	"""Q64717200"""	Q2576	Q2570	"""a political and ideological movement opposing gender equality, lgbtqia+ rights, and gender studies, often framing them as threats to traditional values"""	Q23	"en:""anti-gender"""	Q2581	Q1318
	misgendering	"""Q64737957"""	Q2574	Q2570	"""referring to someone using language (pronouns, titles, etc.) that doesn't align with their gender identity"""	Q21	"en:""misgendering"""	Q2581	Q1318
	femonationalism	"""Q66305961"""	Q2579	Q2570	"""the co-optation of feminist rhetoric to justify nationalist, racist, or anti-immigrant policies"""	Q20	"en:""femonationalism"""	Q2581	Q1318
	period leave	"""Q6817361"""	Q2577	Q2570	"""workplace policy allowing menstrual-related sick days, addressing gender equity in labor rights"""	Q20	"en:""period leave"""	Q2581	Q1318
	fatshaming	"""Q7074872"""	Q2573	Q2570	"""criticizing or humiliating someone for their body size or weight, often reinforcing harmful beauty standards"""	Q21	"en:""fatshaming"""	Q2581	Q1318
	pangender	"""Q7130936"""	Q2574	Q2570	"""a person whose gender identity encompasses or experienciences all genders on the spectrum"""	Q20	"en:""pangender"""	Q2581	Q1318
	sextortion	"""Q7200896"""	Q2573	Q2570	"""blackmail using threatened exposure of sexual images or information to coerce someone"""	Q20	"en:""sextortion"""	Q2581	Q1318
	sologamy	"""Q7448146"""	Q2578	Q2570	"""the act of marrying oneself, often as a statement of self-love or independence"""	Q20	"en:""sologamy"""	Q2581	Q1318
	orgasm gap	"""Q85851582"""	Q2576	Q2570	"""the documented disparity in orgasm frequency between heterosexual men and women during partnered sex"""	Q20	"en:""orgasm gap"""	Q2581	Q1318
	bigender	"""Q859614"""	Q2574	Q2570	"""a person whose gender identity where a person experiences two distinct genders, either simultaneously or alternately"""	Q20	"en:""bigender"""	Q2581	Q1318
	skoliosexual	"""Q89364372"""	Q2571	Q2570	"""a person who is attracted to non-binary or genderqueer individuals"""	Q20	"en:""skoliosexual"""	Q2581	Q1318
	demiboy	"""Q93954933"""	Q2574	Q2570	"""a person that identifies partially, but not entirely, as a boy/man, regardless of assigned sex"""	Q20	"en:""demiboy"""	Q2581	Q1318
	demigirl	"""Q93955709"""	Q2574	Q2570	"""a person that identifies partially, but not entirely, as a girl/female, regardless of assigned sex"""	Q20	"en:""demigirl"""	Q2581	Q1318
	neopronoun	"""Q97441379"""	Q2574	Q2570	"""gender-neutral pronouns beyond he/she/they (e.g., ze/zir, ey/em) created for more inclusive language"""	Q20	"en:""neopronoun"""	Q2581	Q1318
	brocialism		Q2577	Q2570	"""attitude or ideology amongst men who claim socialist or progressive politics but dismiss feminist issues"""	Q20	"en:""brocialism"""	Q2581	Q1318
	broflake		Q2578	Q2570	"""of a man who reacts defensively or aggressively to challenges against male privilege or sexism"""	Q23	"en:""broflake"""	Q2581	Q1318
	centrigender		Q2574	Q2570	"""a non-binary gender identity where one feels being centered between or in the middle of multiple genders"""	Q20	"en:""centrigender"""	Q2581	Q1318
	cis-wash		Q2573	Q2570	"""the practice of downplaying or erasing transgender experiences to appeal to cisgender norms"""	Q20	"en:""cis-wash"""	Q2581	Q1318
	cisheteropatriarchy		Q2575	Q2570	"""a system of power that prioritizes cisgender, heterosexual men while oppressing women, lgbtqia+, and gender-diverse people"""	Q20	"en:""cisheteropatriarchy"""	Q2581	Q1318
	cispatriarchy		Q2575	Q2570	"""a patriarchal system that centers and privileges cisgender men’s dominance over other genders"""	Q20	"en:""cispatriarchy"""	Q2581	Q1318
	demiandrogyne		Q2574	Q2570	"""a non-binary identity where one feels partially, but not fully, androgynous"""	Q20	"en:""demiandrogyne"""	Q2581	Q1318
	dream gap		Q2576	Q2570	"""the disparity in aspirations and self-confidence between girls and boys that emerges in childhood"""	Q20	"en:""dream gap"""	Q2581	Q1318
	embodied solidarity		Q2579	Q2570	"""physical acts of support where individuals use their bodily presence to resist oppressions imposed by capitalism, patriarchy, colonialism or racism sufferd by marginalized groups"""	Q20	"en:""embodied solidarity"""	Q2581	Q1318
	fake ally		Q2578	Q2570	"""someone who claims to support feminism but whose actions contradict or undermine that support"""	Q20	"en:""fake ally"""	Q2581	Q1318
	freebleeding		Q2579	Q2570	"""the practice of menstruating without using traditional hygiene products, often as a political statement"""	Q21	"en:""freebleeding"""	Q2581	Q1318
	hepeating		Q2578	Q2570	"""practice of a man repeating a woman's idea and receiving credit for it, while the original woman's contribution was ignored"""	Q21	"en:""hepeating"""	Q2581	Q1318
	hislam		Q2575	Q2570	"""islam which reinforces masculinist attitudes or ideas or downplays women's issues"""	Q20	"en:""hislam"""	Q2581	Q1318
	incel		Q2578	Q2570	"""a member of an online subculture characterized by resentment and misogyny, often blaming women for their lack of sexual relationships"""	Q20	"en:""incel"""	Q2581	Q1318
	manslamming		Q2578	Q2570	"""the act of occupying disproportionate physical space in public areas, forcing women to move aside"""	Q21	"en:""manslamming"""	Q2581	Q1318
	midgender		Q2574	Q2570	"""a non-binary gender identity that exists between male and female on the gender spectrum"""	Q20	"en:""midgender"""	Q2581	Q1318
	neutrandrogyne		Q2574	Q2570	"""a non-binary identity combining neutral and androgynous gender qualities"""	Q20	"en:""neutrandrogyne"""	Q2581	Q1318
	purple glasses		Q2577	Q2570	"""the lens of feminist analysis applied to interpret cultural/social phenomena"""	Q20	"en:""purple glasses"""	Q2581	Q1318
	transmisogynoir		Q2576	Q2570	"""the intersection of transmisogyny and racism, specifically targeting black trans women"""	Q20	"en:""transmisogynoir"""	Q2581	Q1318
