Leu,Aeu,iturria,eusterm,wikidata,pos,DefEu,Deu,Jeu,Les,DefEs,Des,Jes,Lfr,DefFr,Dfr,Jfr,Len,DefEn,Den,Jen,Propietateak,P3 (honen parte),P4 (honen azpiklase)
bertso jaialdi,bertso-jaialdi,Q19087,Q8395,,Q8371,"Lau eta zortzi bertsolari arteko ekitaldi mota, gai jartzaile baten gidaritzapean egina","lau eta zortzi bertsolari arteko ekitaldi mota, gai jartzaile baten gidaritzapean egina",Q19111,festival de bertsolaris,Modalidad de actuación de entre cuatro y ocho bertsolaris dirigida por un conductor,modalidad de actuación de entre cuatro y ocho bertsolaris dirigida por un conductor,Q19087,festival de bertsolaris,Représentation de entre quatre et huit bertsolaris dirigée par un meneur de jeu,représentation de entre quatre et huit bertsolaris dirigée par un meneur de jeu,Q19087,bertsolari festival,Event format where between four and eight bertsolaris are directed or prompted by a theme-prompter,event format where between four and eight bertsolaris are directed or prompted by a theme-prompter,Q19087,honen azpiklase: bertso saio,,Q8392
bertso jartzaile,bertso-jartzaile,Q19088,Q8389,,Q8371,Bertsoak idazten dituen pertsona,bertsoak idazten dituen pertsona,Q19088,escritor/a de bertsos,Persona que escribe bertsos,persona que escribe bertsos,Q19111,écrivain/e de bertsos,Personne qui écrit des bertsos,personne qui écrit des bertsos,Q19111,bertso writer,Person who writes bertsos,person who writes bertsos,Q19111,honen azpiklase: bertsolari,,Q8404
bertso lan,bertso-lan,Q19090,Q19095,,Q8371,Bertsogintza; bertsogintzaren emaitza,bertsogintza; bertsogintzaren emaitza,Q19090,obra bertsolarística,La creación bertsolarística; el resultado de la creación bertsolarística,la creación bertsolarística; el resultado de la creación bertsolarística,Q19111,œuvre bertsolaristique,La création bertsolaristique; le résultat de la création bertsolaristique,la création bertsolaristique; le résultat de la création bertsolaristique,Q19111,bertsolaristic work,Bertsolaristic creation; the result of bertsolaristic creation,bertsolaristic creation; the result of bertsolaristic creation,Q19111,honen parte: bertsogintza,Q8402,
bertso lerro,bertso-lerro,Q19087|Q19088,Q8396,Q285573,Q8371,"Bertsoa, ahapaldiko lerroa","bertsoa, ahapaldiko lerroa",Q19088,línea,Cada una de las líneas escritas de un bertso,cada una de las líneas escritas de un bertso,Q19111,ligne,Chacune des lignes écrites d'un bertso,chacune des lignes écrites d'un bertso,Q19111,line,Each of the written lines of a bertso,each of the written lines of a bertso,Q19111,honen parte: puntu,Q8447,
bertso paper,bertso-paper|bertsopaper,Q19087|Q19088,Q8391,,Q8371,Jarritako bertsoak jasotzen dituen papera,jarritako bertsoak jasotzen dituen papera,Q19088,hoja volante de bertsos,Hoja volante que contiene bertsos escritos,hoja volante que contiene bertsos escritos,Q19111,feuille volante de bertsos,Feuille volante contenant des bertsos écrits,feuille volante contenant des bertsos écrits,Q19111,sheet of bertsos,Paper sheet containing written bertsos,paper sheet containing written bertsos,Q19111,honen multzo: bertso idatzi,,
bertso saio,bertso-saio,Q19087|Q19088,Q8392,,Q8371,Bat-bateko bertsoak botatzen diren saioa,bat-bateko bertsoak botatzen diren saioa,Q19088,actuación de bertsolaris,Evento constituido por varias intervenciones de bertsolaris,evento constituido por varias intervenciones de bertsolaris,Q19087,représentation de bertsolaris,Événement composée de plusieurs interventions de bertsolaris,événement composée de plusieurs interventions de bertsolaris,Q19087,bertsolaris event,Event made up of a number of bertsolari performances,event made up of a number of bertsolari performances,Q19087,honen parte: bertsogintza,Q8402,
bertso saltzaile,bertso-saltzaile,Q19088,Q8393,,Q8371,Bertsopaperak saltzen dituen pertsona,bertsopaperak saltzen dituen pertsona,Q19088,vendedor/a de bertsos,Persona que vende hojas volantes de bertsos,persona que vende hojas volantes de bertsos,Q19111,vendeur/se de bertsos,Personne qui vend des feuilles volantes de bertsos,personne qui vend des feuilles volantes de bertsos,Q19111,bertso vendor,Person who sells sheets of bertsos,person who sells sheets of bertsos,Q19111,honen saltzaile: bertso paper,,
bertso sorta,bertso-sorta,Q19090,Q19096,,Q8371,Bertso multzoa; gai baten inguruan hasi eta buka sorturiko bertsoen segida,bertso multzoa; gai baten inguruan hasi eta buka sorturiko bertsoen segida,Q19090,conjunto de bertsos,Secuencia de bertsos que tratan un mismo tema y forman parte de un discurso conjunto,secuencia de bertsos que tratan un mismo tema y forman parte de un discurso conjunto,Q19111,ensemble de bertsos,Séquence de bertsos qui traitent du même thème et font partie d’un discours commun,séquence de bertsos qui traitent du même thème et font partie d’un discours commun,Q19111,set of bertsos,Sequence of bertsos that deal with the same theme and are part of a joint discourse,sequence of bertsos that deal with the same theme and are part of a joint discourse,Q19111,honen multzo: bertso,,
bertso txapelketa,bertso-txapelketa,Q19087,Q8398,Q115589240,Q8371,"Lehiaketa formatuko bertso saio puntuatua, non gai jartzaileez gain epaimahai bat ere badagoen","lehiaketa formatuko bertso saio puntuatua, non gai jartzaileez gain epaimahai bat ere badagoen",Q19111,campeonato de bertsolaris,"Actuación puntuada de bertsolaris con carácter competitivo, en la que se cuenta con un jurado además del conductor","actuación puntuada de bertsolaris con carácter competitivo, en la que se cuenta con un jurado además del conductor",Q19111,championnat de bertsolaris,"Répresentation noté de bertsolaris à caractère competitif, dans laquelle il y a un jury en plus du meneur de jeu","répresentation noté de bertsolaris à caractère competitif, dans laquelle il y a un jury en plus du meneur de jeu",Q19111,bertsolari championship,"Graded competitive bertsolaris event, whith the presence of a jury in addition to the theme-prompter","graded competitive bertsolaris event, whith the presence of a jury in addition to the theme-prompter",Q19111,honen azpiklase: bertso saio,,Q8392
bertsoak bota,,Q19088,Q8399,,Q8373,Jendaurrean bertsoak bat-batean osatu eta kantatu,jendaurrean bertsoak bat-batean osatu eta kantatu,Q19088,improvisar bertsos,Completar y cantar bertsos en público de manera improvisada,completar y cantar bertsos en público de manera improvisada,Q19111,improviser des bertsos,Compléter et chanter des bertsos en public de manière improvisée,compléter et chanter des bertsos en public de manière improvisée,Q19111,(to) improvise bertsos,To complete and sing bertsos in public in an improvised manner,to complete and sing bertsos in public in an improvised manner,Q19111,honen parte: bertsogintza,Q8402,
bertsoak jarri,bertsoak atera|bertsoak eman|bertsoak ipini|bertsoak paratu,Q19088,Q8400,,Q8373,Bat-batekoak ez diren bertso berriak idatziz eman,bat-batekoak ez diren bertso berriak idatziz eman,Q19088,escribir bertsos,Componer bertsos no improvisados de forma escrita,componer bertsos no improvisados de forma escrita,Q19111,écrire des bertsos,Composer des bertsos non improvisés sous forme écrite,composer des bertsos non improvisés sous forme écrite,Q19111,(to) write bertsos,To compose non-improvised bertsos in written form,to compose non-improvised bertsos in written form,Q19111,honen parte: bertsogintza,Q8402,
bertsoaldi,,Q19087|Q19088,Q8401,,Q8371,Bertsolari batek bertso saio batean egiten duen parte-hartze edo abestaldi bakoitza,bertsolari batek bertso saio batean egiten duen parte-hartze edo abestaldi bakoitza,Q19088,intervención,Cada una de las intervenciones de uno o más bertsolaris en el marco de una actuación,cada una de las intervenciones de uno o más bertsolaris en el marco de una actuación,Q19087,intervention,Chacune des interventions d'un ou de plusieurs bertsolaris dans le cadre d'une représentation,chacune des interventions d'un ou de plusieurs bertsolaris dans le cadre d'une représentation,Q19087,performance,Each one of the performances of one or more bertsolaris within an event,each one of the performances of one or more bertsolaris within an event,Q19087,honen parte: bertsogintza,Q8402,
bertsogintza,,Q19087|Q19088,Q8402,,Q8371,"Bertsoen sorkuntza, bertsoak botatzea edo jartzea","bertsoen sorkuntza, bertsoak botatzea edo jartzea",Q19088,creación bertsolarística,"La creación de bertsos, sea improvisándolos oralmente o componiéndolos por escrito","la creación de bertsos, sea improvisándolos oralmente o componiéndolos por escrito",Q19111,création bertsolaristique,"La création de bertsos, qu'ils soient improvisés oralement ou composés par écrit","la création de bertsos, qu'ils soient improvisés oralement ou composés par écrit",Q19111,bertsolaristic creation,"Creating bertsos, whether by oral improvisation or written composition","creating bertsos, whether by oral improvisation or written composition",Q19111,honen jarduna: bertsolaritza,,
bertsokera,,Q19088,Q8403,,Q8371,Bertsoak moldatzeko era,bertsoak moldatzeko era,Q19088,estilo bertsolarístico,Estilo determinado de creación de bertsos,estilo determinado de creación de bertsos,Q19111,style bertsolaristique,Style spécifique de création de bertsos,style spécifique de création de bertsos,Q19111,bertso style,Particular style of creating bertsos,particular style of creating bertsos,Q19111,honen estiloa: bertsogintza,,
bertsolari,bertsogile,Q19088,Q8404,Q630993,Q8371,"Bertsoak jartzen edo, bereziki, bertsoak botatzen dituen pertsona","bertsoak jartzen edo, bereziki, bertsoak botatzen dituen pertsona",Q19088,bertsolari,"Persona que escribe o, especialmente, improvisa bertsos","persona que escribe o, especialmente, improvisa bertsos",Q19111,bertsolari,"Personne qui écrit ou, surtout, improvise des bertsos","personne qui écrit ou, surtout, improvise des bertsos",Q19111,bertsolari,"Person who writes or, especially, improvises bertsos","person who writes or, especially, improvises bertsos",Q19111,honen jardule: bertsogintza,,
bertsolaritza,,Q19087|Q19088,Q8406,Q631621,Q8371,"Euskal herri-literaturaren adarra, bertsolariari eta bertsogintzari dagokiena","euskal herri-literaturaren adarra, bertsolariari eta bertsogintzari dagokiena",Q19088,"bertsolarismo, movimiento bertsolarístico","El arte del canto improvisado en euskera, cantándolos conforme a una métrica y una rima preestablecidas","el arte del canto improvisado en euskera, cantándolos conforme a una métrica y una rima preestablecidas",Q19111,"bertsolarisme, bertsularisme, mouvement bertsolaristique","L'art du chant improvisé en basque, en les chantant selon un mètre et une rime préétablis","l'art du chant improvisé en basque, en les chantant selon un mètre et une rime préétablis",Q19111,"bertsolaritza, bertsolarism, bertsolaristic movement",The art of improvised singing in basque according to various melodies and rhyming patterns,the art of improvised singing in basque according to various melodies and rhyming patterns,Q19111,,,
bertsozale,,Q19088,Q8407,,Q8371,Bertsoen zalea dena,bertsoen zalea dena,Q19088,aficionado al bertsolarismo,Persona aficionada al bertsolarismo,persona aficionada al bertsolarismo,Q19111,amateur du bertsolarisme,Personne qui aime le bertsolarisme,personne qui aime le bertsolarisme,Q19111,bertsolaritza aficionado,Person who is interested in bertsolaritza,person who is interested in bertsolaritza,Q19111,hau duen pertsona: bertsozaletasuna,,
bertsozaletasun,,Q19088,Q8409,,Q8371,Bertsoetarako zaletasuna,bertsoetarako zaletasuna,Q19088,afición al bertsolarismo,Sentimiento de afición por el bertsolarismo,sentimiento de afición por el bertsolarismo,Q19111,engouement pour le bertsolarisme,Sentiment de passion pour le bertsolarisme,sentiment de passion pour le bertsolarisme,Q19111,passion for bertsolaritza,Feeling of passion for bertsolaritza,feeling of passion for bertsolaritza,Q19111,honekiko zaletasun: bertsolaritza,,
betegarri,,Q19087,Q8410,Q15087361,Q8371,"Bertsolariek doinuak eskatzen dien neurria betetzeko erabiltzen dituzten hitzak, bertsoaren edukiari ezer gehitzen ez diotenak","bertsolariek doinuak eskatzen dien neurria betetzeko erabiltzen dituzten hitzak, bertsoaren edukiari ezer gehitzen ez diotenak",Q19111,calzos,Palabras inconexas que el bertsolari utiliza para cuadrar sus expresiones en el molde métrico que la tonada le impone,palabras inconexas que el bertsolari utiliza para cuadrar sus expresiones en el molde métrico que la tonada le impone,Q19087,mots de remplissage,Mots sans connexion utilisés par le bertsolari pour caler ses expressions dans un moule métrique que l'air lui impose,mots sans connexion utilisés par le bertsolari pour caler ses expressions dans un moule métrique que l'air lui impose,Q19087,wedges,Unconnected words that the bertsolaris use to fit their oral expressions into the metrical pattern that the melody has imposed on them,unconnected words that the bertsolaris use to fit their oral expressions into the metrical pattern that the melody has imposed on them,Q19087,honen parte: betelan,Q8411,
betelan,,Q19087,Q8411,,Q8371,Abesten hasi aurretik pentsatu ez dituzten bertsoaren zatiak betetzeko bertsolariek duten gaitasuna,abesten hasi aurretik pentsatu ez dituzten bertsoaren zatiak betetzeko bertsolariek duten gaitasuna,Q19111,relleno,Habilidad del bertsolari para completar adecuadamente las partes del bertso que no ha podido pensar antes de lanzarse a cantar,habilidad del bertsolari para completar adecuadamente las partes del bertso que no ha podido pensar antes de lanzarse a cantar,Q19087,travail de remplissage,Capacité du bertsolari à compléter convenablement les intervalles du bertso auxquels il n'a pu réfléchir avant de commencer le chant,capacité du bertsolari à compléter convenablement les intervalles du bertso auxquels il n'a pu réfléchir avant de commencer le chant,Q19087,fill-in task,The bertsolari's skill to suitably complete the parts of the bertso that could not be thought up before starting to sing.,the bertsolari's skill to suitably complete the parts of the bertso that could not be thought up before starting to sing.,Q19087,honetarako baliagarri: bertsogintza,,
bukaera emanda,,Q19087,Q8413,,Q8375,"Batez ere txapelketetan ematen den ariketa, non bertsolariari bota beharreko bertsoaren azken puntua ematen zaion","batez ere txapelketetan ematen den ariketa, non bertsolariari bota beharreko bertsoaren azken puntua ematen zaion",Q19111,final forzado,"Ejercicio empleado sobre todo en los campeonatos, en la que se indica al bertsolari el último punto del bertso que ha de improvisar","ejercicio empleado sobre todo en los campeonatos, en la que se indica al bertsolari el último punto del bertso que ha de improvisar",Q19087,final forcé,"Exercice employé surtout dans les championnats, dans lequel le dernier point du bertso à improviser est indiqué au bertsolari","exercice employé surtout dans les championnats, dans lequel le dernier point du bertso à improviser est indiqué au bertsolari",Q19087,imposed ending,Exercice used especially in championships where the bertsolari is given the last puntu of the bertso to be improvised,exercice used especially in championships where the bertsolari is given the last puntu of the bertso to be improvised,Q19087,honen azpiklase: ariketa,,Q8383
diskurtso,berbaldi,Q19087,Q19097,Q190539,Q8371,"Bat-bateko bertsolaritzan, helburu jakin bat betetzeko erretorikoki egituratutako esaldiz gaindiko unitatea, bertso bakoitzak osatzen duena","bat-bateko bertsolaritzan, helburu jakin bat betetzeko erretorikoki egituratutako esaldiz gaindiko unitatea, bertso bakoitzak osatzen duena",Q19111,discurso,"En el bertsolarismo improvisado, unidad supra-oracional estructurada retóricamente para conseguir un determinado fin, constituída por cada bertso","en el bertsolarismo improvisado, unidad supra-oracional estructurada retóricamente para conseguir un determinado fin, constituída por cada bertso",Q19087,discours,"Dans le bertsolarisme improvisé, unité de discours rhétorique structurée de manière à obtenir une fin précise, constituée par chaque bertso","dans le bertsolarisme improvisé, unité de discours rhétorique structurée de manière à obtenir une fin précise, constituée par chaque bertso",Q19087,discourse,"In improvised bertsolaritza, supra-oration rhetorically structured to achieve a specific end, made up by every bertso","in improvised bertsolaritza, supra-oration rhetorically structured to achieve a specific end, made up by every bertso",Q19087,honen parte: bertsoaldi,Q8401,
doinu,,Q19087|Q19088,Q8415,Q170412,Q8371,Kantatua izateko gai den musika-noten segida,kantatua izateko gai den musika-noten segida,Q19088,tonada,"Melodía elegida por el bertsolari, que, a su vez, le impone una determinada métrica","melodía elegida por el bertsolari, que, a su vez, le impone una determinada métrica",Q19087,air,Mélodie choisie par le bertsolari et qui lui impose une métrique précise,mélodie choisie par le bertsolari et qui lui impose une métrique précise,Q19087,melody,"The air chosen by the bertsolari and which, in turn, imposes a certain metrical pattern on the sung bertso","the air chosen by the bertsolari and which, in turn, imposes a certain metrical pattern on the sung bertso",Q19087,honen parte: bertso,Q8387,
errima,,Q19087|Q19088,Q8417,Q178715,Q8371,Hoskidetasuna,hoskidetasuna,Q19088,rima,"Correspondencia de sonidos que deben compartir todos los pies de un bertso. En el bertsolarismo, la rima es siempre consonante","correspondencia de sonidos que deben compartir todos los pies de un bertso. en el bertsolarismo, la rima es siempre consonante",Q19087,rime,"Correspondance des sons que doivent partager tous les pieds d'un bertso. Dans le bertsolarisme, la rime est toujours consonantique","correspondance des sons que doivent partager tous les pieds d'un bertso. dans le bertsolarisme, la rime est toujours consonantique",Q19087,rhyme,"Correspondence of sound that must exist between the feet, or rhyming words, of a bertso. In bertsolaritza, rhyming is always of consonance","correspondence of sound that must exist between the feet, or rhyming words, of a bertso. in bertsolaritza, rhyming is always of consonance",Q19087,honen parte: oin,Q8443,
eten,,Q19087,Q19105,Q247417,Q8371,"Bertso lerro baten barruan gertatzen den etenaldia, doinuaren araberakoa","bertso lerro baten barruan gertatzen den etenaldia, doinuaren araberakoa",Q19111,cesura,"Pausa interior de una linea de un bertso, que viene determinada por su tonada","pausa interior de una linea de un bertso, que viene determinada por su tonada",Q19111,césure,"Une pause interne dans une ligne de bertso, déterminée par son air","une pause interne dans une ligne de bertso, déterminée par son air",Q19111,caesura,"An internal pause in a line of a bertso, determined by its melody","an internal pause in a line of a bertso, determined by its melody",Q19111,honen parte: doinu,Q8415,
gai,,Q19087,Q8422,,Q8371,"Bertsoak lantzen duen gaia, bertsolariari sarritan gai jartzaileak emana","bertsoak lantzen duen gaia, bertsolariari sarritan gai jartzaileak emana",Q19111,tema,"El tema del que trata el bertso, a menudo impuesto por el conductor","el tema del que trata el bertso, a menudo impuesto por el conductor",Q19111,thème,"Le thème du bertso, souvent imposé par le meneur du jeu","le thème du bertso, souvent imposé par le meneur du jeu",Q19111,theme / topic,"The theme or topic that the bertso is about, often imposed by the theme-prompter","the theme or topic that the bertso is about, often imposed by the theme-prompter",Q19111,honen parte: bertso,Q8387,
gai jartzaile,gai-jartzaile,Q19087|Q19088,Q8423,,Q8371,"Bertso saioetan, gaiak jartzen dituen pertsona","bertso saioetan, gaiak jartzen dituen pertsona",Q19088,conductor/a,"Persona, la cual, en una actuación de bertsolaris, tiene como labor proponer los temas sobre los que han de versificar los bertsolaris y decidir la modalidad de las intervenciones, así como el orden de estas","persona, la cual, en una actuación de bertsolaris, tiene como labor proponer los temas sobre los que han de versificar los bertsolaris y decidir la modalidad de las intervenciones, así como el orden de estas",Q19087,meneur de jeu,"Personne qui, dans une représentation de bertsolaris, a la fonction de proposer les thèmes sur lesquels les bertsolaris doivent versifier et décider de la modalité des interventions comme de leur orde","personne qui, dans une représentation de bertsolaris, a la fonction de proposer les thèmes sur lesquels les bertsolaris doivent versifier et décider de la modalité des interventions comme de leur orde",Q19087,theme-prompter,Persone whose task is to propose themes about which the bertsolari has to construct their improvised bertso,persone whose task is to propose themes about which the bertsolari has to construct their improvised bertso,Q19087,honen emaile:,,
ganbarako lan,kartzelako lan,Q19087,Q8425,,Q8371,"Txapelketetan ematen den ariketa mota, non bertsolari bat baino gehiagok gai berari buruz abestu behar duten, ausazko ordenan eta besteen bertsoaldiak entzun gabe, bereziki prestatutako gela batera joanez horretarako ('ganbarara', hortik dator ariketaren izena)","txapelketetan ematen den ariketa mota, non bertsolari bat baino gehiagok gai berari buruz abestu behar duten, ausazko ordenan eta besteen bertsoaldiak entzun gabe, bereziki prestatutako gela batera joanez horretarako ('ganbarara', hortik dator ariketaren izena)",Q19111,cárcel-intervención,"Tipo de ejercicio propio de los campeonatos, en la que varios bertsolaris han de improvisar sobre el mismo tema, en un orden que se establece por sorteo, sin escuchar las intervenciones de los demás bertsolaris, retirándose para ello a un habítaculo adaptado al efecto (la ""cárcel"", de ahí el nombre del ejercicio)","tipo de ejercicio propio de los campeonatos, en la que varios bertsolaris han de improvisar sobre el mismo tema, en un orden que se establece por sorteo, sin escuchar las intervenciones de los demás bertsolaris, retirándose para ello a un habítaculo adaptado al efecto (la ""cárcel"", de ahí el nombre del ejercicio)",Q19087,travail post-carcéral,"Type d'exercice spécifique des championnats, dans laquelle plusieurs bertsolaris doivent improviser sur le même thème, dans un ordre établi partirage au sort, sans écouter les interventions des autres bertsolaris, en se retirant dans une salle adaptée à cet effet (la ""prison"", d'où le nom de l'exercice)","type d'exercice spécifique des championnats, dans laquelle plusieurs bertsolaris doivent improviser sur le même thème, dans un ordre établi partirage au sort, sans écouter les interventions des autres bertsolaris, en se retirant dans une salle adaptée à cet effet (la ""prison"", d'où le nom de l'exercice)",Q19087,prison work,"Format of performance, very common as part of championships, whereby a number of bertsolaris must improvise on a theme in the order decided by drawing lots and without hearing the other bertsolaris' performances, by waiting in a separate room (the ""prison cell"") adapted for that purpose","format of performance, very common as part of championships, whereby a number of bertsolaris must improvise on a theme in the order decided by drawing lots and without hearing the other bertsolaris' performances, by waiting in a separate room (the ""prison cell"") adapted for that purpose",Q19087,honen azpiklase: ariketa,,Q8383
hamarreko,,Q19088,Q8427,,Q8371,"Bertsogintzan, hamar lerro eta bost puntu dituen bertso mota","bertsogintzan, hamar lerro eta bost puntu dituen bertso mota",Q19088,hamarreko,Bertso de diez lineas y cinco puntos,bertso de diez lineas y cinco puntos,Q19111,hamarreko,Bertso de dix lignes et cinq points,bertso de dix lignes et cinq points,Q19111,hamarreko,Bertso made up of ten lines and five puntus,bertso made up of ten lines and five puntus,Q19111,honen azpiklase: neurri,,Q1751
