"wikidata"	"wikidatalink"	"source_page"	"instance_of"	"part_of"	"subclass_of"	"eu"	"eu_wikipedia"	"es"	"es_wikipedia"	"en"	"en_wikipedia"	"fr"	"fr_wikipedia"	"it"	"it_wikipedia"	"de"	"de_wikipedia"
"Q1641007"	"https://wikidata.org/wiki/Q1641007"	"Hipercinesia"	"https://wikidata.org/wiki/Q112193867"	""	"https://wikidata.org/wiki/Q2608695"			"hipercinesia"	"https://es.wikipedia.org/wiki/Hipercinesia"	"hyperkinesia"	"https://en.wikipedia.org/wiki/Hyperkinesia"	"hypercinésie"		"Ipercinesia"	"https://it.wikipedia.org/wiki/Ipercinesia"	"Hyperkinese"	"https://de.wikipedia.org/wiki/Hyperkinese"	
"Q201561"	"https://wikidata.org/wiki/Q201561"	"Manual diagnóstico y estadístico de los trastornos mentales"	"https://wikidata.org/wiki/Q13136
https://wikidata.org/wiki/Q1338914
https://wikidata.org/wiki/Q3518464
https://wikidata.org/wiki/Q1469824
https://wikidata.org/wiki/Q3511132"	""	""	"Buru asalduren diagnosi eta estatistika eskuliburua"	"https://eu.wikipedia.org/wiki/Buru_asalduren_diagnosi_eta_estatistika_eskuliburua"	"Manual diagnóstico y estadístico de los trastornos mentales"	"https://es.wikipedia.org/wiki/Manual_diagnóstico_y_estadístico_de_los_trastornos_mentales"	"Diagnostic and Statistical Manual of Mental Disorders"	"https://en.wikipedia.org/wiki/Diagnostic_and_Statistical_Manual_of_Mental_Disorders"	"Manuel diagnostique et statistique des troubles mentaux"	"https://fr.wikipedia.org/wiki/Manuel_diagnostique_et_statistique_des_troubles_mentaux"	"Manuale diagnostico e statistico dei disturbi mentali"	"https://it.wikipedia.org/wiki/Manuale_diagnostico_e_statistico_dei_disturbi_mentali"	"Diagnostic and Statistical Manual of Mental Disorders"	"https://de.wikipedia.org/wiki/Diagnostic_and_Statistical_Manual_of_Mental_Disorders"	
"Q17028415"	"https://wikidata.org/wiki/Q17028415"	"Trastorno hipercinético"	"https://wikidata.org/wiki/Q12136"	""	"https://wikidata.org/wiki/Q3063847
https://wikidata.org/wiki/Q1641007"			"Trastorno hipercinético"	"https://es.wikipedia.org/wiki/Trastorno_hipercinético"	"hyperkinetic disorder"	"https://en.wikipedia.org/wiki/Hyperkinetic_disorder"	"trouble hyperkinétique"	"https://fr.wikipedia.org/wiki/Hyperkinésie"	"disturbo ipercinetico"	"https://it.wikipedia.org/wiki/Instabilità_psicomotoria"	"hyperkinetische Störungen"		
"Q4718660"	"https://wikidata.org/wiki/Q4718660"	"Alexander Crichton"	"https://wikidata.org/wiki/Q5"	""	""			"Alexander Crichton"	"https://es.wikipedia.org/wiki/Alexander_Crichton"	"Alexander Crichton"	"https://en.wikipedia.org/wiki/Alexander_Crichton"	"Alexander Crichton"	"https://fr.wikipedia.org/wiki/Alexander_Crichton"	"Alexander Crichton"		"Alexander Crichton"	"https://de.wikipedia.org/wiki/Alexander_Crichton"	
"Q179452"	"https://wikidata.org/wiki/Q179452"	"Anfetamina"	"https://wikidata.org/wiki/Q59199015"	"https://wikidata.org/wiki/Q14820869
https://wikidata.org/wiki/Q22273271"	"https://wikidata.org/wiki/Q2445303
https://wikidata.org/wiki/Q109195877"	"Anfetamina"	"https://eu.wikipedia.org/wiki/Anfetamina"	"anfetamina"	"https://es.wikipedia.org/wiki/Anfetamina"	"DL-amphetamine"	"https://en.wikipedia.org/wiki/Amphetamine"	"DL-amphétamine"	"https://fr.wikipedia.org/wiki/Amphétamine"	"anfetamina"	"https://it.wikipedia.org/wiki/Amfetamina"	"DL-Amphetamin"	"https://de.wikipedia.org/wiki/Amphetamin"	
"Q179452"	"https://wikidata.org/wiki/Q179452"	"Anfetamina"	""	""	""													
"Q494483"	"https://wikidata.org/wiki/Q494483"	"Enantiómero"	""	""	"https://wikidata.org/wiki/Q127950"	"Enantiomero"	"https://eu.wikipedia.org/wiki/Enantiomero"	"enantiómero"	"https://es.wikipedia.org/wiki/Enantiómero"	"enantiomer"	"https://en.wikipedia.org/wiki/Enantiomer"	"énantiomérie"	"https://fr.wikipedia.org/wiki/Énantiomérie"	"enantiomero"	"https://it.wikipedia.org/wiki/Enantiomero"	"Enantiomer"	"https://de.wikipedia.org/wiki/Enantiomer"	
"Q1414874"	"https://wikidata.org/wiki/Q1414874"	"Comorbilidad"	""	""	""													
"Q154430"	"https://wikidata.org/wiki/Q154430"	"Ansiedad"	"https://wikidata.org/wiki/Q60539481
https://wikidata.org/wiki/Q169872
https://wikidata.org/wiki/Q112965645"	"https://wikidata.org/wiki/Q77468620"	"https://wikidata.org/wiki/Q12135"	"herstura"	"https://eu.wikipedia.org/wiki/Herstura"	"ansiedad"	"https://es.wikipedia.org/wiki/Ansiedad"	"anxiety"	"https://en.wikipedia.org/wiki/Anxiety"	"anxiété"	"https://fr.wikipedia.org/wiki/Anxiété"	"ansia"	"https://it.wikipedia.org/wiki/Ansia"	"Ängstlichkeit"	"https://de.wikipedia.org/wiki/Ängstlichkeit"	
"Q4340209"	"https://wikidata.org/wiki/Q4340209"	"Depresión"	"https://wikidata.org/wiki/Q112193867
https://wikidata.org/wiki/Q112965645"	"https://wikidata.org/wiki/Q9357054
https://wikidata.org/wiki/Q77468620"	"https://wikidata.org/wiki/Q188638
https://wikidata.org/wiki/Q99860490
https://wikidata.org/wiki/Q12136"	"Depresio"	"https://eu.wikipedia.org/wiki/Depresio"	"depresión"	"https://es.wikipedia.org/wiki/Depresión"	"mental depression"	"https://en.wikipedia.org/wiki/Depression_(mood)"	"état dépressif"	"https://fr.wikipedia.org/wiki/Humeur_dépressive"	"depressione"	"https://it.wikipedia.org/wiki/Depressione_esistenziale"	"Depression"		
"Q7632070"	"https://wikidata.org/wiki/Q7632070"	"Trastorno por consumo de sustancias"	""	""	""													
"Q18671"	"https://wikidata.org/wiki/Q18671"	"Trastorno explosivo intermitente"	"https://wikidata.org/wiki/Q112193867"	""	"https://wikidata.org/wiki/Q1201835
https://wikidata.org/wiki/Q12136"	"Aldizkako nahasmendu leherkor"	"https://eu.wikipedia.org/wiki/Aldizkako_nahasmendu_leherkor"	"Trastorno explosivo intermitente"	"https://es.wikipedia.org/wiki/Trastorno_explosivo_intermitente"	"intermittent explosive disorder"	"https://en.wikipedia.org/wiki/Intermittent_explosive_disorder"	"trouble explosif intermittent"	"https://fr.wikipedia.org/wiki/Trouble_explosif_intermittent"	"disturbo esplosivo intermittente"	"https://it.wikipedia.org/wiki/Disturbo_esplosivo_intermittente"	"Intermittent Explosive Disorder"		
"Q132971"	"https://wikidata.org/wiki/Q132971"	"Dislexia"	"https://wikidata.org/wiki/Q860740
https://wikidata.org/wiki/Q97696569
https://wikidata.org/wiki/Q112193867"	""	"https://wikidata.org/wiki/Q17077617
https://wikidata.org/wiki/Q10469820
https://wikidata.org/wiki/Q860740
https://wikidata.org/wiki/Q12136"	"dislexia"	"https://eu.wikipedia.org/wiki/Dislexia"	"dislexia"	"https://es.wikipedia.org/wiki/Dislexia"	"dyslexia"	"https://en.wikipedia.org/wiki/Dyslexia"	"dyslexie"	"https://fr.wikipedia.org/wiki/Dyslexie"	"dislessia"	"https://it.wikipedia.org/wiki/Dislessia"	"Lese- und Rechtschreibstörung"	"https://de.wikipedia.org/wiki/Lese-_und_Rechtschreibstörung"	
"Q10862879"	"https://wikidata.org/wiki/Q10862879"	"Congénito"	"https://wikidata.org/wiki/Q813912
https://wikidata.org/wiki/Q1211967"	""	""			"congénito"	"https://es.wikipedia.org/wiki/Congénito"	"congenital"	"https://en.wikipedia.org/wiki/Congenital"							
"Q28627"	"https://wikidata.org/wiki/Q28627"	"Gestación"	""	"https://wikidata.org/wiki/Q11990"	"https://wikidata.org/wiki/Q2996394"	"Ernaldi"	"https://eu.wikipedia.org/wiki/Ernaldi"	"gestación"	"https://es.wikipedia.org/wiki/Gestación"	"gestation"	"https://en.wikipedia.org/wiki/Gestation"	"gestation"	"https://fr.wikipedia.org/wiki/Gestation"	"gestazione"		"Gestation"		
"Q28086552"	"https://wikidata.org/wiki/Q28086552"	"Nicotina"	"https://wikidata.org/wiki/Q113145171"	""	"https://wikidata.org/wiki/Q108947964
https://wikidata.org/wiki/Q12144"	"Nikotina"	"https://eu.wikipedia.org/wiki/Nikotina"	"nicotina"	"https://es.wikipedia.org/wiki/Nicotina"	"(−)-nicotine"	"https://en.wikipedia.org/wiki/Nicotine"	"nicotine"	"https://fr.wikipedia.org/wiki/Nicotine"	"nicotina"	"https://it.wikipedia.org/wiki/Nicotina"	"(−)-Nicotin"	"https://de.wikipedia.org/wiki/Nicotin"	
"Q1343870"	"https://wikidata.org/wiki/Q1343870"	"Corolario"	""	""	"https://wikidata.org/wiki/Q108163"			"corolario"	"https://es.wikipedia.org/wiki/Corolario"	"corollary"	"https://en.wikipedia.org/wiki/Corollary"	"corollaire"	"https://fr.wikipedia.org/wiki/Corollaire_(mathématiques)"	"corollario"	"https://it.wikipedia.org/wiki/Corollario"	"Korollar"	"https://de.wikipedia.org/wiki/Korollar"	
"Q464210"	"https://wikidata.org/wiki/Q464210"	"Ganglios basales"	"https://wikidata.org/wiki/Q1620186
https://wikidata.org/wiki/Q112826905"	""	"https://wikidata.org/wiki/Q66599582
https://wikidata.org/wiki/Q112826975"			"ganglios basales"	"https://es.wikipedia.org/wiki/Ganglios_basales"	"basal ganglia"	"https://en.wikipedia.org/wiki/Basal_ganglia"	"ganglions de la base"	"https://fr.wikipedia.org/wiki/Ganglions_de_la_base"	"gangli della base"	"https://it.wikipedia.org/wiki/Gangli_della_base"	"Basalganglien"	"https://de.wikipedia.org/wiki/Basalganglien"	
"Q749520"	"https://wikidata.org/wiki/Q749520"	"Lóbulo frontal"	"https://wikidata.org/wiki/Q1620186
https://wikidata.org/wiki/Q112826905"	"https://wikidata.org/wiki/Q75855
https://wikidata.org/wiki/Q551808"	"https://wikidata.org/wiki/Q2724242
https://wikidata.org/wiki/Q66558003
https://wikidata.org/wiki/Q112826975"	"Lobulu frontal"	"https://eu.wikipedia.org/wiki/Bekoki_lobulu"	"lóbulo frontal"	"https://es.wikipedia.org/wiki/Lóbulo_frontal"	"frontal lobe"	"https://en.wikipedia.org/wiki/Frontal_lobe"	"lobe frontal"	"https://fr.wikipedia.org/wiki/Lobe_frontal"	"lobo frontale"	"https://it.wikipedia.org/wiki/Lobo_frontale"	"Frontallappen"	"https://de.wikipedia.org/wiki/Frontallappen"	
"Q170304"	"https://wikidata.org/wiki/Q170304"	"Dopamina"	"https://wikidata.org/wiki/Q113145171"	"https://wikidata.org/wiki/Q14865365
https://wikidata.org/wiki/Q14916295
https://wikidata.org/wiki/Q22273210
https://wikidata.org/wiki/Q21106739
https://wikidata.org/wiki/Q14865364
https://wikidata.org/wiki/Q22290490
https://wikidata.org/wiki/Q14819847
https://wikidata.org/wiki/Q14865368
https://wikidata.org/wiki/Q14862258
https://wikidata.org/wiki/Q22290488
https://wikidata.org/wiki/Q14862246
https://wikidata.org/wiki/Q14862273
https://wikidata.org/wiki/Q14863653"	"https://wikidata.org/wiki/Q271663
https://wikidata.org/wiki/Q109189047"	"Dopamina"	"https://eu.wikipedia.org/wiki/Dopamina"	"dopamina"	"https://es.wikipedia.org/wiki/Dopamina"	"dopamine"	"https://en.wikipedia.org/wiki/Dopamine"	"dopamine"	"https://fr.wikipedia.org/wiki/Dopamine"	"dopamina"	"https://it.wikipedia.org/wiki/Dopamina"	"Dopamin"	"https://de.wikipedia.org/wiki/Dopamin"	
"Q167934"	"https://wikidata.org/wiki/Q167934"	"Serotonina"	"https://wikidata.org/wiki/Q113145171"	"https://wikidata.org/wiki/Q14891379
https://wikidata.org/wiki/Q14888427
https://wikidata.org/wiki/Q22243234
https://wikidata.org/wiki/Q22274804
https://wikidata.org/wiki/Q22273228
https://wikidata.org/wiki/Q21108121
https://wikidata.org/wiki/Q14860799
https://wikidata.org/wiki/Q14860807
https://wikidata.org/wiki/Q34299953
https://wikidata.org/wiki/Q14860816
https://wikidata.org/wiki/Q14884583
https://wikidata.org/wiki/Q21097236
https://wikidata.org/wiki/Q22274807"	"https://wikidata.org/wiki/Q66589878"	"Serotonina"	"https://eu.wikipedia.org/wiki/Serotonina"	"serotonina"	"https://es.wikipedia.org/wiki/Serotonina"	"serotonin"	"https://en.wikipedia.org/wiki/Serotonin"	"sérotonine"	"https://fr.wikipedia.org/wiki/Sérotonine"	"serotonina"	"https://it.wikipedia.org/wiki/Serotonina"	"Serotonin"	"https://de.wikipedia.org/wiki/Serotonin"	
"Q5781175"	"https://wikidata.org/wiki/Q5781175"	"Concordancia genética"	""	""	""			"Concordancia genética"	"https://es.wikipedia.org/wiki/Concordancia_genética"									
"Q16644043"	"https://wikidata.org/wiki/Q16644043"	"Diagnóstico"	"https://wikidata.org/wiki/Q1047113"	"https://wikidata.org/wiki/Q730920"	"https://wikidata.org/wiki/Q106411346
https://wikidata.org/wiki/Q13582682"			"diagnóstico"	"https://es.wikipedia.org/wiki/Diagnóstico"	"diagnosis"	"https://en.wikipedia.org/wiki/Diagnosis"	"diagnostic"		"diagnosi"	"https://it.wikipedia.org/wiki/Diagnosi"	"Diagnose"		
"Q1503548"	"https://wikidata.org/wiki/Q1503548"	"Heredabilidad"	"https://wikidata.org/wiki/Q47103999"	""	"https://wikidata.org/wiki/Q55919789
https://wikidata.org/wiki/Q186290"	"heredagarritasun"		"heredabilidad"	"https://es.wikipedia.org/wiki/Heredabilidad"	"heritability"	"https://en.wikipedia.org/wiki/Heritability"	"héritabilité"	"https://fr.wikipedia.org/wiki/Héritabilité"	"ereditabilità"	"https://it.wikipedia.org/wiki/Ereditabilità"	"Heritabilität"	"https://de.wikipedia.org/wiki/Heritabilität"	
"Q104053"	"https://wikidata.org/wiki/Q104053"	"Fenotipo"	""	"https://wikidata.org/wiki/Q5533517
https://wikidata.org/wiki/Q7239"	"https://wikidata.org/wiki/Q1207505"	"fenotipo"	"https://eu.wikipedia.org/wiki/Fenotipo"	"fenotipo"	"https://es.wikipedia.org/wiki/Fenotipo"	"phenotype"	"https://en.wikipedia.org/wiki/Phenotype"	"phénotype"	"https://fr.wikipedia.org/wiki/Phénotype"	"fenotipo"	"https://it.wikipedia.org/wiki/Fenotipo"	"Phänotyp"	"https://de.wikipedia.org/wiki/Phänotyp"	
"Q8513"	"https://wikidata.org/wiki/Q8513"	"Base de datos"	""	"https://wikidata.org/wiki/Q1630548"	"https://wikidata.org/wiki/Q1172284
https://wikidata.org/wiki/Q386724
https://wikidata.org/wiki/Q16686448
https://wikidata.org/wiki/Q494756"	"datu-base"	"https://eu.wikipedia.org/wiki/Datu-base"	"base de datos"	"https://es.wikipedia.org/wiki/Base_de_datos"	"database"	"https://en.wikipedia.org/wiki/Database"	"base de données"	"https://fr.wikipedia.org/wiki/Base_de_données"	"base di dati"	"https://it.wikipedia.org/wiki/Base_di_dati"	"Datenbank"	"https://de.wikipedia.org/wiki/Datenbank"	
"Q208467"	"https://wikidata.org/wiki/Q208467"	"Receptor celular"	"https://wikidata.org/wiki/Q84467700"	""	"https://wikidata.org/wiki/Q8054"	"Hartzaile (biokimika)"	"https://eu.wikipedia.org/wiki/Hartzaile_(biokimika)"	"receptor celular"	"https://es.wikipedia.org/wiki/Receptor_celular"	"signaling receptor"	"https://en.wikipedia.org/wiki/Receptor_(biochemistry)"	"récepteur"	"https://fr.wikipedia.org/wiki/Récepteur_(biochimie)"	"recettore"	"https://it.wikipedia.org/wiki/Recettore_(biochimica)"	"Rezeptor"	"https://de.wikipedia.org/wiki/Rezeptor_(Biochemie)"	
"Q170304"	"https://wikidata.org/wiki/Q170304"	"Dopamina"	""	""	""													
"Q8054"	"https://wikidata.org/wiki/Q8054"	"Proteína"	"https://wikidata.org/wiki/Q47154513
https://wikidata.org/wiki/Q24017414"	"https://wikidata.org/wiki/Q22252481
https://wikidata.org/wiki/Q56058200
https://wikidata.org/wiki/Q56058201
https://wikidata.org/wiki/Q56058202
https://wikidata.org/wiki/Q56058203
https://wikidata.org/wiki/Q56058204
https://wikidata.org/wiki/Q56058205
https://wikidata.org/wiki/Q14912137
https://wikidata.org/wiki/Q22290846
https://wikidata.org/wiki/Q22289142
https://wikidata.org/wiki/Q22289146
https://wikidata.org/wiki/Q27948964
https://wikidata.org/wiki/Q27948963
https://wikidata.org/wiki/Q24480048
https://wikidata.org/wiki/Q22291013
https://wikidata.org/wiki/Q22290970
https://wikidata.org/wiki/Q22290921
https://wikidata.org/wiki/Q26252194
https://wikidata.org/wiki/Q21106243
https://wikidata.org/wiki/Q22282565
https://wikidata.org/wiki/Q417662
https://wikidata.org/wiki/Q22324804"	"https://wikidata.org/wiki/Q422649
https://wikidata.org/wiki/Q424689
https://wikidata.org/wiki/Q3084232
https://wikidata.org/wiki/Q66560214"	"proteina"	"https://eu.wikipedia.org/wiki/Proteina"	"proteína"	"https://es.wikipedia.org/wiki/Proteína"	"protein"	"https://en.wikipedia.org/wiki/Protein"	"protéine"	"https://fr.wikipedia.org/wiki/Protéine"	"proteina"	"https://it.wikipedia.org/wiki/Proteine"	"Protein"	"https://de.wikipedia.org/wiki/Protein"	
"Q304618"	"https://wikidata.org/wiki/Q304618"	"Transporte activo"	""	""	"https://wikidata.org/wiki/Q6151736"	"Garraio aktibo"	"https://eu.wikipedia.org/wiki/Garraio_aktibo"	"transporte activo"	"https://es.wikipedia.org/wiki/Transporte_activo"	"active transport"	"https://en.wikipedia.org/wiki/Active_transport"	"transport actif"	"https://fr.wikipedia.org/wiki/Transport_actif"	"Trasporto attivo"	"https://it.wikipedia.org/wiki/Trasporto_attivo"	"aktiver Transport"		
"Q106227"	"https://wikidata.org/wiki/Q106227"	"Locus"	""	""	"https://wikidata.org/wiki/Q17334923"	"Locus"	"https://eu.wikipedia.org/wiki/Locus"	"locus"	"https://es.wikipedia.org/wiki/Locus"	"locus"	"https://en.wikipedia.org/wiki/Locus_(genetics)"	"locus"	"https://fr.wikipedia.org/wiki/Locus"	"locus genico"	"https://it.wikipedia.org/wiki/Locus_genico"	"Genlocus"	"https://de.wikipedia.org/wiki/Genlocus"	
"Q1358521"	"https://wikidata.org/wiki/Q1358521"	"Farmacogenética"	"https://wikidata.org/wiki/Q1047113"	"https://wikidata.org/wiki/Q128406"	""			"farmacogenética"	"https://es.wikipedia.org/wiki/Farmacogenética"	"pharmacogenetics"	"https://en.wikipedia.org/wiki/Pharmacogenetics"	"pharmacogénétique"	"https://fr.wikipedia.org/wiki/Pharmacogénétique"	"farmacogenetica"	"https://it.wikipedia.org/wiki/Farmacogenetica"	"Pharmakogenetik"	"https://de.wikipedia.org/wiki/Pharmakogenetik"	
"Q422112"	"https://wikidata.org/wiki/Q422112"	"Metilfenidato"	"https://wikidata.org/wiki/Q59199015"	"https://wikidata.org/wiki/Q22274456"	"https://wikidata.org/wiki/Q355518
https://wikidata.org/wiki/Q57842052
https://wikidata.org/wiki/Q59348943"			"metilfenidato"	"https://es.wikipedia.org/wiki/Metilfenidato"	"methylphenidate"	"https://en.wikipedia.org/wiki/Methylphenidate"	"méthylphénidate"	"https://fr.wikipedia.org/wiki/Méthylphénidate"	"metilfenidato"	"https://it.wikipedia.org/wiki/Metilfenidato"	"Methylphenidat"	"https://de.wikipedia.org/wiki/Methylphenidat"	
"Q3395645"	"https://wikidata.org/wiki/Q3395645"	"Polimorfismo genético"	""	""	"https://wikidata.org/wiki/Q485680"			"polimorfismo genético"	"https://es.wikipedia.org/wiki/Polimorfismo_genético"	"genetic polymorphism"	"https://en.wikipedia.org/wiki/Gene_polymorphism"	"polymorphisme"		"polimorfismo di geni"		"Polymorphismus"	"https://de.wikipedia.org/wiki/Polymorphismus"	
"Q786278"	"https://wikidata.org/wiki/Q786278"	"Neuroquímica"	"https://wikidata.org/wiki/Q11790203"	"https://wikidata.org/wiki/Q207011"	"https://wikidata.org/wiki/Q11351"	"neurokimika"		"neuroquímica"	"https://es.wikipedia.org/wiki/Neuroquímica"	"neurochemistry"	"https://en.wikipedia.org/wiki/Neurochemistry"	"neurochimie"	"https://fr.wikipedia.org/wiki/Neurochimie"	"neurochimica"		"Neurochemie"	"https://de.wikipedia.org/wiki/Neurochemie"	
