38	Fibel; Alphabet	spelling-book; alphabet	abecedario; alfabeto
39	Spielzeug	toy	juguete
40	Fibel	spelling-book	abecedario
41	Kaktus (Art)	kind of cactus	planta de las familias de los cactus; (raiz comestible); una de las variedades de cacto de raíz comestible
42	Au!; Aua!; [Ausruf von Schmerz]	Ouch!; What a pain!; [exclamation of pain]	¡Qué dolor!; Qué desagrado!; [exclamación de dolor]
43	Beutelratte; Opossum	opossum	zarigüeya; muca; marsupial americano
44	Wie schrecklich!	How fearful!	¡qué miedo!
45	Vorwand	pretext	achaque; pretexto; motivo
46	einen Vorwand suchen	call upon a pretext	invocar un pretexto
47	das eine sagen und das andere tun	to say one thing and do something else	decir lo uno y hacer lo otro; calumniar
48	Beutelratte; Opossum	opossum	zarigüeya; muca; marsupial americano
49	Schmuck; Geschmeide; Verzierung	ornament	adorno
50	schmücken	to adorn; to decorate	adornar; decorar; hermosear; embellecer; ornamentar
51	sich schmücken	to adorn	adornarse; ataviarse; embellecerse
52	geschmückt	adorned	adornado; engalanado
53	Wie schön!; [Ausruf von Freude]	How pretty!; How beautiful!; [exclamation of joy]	¡Qué bonito!; ¡Qué lindo!; ¡Qué deseable!; ¡Qué rico!; [exclamación de alegría]; ¡qué hermoso!; qué agradable!
54	Überfluss; Luxus	luxury	lujo; suntuosidad
55	Begonie; krautige Pflanze (Art); Pflanze, die verwendet wird zum Rot Färben	begonia; kind of herbaceous plant; plant used for red dye	begonia; especie de planta herbácea (su raíz cura la terciana); achanccaray; planta usada para teñir de rojo
56	zerzausen	to tousle	desordenar el cabello
57	beißen	to bite	morder
58	gewiss (in Antworten); sicherlich (in Antworten); vielleicht (in Antworten)	certainly (in answers); surely (in answers); possibly (in answers)	seguramente (en la respuesta); posiblemente (en la respuesta); ciertamente; seguramente
59	Hitze; Sonnenstrahl	heat; sunbeam; ray of sunshine	calor; rayo solar
60	das (emphatisch)	that (emphatic)	eso (enfático)
61	heiß sein	to be hot	hacer calor
62	ein Ei zerbrechen; ein Ei aufschlagen	to crack an egg	romper o abrir un huevo; rajar un huevo
63	gewiss; sicherlich	certainly; surely	seguramente; posiblemente
64	Hexe	witch	bruja
65	hell; klar; sauber	light; clear; clean; light in color; bright	claro; luminoso; limpio
66	Licht; Helligkeit; Schein	light; glow	luz; claridad; resplandor
67	Lampe; Leuchte; Laterne	lamp; lantern	linterna; lámpara
68	bitten um; erbitten	to ask for	rogar; solicitar
69	sauber; rein	clean	limpio
70	Ozon	ozone	ozono
71	nackt; gehäutet	naked; peeled	desnudo; pelado
72	klären	to clarify	aclarar; alumbrar
73	leuchten; scheinen; strahlen	to shine; to light	alumbrarse
74	Licht	light	luz
75	Morgengrauen	dawn	amanecer; crepúsculo
76	tagen; hell werden; Tag werden (Morgen); aufklaren	to dawn; to clear up	alborear; amanecer; despejarse la atmósfera; aclararse la oscuridad; despejarse; aclarar
77	scheinen; leuchten; strahlen; glänzen; hell werden; aufklaren; aufleuchten	to shine; to clear up; to get light	lucir; brillar; iluminar; despejarse; aclararse; relucir; resplandecer; alumbrar; aclarar; centellear
78	beleuchten; anstrahlen	to brighten; to illuminate; to shine; to light; to give light; to light	iluminar; alumbrar
79	Gott (Name aus der Zeit vor Ketschua)	prekichwa name of god	nombre prekichwa de dios
80	Vater Atsil (Gott)	Father Atsil (god)	Padre Atsil (dios)
81	Vater Atsil (Gott)	Father Atsil (god)	Padre Atsil (dios)
82	Patin	godmother	madrina; madrina de bautizo
83	dünner, trockener Stengel, als Docht verwendet	thin, dry stalk used as wick	tallo delgado y seco bueno como mecha
84	Pflanze (Art) mit breiten Blättern und gelben Blüten; Pflanze, deren Samen verwendet werden zum Rot Färben	kind of plant with broad leaves and yellow flowers; plant like the potato; plant, seeds used in red dye	planta de hojas anchas y flores amarillas; planta ornamental de la familia de las cannáceas; su raiz se utiliza en la alimentación; achira (planta cannácea cuyas hojas sirven para envolver tamales y humitas); achira; planta cuya semilla se usa para teñir de rojo; planta ornamental del Perú, de raíz comestible
85	so genannter Sesam; der Kinua ähnliche Pflanze	so-called sesame; plant similar to quinua	ajonjolí; sésamo (planta parecida a la quinua)
86	als Getreide angebautes Amaranthgewächs; Kiwicha	a grain or cereal similar to quinua	quihuicha; especie de amaranto
87	Pate	godfather	padrino; padrino de bautizo
88	Niesen	sneeze	estornudo
89	niesen	to sneeze	estornudar
90	kleiner Sonnenschirm	small parasol	parasol pequeño; parasol; toldo; quitasol; sombrilla
91	Strauch (Art), dessen Blätter fürs Färben in Blau genutzt werden	kind of shrub whose leaves are used for blue dye	especie de arbusto cuyas hojas se usan para teñir azul
92	Patenkind	godchild	ahijado; ahijado; ahijada
93	Baum (Art); Pflanze, deren Samen verwendet werden zum Rot Färben	kind of tree; plant, red paint or dye made from seeds; lipstick tree	achiote; achote; bija; especie de arbolillo; árbol de la familia de las bináceas posee propiedades tintoreas que se utilizan en la comida; especie de planta (su semilla roja es usada como colorante para comidas y teñidos); achiote; planta cuya semilla se usa para teñir de rojo; achiote - arbusto cuyo fruto es usado como colorante en las comidas. en la medicina popular cura el mal llamado pián (cuchipe)
94	genießen	to enjoy	disfrutar de; gozar de
95	schüren; anfachen	to poke; to add wood to the fire	atizar; atizar el fuego
96	ja, gewiss; gewiss; sicherlich; sehr wahrscheinlich	yes indeed; certainly; surely; very probably	sí pues; seguramente; posiblemente; muy probable
97	möglicherweise; zweifellos	possibly; doubtlessly	posiblemente; no hay duda
98	niesen	to sneeze	estornudar
99	Pate	godfather	padrino
100	viel; viele	a lot; much; many; much	mucho; mucha; muchos; muchas; harto; bastante; abundante; harto; mucho; varios; demasiado; bastante; mucho; bastante; gran cantidad; cuantioso; numeroso; gran porción; profusamente; tanto
101	reichlich vorhanden sein	to abound; to be abundant	abundar
102	vergrößern; vermehren	to increase	aumentar; acrecentar
103	das meiste; die meisten	most	lo más
104	kollektive Rechte	collective rights	derechos colectivos
105	er (sie) sagt, dass (er (sie) für viel Geld gekauft hat	he (she) says he (she) has bought for a lot of money	dice que ha comprado por mucha plata
106	teuer	expensive	caro
107	teuer	expensive	caro
108	Menschenmenge	crowd	muchedumbre; gentía
109	Lamm	lamb	cordero; corderito
110	sehr	much; strongly	mucho
111	reichlich vorhanden sein	to abound; to be abundant	abundar
112	Polyeder	polyhedron	poliedro
113	Polyeder	polyhedron	poliedro
114	Hexe; mythische, Kinder essende alte Frau	witch; mythical old woman eating children	Achicay; bruja; anciana devoradora de niños que personifica el mal; mujer mala y devoradora de niños; mujer mala que no sabe ayudar a los pobres; espíritu antiguo maligno que devora seres humanos
115	Vermehrer; Vergrößerer	who makes increases	que hace aumentar
116	vermehren; vergrößern	to increase	acrecentar; aumentar; multiplicar; pluralizar; aumentar en cantidad; reproducir
117	sich vermehren; sich vergrößern	to increase	acrecentarse; aumentarse; multiplicarse; crecer; ensancharse; aumentar considerablemente
118	Mehrzahl; Plural	plural	plural (número); plural
119	Licht; Helligkeit; Schein	light; glow; sun	luz; claridad; resplandor
120	Lampe; Leuchte; Laterne	lamp; lantern	lámpara; linterna
121	Lampe; Leuchte; Laterne; etwas Leuchtendes	lantern; lamp; something shining	linterna; candil; algo que alumbra
122	Schein; Licht	shine; light	brillo; luz
123	beleuchten; anstrahlen	to brighten; to illuminate; to shine at; to give light to	alumbrar; iluminar
124	sehr kleines Feuerholz	very fine firewood	leña muy menuda
125	sich etwas greifen; sich jemandes oder einer Sache bemächtigen	to grasp something for oneself; to appropriate; to take possession of	agarrar algo para uno mismo; adueñarse
126	greifen; ergreifen; fangen; gemeinschaftlich jagen, ohne zu töten	to grasp; to grab; to take; to catch; to hunt together without killing	agarrar; atrapar; cazar junto sin matar
127	kratzen; scharren; schaben	to scrape; to scratch; to claw	raspar; escarbar
128	Hacke	hoe	azada (para cultivar)
129	eine Pflanze zum erstenmal anhäufeln	to earth up a plant first time	aporcar la primera vez
130	klettern	to climb	trepar; subir agarrándose
131	umherklettern	to climb around	subir cayéndose; jugar trepándose
132	eine Pflanze zum erstenmal anhäufeln	to earth up a plant first time	aporcar la primera vez
133	Stroh; Späne; Splitter; kleines Feuerholz	straw; chips; splinter; small firewood	paja; astilla; leña menuda
134	Gürteltier	armadillo	armadillo
135	Pallay-Motiv in Geweben (Bedeutung unklar) 	pallay motif in weaving (Bolivia, meaning unclear)	motivo pallay en tejidos (significado no claro)
136	jemanden etwas zwischen den Zähnen tragen lassen	to make someone carry something between the teeth	hacer llevar con la boca
137	fließen; strömen; ausfließen; ausströmen	to run; to flow; to stream	manar (líquido)
138	Kaktus (Art)	a type of cactus	especie de cactus
139	Nasenbär; kleiner rötlicher Vierbeiner, dessen Penis ständig steif ist	South American coati; small reddish four-legged animal whose penis is always erected	nasua sudamericana; achuni; achuni - pequeño cuadrúpedo rojizo, con el pene siempre erecto
140	Heilpflanze (Art) des Regenwaldes	kind of medicinal plant of the jungle	achuni-sanango; especie de planta medicinal de la selva
141	Penis des Achuni, in der Volksmedizin als Aphrodisiakum verwendet	penis of achuni, used in popular medicine as aphrodisiac	pene de achuni (según la creencia popular, el pene del achuni usado para hacer pusanga y para tomarlo raspado en aguardiente como afrodisíaco)
142	Achupaya; ananas-ähnliche Pflanze (Art); der Agave ähnliche Pflanze der oberen Suni	achupaya; kind of ananas-like plant; plant similar to maguey of the upper suni	piña del monte; achupa; achupalla (planta silvestre y espinosa como la piña); planta semejante al magüey de la suni alta; piña; ananás; ananá
143	Waage	scales	balanza (de platillos); pesas (del marco)
144	Beutel (lang und schmal, gefranst, verziert)	pouch (long and narrow, fringed, very decorated)	bolsa (larga y estrecha, con franjas, adornada)
145	Wiesel	weasel	comadreja
146	Kürbisgewächs (Art); Kaigua; Pflanze des Regenwalds (Art, Hauptnutzung: Nahrung)	kind of pumpkin; achogcha; kind of plant of the jungle (main use: food)	caigua; pepino de comer; variedad de calabaza (cucurbitácea); planta de la familia de las cucurbitáceas de fruto alimenticio; achogcha; especie de planta de la selva (uso principal: alimento); cayhua
147	Quote; Rate; Ration; Verpflegung; Tagesration	quote; rate; ration; daily rations	cuota; pitanza; provisión diaria; ración; ración de coca
148	gewähren; erteilen	to deal out	impartir; repartir; distribuir; repartir
149	zwischen den Zähnen tragen	to carry between the teeth	llevar entre los dientes; llevar algo con la boca; abocar
150	Pflanzen ausreißen; Stroh oder feines Feuerholz suchen	to uproot plants; to look for straw or small firewood	arrancar plantas; buscar paja o leña menuda
151	sich wälzen	to roll over and over (oneself)	revolcarse
152	niesen	to sneeze	estornudar; decir achig
153	Niesen	sneeze	estornudo
154	niesen	to sneeze	estornudar; decir achig
155	sich nähern (in Richtung des Sprechers)	to approach (in the speaker's direction)	acercarse (en dirección del hablante)
156	sich entfernen; weggehen; abreisen	to withdraw; to go away; to depart	alejarse; partir
157	sich nähern	to approach	acercarse
158	sich nähern	to approach	acercarse; aproximarse
159	sich nähern	to approach	acercarse; aproximarse
160	jedenfalls; immerhin	in any case; at any rate; by all means; at all events; anyway	ha de ser; de todas maneras
161	Ade!; Auf Wiedersehen!	Good bye!	¡Adiós!
162	überrascht sein	to be amazed	estar sorprendido
163	absichtlich	deliberately; purposely; on purpose	adrede; con intención; deliberadamente; intencionalmente; de propósito
164	Adobe; Lehmziegel; sonnengetrockneter Lehmziegel	a brick baked in the sun	adobe
165	sich quälen	to torment oneself	afanarse
166	stolz	haughty; proud	orgulloso
167	bekümmert	concerned	afligido; preocupado; afanado
168	schärfen; schleifen; anspitzen	to sharpen	afilar
169	betrüben	to grieve; to worry	afligir
170	danken	to thank	agradecer
171	August	August	agosto
172	schwierig	difficult	difícil
173	Aha!; Das also!; So also!	I see!	¡Ah; ya!; con que así
174	Entzündung hervorrufen; infizieren	to infect a wound; to inflame	infectar una herida; hacer infectar; inflamar
175	Wie komisch!; Wie lustig!	How funny!	¡Qué cómico!; ¡Qué risa!
176	ah ah - lachen -	ah ah - to laugh -; to laugh	ah ah - reír -; reír sin control; carcajearse. No es bueno reírse así
177	sehr schnell	very fast	muy rápido
178	eilen; sich beeilen	to hurry	apurarse; apresurarse
179	ach so; ich weiß schon; aha	I see; I already know; aha	con que así; ya me enteré; [expresión irónica con que se trata de chantajear, pero también se usa en bromas]
180	entzündet; infiziert	infected; inflamed	infectado
181	sich entzünden	to be infected; to be inflamed	infectarse; inflamarse
182	tadeln; rügen; belästigen; gut beraten	to berate; to rebuke; to bother; to molest; to give advices	resondrar; molestar; reprender; aconsejar bien
183	ermüden; erschweren	to tire; to make difficult	cansar; fastidiar; ponerlo difícil
184	einer Sache oder jemandes müde sein; etwas schwierig finden	to feel tired of something; to find something difficult	cansarse de algo o alguien; sentir lo difícil
185	[Herausforderung, Freude, sehr allgemein unter Trinkern]	[challenge, joy, verry common among drunkards]	¡aaji!; [desafío, alegría, muy común entre los borrachos]
186	folglich; infolgedessen; und so	thus; consequently; like this; like that	así; consiguiente
187	Beispiel	example	ejemplo
188	Wermut; Absinth	wormwood	ajenjo
189	verstopfen (Magen); sich den Magen verderben	to stop up (stomach)	empacharse
190	Aahi! rufen	"to shout ""Aahi!"""	"emitir el ""¡aaji!"""
191	vor Kälte oder Schmerz zusammenschrumpfen	to shrink by cold or pain	encogerse de frío o dolor
192	Knoblauch	garlic	ajo
193	Heilpflanze (Art) des Regenwaldes	kind of medicinal plant of the jungle	ajos chiro; especie de planta medicinal de la selva
194	Knoblauchwein; Heilpflanze (Art) des ecuadorianischen Regenwaldes, eine Kletterpflanze mit kräftigem Knoblauchgeruch, seine Rinde und Blätter werden gegen Rheuma und Arthritis verwendet	garlic vine; kind of medicinal plant of the Ecuadorian jungle, a climbing plant with strong garlic smell, its leaves and bark are used as medicine against rheumatism and arthritis	aju panga; ajus huasca; especie de planta medicinal de la selva ecuatoriana, planta trepadora de olor fuerte de ajo, con sus hojas y corteza se curan el reumatismo y la artritis
195	Heilpflanze (Art), Hauptnutzung: Medizin der Schamanen für Schutz und Kraft	laurel; clammy cherry; kind of medicinal plant, main uses: shaman medicine for protection and strength	laurel blanco; pardillo; especie de planta medicinal, usos principales: medicina de chamanes para protección y fuerza
196	Knoblauchbaum; Baum (Art) des Regenwaldes, dessen Rinde und Blätter gegen Rheuma und Arthritis verwendet werden	garlic tree; kind of jungle tree whose leaves and bark are used as medicine against rheumatism and arthritis; garlic of the jungle	ajo sacha; vid de ajo; árbol de ajo; especie de árbol de la selva con cuyas hojas y corteza se curan el reumatismo y la artritis; especie de arbusto regional cuyas hojas y corteza tienen un marcadisimo olor a ajo. Es empleada en condimentos. Gran calmante de dolores y en emplastos, remedio contra enfermedades renales
197	Knoblauchwein; Heilpflanze (Art) des ecuadorianischen Regenwaldes, eine Kletterpflanze mit kräftigem Knoblauchgeruch, seine Rinde und Blätter werden gegen Rheuma und Arthritis verwendet	garlic vine; kind of medicinal plant of the Ecuadorian jungle, a climbing plant with strong garlic smell, its leaves and bark are used as medicine against rheumatism and arthritis	ajus huasca; especie de planta medicinal de la selva ecuatoriana, planta trepadora de olor fuerte de ajo, con sus hojas y corteza se curan el reumatismo y la artritis
198	vermengen; mischen; kombinieren	to mix; to combine	mezclar; combinar
199	schärfen; schleifen (Messer)	to sharpen	afilar
200	Kot; Kacke; Scheiße	excrements; droppings; shit; faeces; feces	excremento; excrementos; guano; estiércol; caga; mierda; caca; pasta fecal; escoria; heces; ñoña
201	heiß sein	to be hot (heat)	hacer calor
202	heiß; warm	hot; warm	caliente; caluroso
203	Aua!	ouch!	¡Qué dolor!; [ante la sensación de algo punzante]; ¡qué pena!
204	Hitze; Wärme	heat; warmth	calor
205	brennen	to burn	quemar; arder
206	mit Scheißnase	shit-nosed	nariz de caca
207	Wie schade!; Welch ein Schmerz!; O Ärmster!	What a pity!; What a pain!; Oh, poor boy!	¡Qué lástima!; ¡Qué pena!; ¡Pobrecito!
208	Au!; Aua!; Wie heiß!	Ouch!; How hot!	¡Qué dolor!; ¡Qué caliente!; [ante la sensación de algo punzante]
209	[unkontrollieres Frauengelächter]	[women's uncontrolled laughter]	[risa femenina descontrolada]
210	Andenspecht; Specht	woodpecker; Andean flicker (bird)	pájaro carpintero; una especie de perdiz; acaca; cargacha; Pájaro de la puna que ante la presencia de extraños hace mucha bulla. A las mujeres chifladas (que se ríen con cualquiera) se las compara con la acaca; pájaro carpintero andino; pito
211	einkoten; einkacken; einscheißen	to shit in	zurrarse
212	Verstopfung	constipation	estreñimiento; constipación; disquinesia
213	Kotecke; Plumpsklo hinter dem Haus	excrement corner; a shallow latrine behind houses	rincón para cagar; letrina tras la casa
214	Toilette; Klohäuschen	toilet; lavatory	letrina; baño
215	Griesgram	grumblehuts; grouch; grumpy	hombre gruñón; renegón
216	schwarzer Karakara; Geierfalke (Art); Vogel (Art)	black caracara; kind of vulture falcon; kind of bird	acangau; caracara negra; especie de halcón; especie de ave
217	winzig; klein	tiny; small	menudo; pequeño
218	verschimmeln	to get mouldy	enmohecerse
219	Hurrikan	hurricane	huracán
220	Bewölkung; Dämmerung; morgendliche oder abendliche Färbung des Himmels	clouds; colouring of the sky at dawn or dusk	celaje; coloración del cielo en el alba o en el ocaso; colorete
221	Pferch	corral	corral; majada; corral del ganado
222	Bauchfell	peritoneum	peritoneo
223	Scheißer	shitter; bastard	culo de mierda; cagador
224	vielleicht	possibly; you mean to tell me	acaso
225	Mistkäfer	dung-beetle; black beetle; dung beetle; (lit.) pupe-pusher	escarabajo (de estiércol); escarabajo (lit. que empuja excremento)
226	sich wenden an; ohne Einladung hingehen	to inquire at; to turn to; to go without invitation	acudir por algo; recurrir; ir sin ser invitado; ir corriendo
227	Heilpflanze (Art) des Regenwaldes	kind of medicinal plant of the jungle	acatuaua; especie de planta medicinal de la selva
228	Windel	nappy; napkin; diaper; bunch	pañal; pañales; pañal interior
229	Ausscheidung	excretion	deposición; deyección
230	koten; kacken; scheißen	to excrete; to shit; to defecate	defecar; cagar; evacuar las materias fecales; evacuar; expeler
231	Iss meine Scheiße und rauche meinen Furz!	eat my shit and smoke my fart!	¡come mi caca y fuma mi pedo!
232	Schwiegermutter eines Mannes	god mother (referring to a man)	suegra con relación a su yerno
233	schnell; geschwind	fast; quick	rápido
234	Metallbecher	metal beaker; bowl; vase; high quality wide-mouthed vase	vaso de metal; vaso de oro o plata; vaso de oro o de plata para actos rituales; vaso de cristal u otro material similar para copear licores; tazón
235	für religiöse Dienste ausgewählte Jungfrau im Inka-Reich; Sonnenjungfrau	virgin selected for religious service in Inka times; virgin of the sun	joven escogida de la casa real; virgen para servicio religioso; virgen del sol; escogida
236	auswählen lassen	to make choose	hacer escoger
237	wählen	to choose; to prefer	elegir
238	auswählen gehen	to go to choose	ir a escoger
239	Wahlen	elections	elecciones
240	wiederholt auswählen	to choose repeatedly	escoger repetidamente; volver a seleccionar
241	jemandem etwas auswählen	to choose for someone	escogérselo
242	ausgewählt	selected	elegido; escogido; selecto; seleccionado; escogida
243	statistischer Wert	statistic value	muestra estadística
244	Jungfrauenkonvent	virgins' convent	convento de mujeres vírgenes; gineceo incaico; casa de las escogidas; casa de las vírgenes del sol
245	Wahl; Auswahl; Lotterie	election; choice; lottery	elección, lotería
246	wählen; auswählen; einordnen	to select; to elect; to choose; to classify	elegir; seleccionar; escoger; clasificar; separar
247	erlesene Kartoffel; mehlige Kartoffel	selected potato; floury potato	papa harinosa; papa selecta
248	wählbar	elegible	elegible
249	Stotterer	stutterer; stammerer	tartamudo; gago
250	taubstumm	deaf-mute	sordomudo
251	stottern	to stammer	tartamudear
252	taub machen	to deafen	enmudecer
253	Tat; Durchführung; Ausführung; Wirkung; Auswirkung	action; execution; effect	acción; ejecución; efecto
254	bewirken; durchführen; ausführen	to effect; to execute	efectuar; ejecutar
255	zeremonielles Gewand; Ort, an dem Zeremonien stattfinden	ceremonial dress; place where ceremonies take place	vestido ceremonial; lugar donde se realizan ceremonias
256	edles Frauengewand	precious women's dress	mantellina de mujer pintada
257	ein Kind nach der Mahlzeit aufstoßen lassen	to make a child burp after nursing	hacer eructar a un niño
258	rülpsen	to burp; to burp; to belch	"eructar; decir ""ac"""
259	böse; schlecht; neidisch	bad; cruel; envious	malo; cruel; envidioso
260	Kleid; Rock; Kittel; Umhang; von Frauen getragener Umhang; Kleiderrock	skirt; dress; smock; cape; cloak; woven cloth worn on back by Indian women; overskirt; skirt woven in two equal pieces; women's black wrap skirt or overdress; square piece worn by women, fastened at waist, which serves as a petticoat	bata; vestido; mantón; capa; prenda de vestir de la mujer; saya; acsu (saya de las mujeres indígenas); falda; vestidura talar
261	anziehen (jemanden)	to dress someone	vestir (a alguien); hacer vestir
262	sich anziehen	to dress oneself	vestirse la saya; vestirse
263	Kartoffel	potato	papa; patata
264	herausziehen	to extract	extraer
265	Vielfaches eines Gramm	multiple of gram	múltiplo del gramo
266	Portion zu kauende Koka	portion of coca to chew	porción de coca que se mastica; tiempo en el que se mastica la coca
267	Koka kauen	to chew coca	masticar coca; masticar
268	etwa zehn Uhr morgens; morgendliche Arbeitspause zum Koka kauen	about 10:00 am; time of break from morning's work to chew coca	aproximadamente las diez de la mañana; tiempo de pausa del trabajo en la mañana para masticar coca
269	begleiten	to accompany	acompañar
270	privat	private	privado
271	Sonnenuntergang	sunset	puesta del sol
272	Pferdeschwanz (Medizinpflanze mit dünnen, grünen, harten Stengeln, die zur Heilung innerer und äußerer Entzünungen verwendet wird)	horsetail (medical plant with thin, green, hard stalks used for healing internal and external inflammations)	cola de caballo (planta medicinal de tallos delgados, verdes y duros que cura las inflamaciones internas y externas)
273	Koka anbauen	to grow coca	cultivar coca; masticar coca
274	etwas in den Mund tun; kauen; Koka kauen	to put something in the mouth; to chew; to chew coca	poner algo en la boca; comer pito de cualquier cereal; masticar; masticar coca; comer harina el maíz tostado y pulverizado
275	Nadel	needle	aguja
276	einjähriger endemischer Reiherschnabel (Art) der hohen Gebirgsregion	red-stemmed filaree; kind of annual endemic plant of the high mountain region	alfilerillo; especie de geraniácea anual endémica de la alta puna
277	Spritze; Injektionsnadel	syringe; injection needle	jeringa; aguja de jeringa
278	Interesse	interest	interés
279	Flügel	wing	ala de pájaro
280	Alabado (christlicher Gesang, der bei der Entnahme des Leichnams aus dem Haus gesungen wird)	Alabado (christian chant sung when the corpse is taken out of the house)	Alabado (cántico religioso introducido por los doctrineros. Se entona al sacar el cadáver de la casa)
281	Betender; Sänger des Alabado	prayer (person); singer of the Alabado	rezante; cantante del Alabado
282	Alabado singen	to sing the Alabado	entonar el Alabado
283	prahlerisch; angeberisch	boastful; boasting; bragging	alabancioso
284	loben; preisen	to praise	alabar
285	Pechvogel; armer Teufel	unlucky fellow	pobrecito; desdichado
286	abkühlen; auffrischen	to cool down; to refresh	enfriar; refrescar
287	kalt	cold	frío; helado; frigido; friolento; que siente frío; que hace frío
288	gekühlt; abgekühlt	cooled	enfriado; resfriado
289	kalt; gekühlt; abgekühlt; aufgefrischt	cold; cooled; refreshed	frío; enfriado; refrescado
290	Was für eine Kälte!; Wie kalt!	How cold!; It's cold!; Brrr!	¡Qué frío!; [exclamación del que siente frío]
291	Was für eine Hitze!; Wie heiß!	What a heat!; It's hot!	¡Qué calor!
292	Kummer; Leid	sorrow	pena
293	Erkältung	cold (illness)	resfrío; catarro
294	kalt sein; frieren	to be cold; to freeze	hacer frío; estar frío; tener frío; helar; hacer frio; sentir frío; tener frío; hacer frío
295	kühlen; abkühlen	to cool	enfriar
296	ketschuasprachige Volksgruppe im Gebiet der Flüsse Pastaza und Tigre (Departement Loreto/Peru und benachbartes Ecuador); (span.) Quechuas del Pastaza y Tigre	Quechua-speaking ethnic group in the region of the rivers Pastaza and Tigre (department of Loreto/Peru, and neighbouring Ecuador); (Span.) Quechuas del Pastaza y Tigre	Quechuas del Pastaza y Tigre; grupo étnico quechuahablante en la región de los ríos Pastaza y Tigre (departamento de Loreto/Perú y Ecuador adyacente)
297	Pappel; Pflanze, die verwendet wird zum Gelb Färben	poplar; plant used to dye yellow	álamo; planta usada para teñir de amarillo
298	binden; verbinden; bündeln	to tie; to bundle	liar; rematar; forma particular de pelearse entre mujeres; entretejer
299	erscheinen	to appear	aparecer
300	gelblich	yellowish	amarillento
301	Darm; Eingeweide	intestine; intestines	intestino; tripa
302	erlauben; zustimmen; (wörtlich) Flügel geben	to allow; to consent; (lit.) to give wings	dar alas; consentir; engreír
303	Welch schlimmer Schmerz!	what terribly pain!	¡qué dolor terrible!; ¡que pena!; [expresión que denota compasión de alguien que da lástima]; pobrecito, qué pena; ¡qué pena!
304	stark schmerzen	to hurt terribly	doler terrible
