ID	Deutsch	English	Español	Italiano	Français
100	viel; viele	a lot; much; many; much	mucho; mucha; muchos; muchas; harto; bastante; abundante; harto; mucho; varios; demasiado; bastante; mucho; bastante; gran cantidad; cuantioso; numeroso; gran porción; profusamente; tanto	molto; molta; molti; molte; troppo; sufficiente; abbondante; vari; grande quantità; numeroso	beaucoup de
101	reichlich vorhanden sein	to abound; to be abundant	abundar	abbondare	
102	vergrößern; vermehren	to increase	aumentar; acrecentar	aumentare; accrescere	
103	das meiste; die meisten	most	lo más	in più	
104	kollektive Rechte	collective rights	derechos colectivos	diritti collettivi	
105	er (sie) sagt, dass (er (sie) für viel Geld gekauft hat	he (she) says he (she) has bought for a lot of money	dice que ha comprado por mucha plata	dice che gli è costato molto comprarlo	
106	teuer	expensive	caro	caro	
107	teuer	expensive	caro	caro	
108	Menschenmenge	crowd	muchedumbre; gentía	moltitudine; folla	
109	Lamm	lamb	cordero; corderito	agnello; [tax: bin: Ovis aries]	
110	sehr	much; strongly	mucho	molto	
111	reichlich vorhanden sein	to abound; to be abundant	abundar	abbondare	
112	Polyeder	polyhedron	poliedro	poliedro	
113	Polyeder	polyhedron	poliedro	poliedro	
114	Hexe; mythische, Kinder essende alte Frau	witch; mythical old woman eating children	Achicay; bruja; anciana devoradora de niños que personifica el mal; mujer mala y devoradora de niños; mujer mala que no sabe ayudar a los pobres; espíritu antiguo maligno que devora seres humanos	Achicay; [strega; anziana divoratrice di bambini che impersona il male; donna cattiva che non sa aiutare i poveri; antico spirito maligno che divora gli esseri umani]	
115	Vermehrer; Vergrößerer	who makes increases	que hace aumentar	che fa aumentare	
116	vermehren; vergrößern	to increase	acrecentar; aumentar; multiplicar; pluralizar; aumentar en cantidad; reproducir	accrescere; aumentare; moltiplicare	
117	sich vermehren; sich vergrößern	to increase	acrecentarse; aumentarse; multiplicarse; crecer; ensancharse; aumentar considerablemente	accrescersi; aumentarsi; multiplicarsi; crescere; aumentare considerevolmente	augmenter (intr.)
118	Mehrzahl; Plural	plural	plural (número); plural	plurale (numero)	
119	Licht; Helligkeit; Schein	light; glow; sun	luz; claridad; resplandor	luce; chiarore; splendore	
120	Lampe; Leuchte; Laterne	lamp; lantern	lámpara; linterna	lampada; lanterna	
121	Lampe; Leuchte; Laterne; etwas Leuchtendes	lantern; lamp; something shining	linterna; candil; algo que alumbra	lanterna; candela; qualcosa che illumina	
122	Schein; Licht	shine; light	brillo; luz	brillio; luce	
123	beleuchten; anstrahlen	to brighten; to illuminate; to shine at; to give light to	alumbrar; iluminar	illuminare; dare luce	
124	sehr kleines Feuerholz	very fine firewood	leña muy menuda	legna molto piccola	
125	sich etwas greifen; sich jemandes oder einer Sache bemächtigen	to grasp something for oneself; to appropriate; to take possession of	agarrar algo para uno mismo; adueñarse	prendere qualcosa per se stesso; impossessarsi	
126	greifen; ergreifen; fangen; gemeinschaftlich jagen, ohne zu töten	to grasp; to grab; to take; to catch; to hunt together without killing	agarrar; atrapar; cazar junto sin matar	prendere; intrappolare; cacciare assieme; [senza uccidere]	
127	kratzen; scharren; schaben	to scrape; to scratch; to claw	raspar; escarbar	raspare; scavare	
128	Hacke	hoe	azada (para cultivar)	zappa (per coltivare)	
129	eine Pflanze zum erstenmal anhäufeln	to earth up a plant first time	aporcar la primera vez	ammontonare terra attorno al tronco	
130	klettern	to climb	trepar; subir agarrándose	scalare; salire aggrappandosi	
131	umherklettern	to climb around	subir cayéndose; jugar trepándose	arrampicarsi	
132	eine Pflanze zum erstenmal anhäufeln	to earth up a plant first time	aporcar la primera vez	ammontonare terra attorno al tronco	
133	Stroh; Späne; Splitter; kleines Feuerholz	straw; chips; splinter; small firewood	paja; astilla; leña menuda	asticella; legna piccola	
134	Gürteltier	armadillo	armadillo	armadillo; [tax. bin: dasypus novemeinctua]	
135	Pallay-Motiv in Geweben (Bedeutung unklar)	pallay motif in weaving (Bolivia, meaning unclear)	motivo pallay en tejidos (significado no claro)	motivo pallay; [è un motivo usato nella decorazione dei tessuti (il significato di questo motivo non è chiaro)]	
136	jemanden etwas zwischen den Zähnen tragen lassen	to make someone carry something between the teeth	hacer llevar con la boca	far trasportare con la bocca	
137	fließen; strömen; ausfließen; ausströmen	to run; to flow; to stream	manar (líquido)	scorrere [si riferisce a un liquido]	
138	Kaktus (Art)	a type of cactus	especie de cactus	achuma; [specie di cactus]	
139	Nasenbär; kleiner rötlicher Vierbeiner, dessen Penis ständig steif ist	South American coati; small reddish four-legged animal whose penis is always erected	nasua sudamericana; achuni; achuni - pequeño cuadrúpedo rojizo, con el pene siempre erecto	nasua; coati sudamericano; [piccolo quadrupede rossiccio, con il pene sempre eretto]; [tax. gen: Nasua]; [tax: bin: Nasua nasua]; [tax: bin: Nasua narica]; [tax: bin: Nasua nelsoni]	
140	Heilpflanze (Art) des Regenwaldes	kind of medicinal plant of the jungle	achuni-sanango; especie de planta medicinal de la selva	achuni-sanango; [specie di pianta medicinale della selva]; [tax. bin: Caryodaphnopsis fosteri]	
141	Penis des Achuni, in der Volksmedizin als Aphrodisiakum verwendet	penis of achuni, used in popular medicine as aphrodisiac	pene de achuni (según la creencia popular, el pene del achuni usado para hacer pusanga y para tomarlo raspado en aguardiente como afrodisíaco)	pene dell'achuni [secondo la credenza popolare, il pene dell'achuni è utilizzato per fare la pusanga e per berlo grattugiato con acqua ardente come afrodisiaco]	
142	Achupaya; ananas-ähnliche Pflanze (Art); der Agave ähnliche Pflanze der oberen Suni	achupaya; kind of ananas-like plant; plant similar to maguey of the upper suni	piña del monte; achupa; achupalla (planta silvestre y espinosa como la piña); planta semejante al magüey de la suni alta; piña; ananás; ananá	achupa; achupalla; bromelia; [pianta silvestre, simile al maguey, la cui corteccia è spinosa come l'ananas]; [tax. bin: Bromelia karatas]; [tax. gen: bromelia]; [tax. bin: Tillandsia straminea]; [tax. bin: Puya cerrateana]; [tax. bin: Puya herrerae]; [tax. bin: Pitcairnia ferruginea]; [tax. bin: Puya parviflora]	
143	Waage	scales	balanza (de platillos); pesas (del marco)	bilancia; bilancia; stadera	balance
144	Beutel (lang und schmal, gefranst, verziert)	pouch (long and narrow, fringed, very decorated)	bolsa (larga y estrecha, con franjas, adornada)	borsa [tipo di borsa larga e stretta, abbellita con frange]	
145	Wiesel	weasel	comadreja	donnola; [tax. bin: gen: mustela]	
146	Kürbisgewächs (Art); Kaigua; Pflanze des Regenwalds (Art, Hauptnutzung: Nahrung)	kind of pumpkin; achogcha; kind of plant of the jungle (main use: food)	caigua; pepino de comer; variedad de calabaza (cucurbitácea); planta de la familia de las cucurbitáceas de fruto alimenticio; achogcha; especie de planta de la selva (uso principal: alimento); cayhua	caigua; [varietà di zucca della famiglia delle cucurbitacee il cui frutto è commestibile]; [tax. bin: Cyclanthera pedata; fam: cucurbitaceae]; [tax. fam: cucurbitaceae; bin: Cyclanthera brachybotris]	
147	Quote; Rate; Ration; Verpflegung; Tagesration	quote; rate; ration; daily rations	cuota; pitanza; provisión diaria; ración; ración de coca	pietanza; razione; provvigione diaria	
148	gewähren; erteilen	to deal out	impartir; repartir; distribuir; repartir	impartire; ripartire	
149	zwischen den Zähnen tragen	to carry between the teeth	llevar entre los dientes; llevar algo con la boca; abocar	portare tra i denti; portare qualcosa con la bocca	emporter entre les dents
150	Pflanzen ausreißen; Stroh oder feines Feuerholz suchen	to uproot plants; to look for straw or small firewood	arrancar plantas; buscar paja o leña menuda	estirpare piante; cercare paglia o legna piccola	
151	sich wälzen	to roll over and over (oneself)	revolcarse	ruzzolare	
152	niesen	to sneeze	estornudar; decir achig	starnutire; [dire ett-ciù]	éternuer
153	Niesen	sneeze	estornudo	starnuto	éternué
154	niesen	to sneeze	estornudar; decir achig	starnutire; [dire ett-ciù]	éternuer
155	sich nähern (in Richtung des Sprechers)	to approach (in the speaker's direction)	acercarse (en dirección del hablante)	avvicinarsi (in direzione di chi parla)	
156	sich entfernen; weggehen; abreisen	to withdraw; to go away; to depart	alejarse; partir	allontanarsi; partire	
157	sich nähern	to approach	acercarse	avvicinarsi	s'approcher
158	sich nähern	to approach	acercarse; aproximarse	avvicinarsi	s'approcher
159	sich nähern	to approach	acercarse; aproximarse	avvicinarsi; approssimarsi	
160	jedenfalls; immerhin	in any case; at any rate; by all means; at all events; anyway	ha de ser; de todas maneras	deve essere; in tutti i modi	
161	Ade!; Auf Wiedersehen!	Good bye!	¡Adiós!	Addio!; Arrivederci!	
162	überrascht sein	to be amazed	estar sorprendido	essere sorpreso	
163	absichtlich	deliberately; purposely; on purpose	adrede; con intención; deliberadamente; intencionalmente; de propósito	con intenzione; deliberatamente; intenzionalmente; di proposito	
164	Adobe; Lehmziegel; sonnengetrockneter Lehmziegel	a brick baked in the sun	adobe	mattone	
165	sich quälen	to torment oneself	afanarse	tormentarsi; affannarsi	
166	stolz	haughty; proud	orgulloso	orgoglioso	
167	bekümmert	concerned	afligido; preocupado; afanado	afflitto; preoccupato; affannato	soucieux
168	schärfen; schleifen; anspitzen	to sharpen	afilar	affilare	
169	betrüben	to grieve; to worry	afligir	affliggere	
170	danken	to thank	agradecer	ringraziare	remercier
171	August	August	agosto	agosto	août
172	schwierig	difficult	difícil	difficile	
173	Aha!; Das also!; So also!	I see!	¡Ah; ya!; con que así	Ahh si!; vedo!; Ho capito!	
174	Entzündung hervorrufen; infizieren	to infect a wound; to inflame	infectar una herida; hacer infectar; inflamar	infettare una ferita; far infettare; infiammare	
175	Wie komisch!; Wie lustig!	How funny!	¡Qué cómico!; ¡Qué risa!	Che comico!; Che risate!; Che divertente!	
176	ah ah - lachen -	ah ah - to laugh -; to laugh	ah ah - reír -; reír sin control; carcajearse. No es bueno reírse así	ah ah (ridere); ridere senza controllo; sbellicarsi dalle risate (Non è educato ridere in questo modo)	ah ah -rire-
177	sehr schnell	very fast	muy rápido	molto rapido	
178	eilen; sich beeilen	to hurry	apurarse; apresurarse	affrettarsi; far presto	
179	ach so; ich weiß schon; aha	I see; I already know; aha	con que así; ya me enteré; [expresión irónica con que se trata de chantajear, pero también se usa en bromas]	me ne sono reso conto; [espressione ironica con la quale si scherza]	
180	entzündet; infiziert	infected; inflamed	infectado	infettato	
181	sich entzünden	to be infected; to be inflamed	infectarse; inflamarse	infettarsi; infiammarsi	
182	tadeln; rügen; belästigen; gut beraten	to berate; to rebuke; to bother; to molest; to give advices	resondrar; molestar; reprender; aconsejar bien	molestare; riprendere; consigliare bene	
183	ermüden; erschweren	to tire; to make difficult	cansar; fastidiar; ponerlo difícil	stancare; infastidire; rendere difficile qualcosa	
184	einer Sache oder jemandes müde sein; etwas schwierig finden	to feel tired of something; to find something difficult	cansarse de algo o alguien; sentir lo difícil	stancarsi di qualcosa o qualcuno; sentire che qualcosa è difficile	
185	[Herausforderung, Freude, sehr allgemein unter Trinkern]	[challenge, joy, verry common among drunkards]	¡aaji!; [desafío, alegría, muy común entre los borrachos]	¡aaji!; [espressione di sfida e allegria, molto comune tra gli ubriachi]	
186	folglich; infolgedessen; und so	thus; consequently; like this; like that	así; consiguiente	così; conseguentemente	ainsi; par conséquent
187	Beispiel	example	ejemplo	esempio	
188	Wermut; Absinth	wormwood	ajenjo	assenzio; [tax. bin: Artemisia absinthum]	
189	verstopfen (Magen); sich den Magen verderben	to stop up (stomach)	empacharse	saziarsi [mangiare fino all'indigestione]	
190	Aahi! rufen	"to shout ""Aahi!"""	"emitir el ""¡aaji!"""	emettere il grido ¡aaji!	
191	vor Kälte oder Schmerz zusammenschrumpfen	to shrink by cold or pain	encogerse de frío o dolor	restringersi; ritirarsi; [per sensazione di freddo o dolore]	
192	Knoblauch	garlic	ajo	aglio	
193	Heilpflanze (Art) des Regenwaldes	kind of medicinal plant of the jungle	ajos chiro; especie de planta medicinal de la selva	aglio chiro; [specie di pianta medicinale della selva]; [tax. bin: Gallizia corazema]	
194	Knoblauchwein; Heilpflanze (Art) des ecuadorianischen Regenwaldes, eine Kletterpflanze mit kräftigem Knoblauchgeruch, seine Rinde und Blätter werden gegen Rheuma und Arthritis verwendet	garlic vine; kind of medicinal plant of the Ecuadorian jungle, a climbing plant with strong garlic smell, its leaves and bark are used as medicine against rheumatism and arthritis	aju panga; ajus huasca; especie de planta medicinal de la selva ecuatoriana, planta trepadora de olor fuerte de ajo, con sus hojas y corteza se curan el reumatismo y la artritis	aji panka; [specie di pianta medicinale della selva ecuatoriana, rampicante di forte odore ad aglio, con le sue foglie e la corteccia si curano reumatismi e artrite]	
195	Heilpflanze (Art), Hauptnutzung: Medizin der Schamanen für Schutz und Kraft	laurel; clammy cherry; kind of medicinal plant, main uses: shaman medicine for protection and strength	laurel blanco; pardillo; especie de planta medicinal, usos principales: medicina de chamanes para protección y fuerza	alloro bianco; [specie di pianta medicinale il cui uso principale è medicina sciamanica]	
196	Knoblauchbaum; Baum (Art) des Regenwaldes, dessen Rinde und Blätter gegen Rheuma und Arthritis verwendet werden	garlic tree; kind of jungle tree whose leaves and bark are used as medicine against rheumatism and arthritis; garlic of the jungle	ajo sacha; vid de ajo; árbol de ajo; especie de árbol de la selva con cuyas hojas y corteza se curan el reumatismo y la artritis; especie de arbusto regional cuyas hojas y corteza tienen un marcadisimo olor a ajo. Es empleada en condimentos. Gran calmante de dolores y en emplastos, remedio contra enfermedades renales	ajo sacha; albero dell'aglio; [specie di albero della selva le cui foglie e corteccia hanno un fortissimo odore di aglio e sono usate per curare i reumatismi, l'artrite e le malattie renali, essendo un grande calmante del dolore]; [tax. bin: Mansoa alliacea]	
197	Knoblauchwein; Heilpflanze (Art) des ecuadorianischen Regenwaldes, eine Kletterpflanze mit kräftigem Knoblauchgeruch, seine Rinde und Blätter werden gegen Rheuma und Arthritis verwendet	garlic vine; kind of medicinal plant of the Ecuadorian jungle, a climbing plant with strong garlic smell, its leaves and bark are used as medicine against rheumatism and arthritis	ajus huasca; especie de planta medicinal de la selva ecuatoriana, planta trepadora de olor fuerte de ajo, con sus hojas y corteza se curan el reumatismo y la artritis	ajus huasca; [specie di pianta medicinale della selva ecuatoriana; rampicante dall'odore forte di aglio; le sue foglie sono utilizzate come cura dei reumatismi e dell'artrite]	
