qid	label	liderURI
Q52	neuter	http://tbx2rdf.lider-project.eu/tbx#neuter
Q53	neutralRegister	http://tbx2rdf.lider-project.eu/tbx#neutralRegister
Q54	newTerm	http://tbx2rdf.lider-project.eu/tbx#newTerm
Q55	nonstandardizedTerm	http://tbx2rdf.lider-project.eu/tbx#nonstandardizedTerm
Q56	noun	http://tbx2rdf.lider-project.eu/tbx#noun
Q57	obsoleteTerm	http://tbx2rdf.lider-project.eu/tbx#obsoleteTerm
Q58	other	http://tbx2rdf.lider-project.eu/tbx#other
Q59	otherAnimacy	http://tbx2rdf.lider-project.eu/tbx#otherAnimacy
Q60	otherGender	http://tbx2rdf.lider-project.eu/tbx#otherGender
Q61	otherNumber	http://tbx2rdf.lider-project.eu/tbx#otherNumber
Q62	outdatedTerm	http://tbx2rdf.lider-project.eu/tbx#outdatedTerm
Q63	parallelText	http://tbx2rdf.lider-project.eu/tbx#parallelText
Q64	partitiveDefinition	http://tbx2rdf.lider-project.eu/tbx#partitiveDefinition
Q65	partNumber	http://tbx2rdf.lider-project.eu/tbx#partNumber
Q66	phraseologicalUnit	http://tbx2rdf.lider-project.eu/tbx#phraseologicalUnit
Q67	plural	http://tbx2rdf.lider-project.eu/tbx#plural
Q68	preferredTerm	http://tbx2rdf.lider-project.eu/tbx#preferredTerm
Q69	preferredTerm-admn-sts	http://tbx2rdf.lider-project.eu/tbx#preferredTerm-admn-sts
Q70	properNoun	http://tbx2rdf.lider-project.eu/tbx#properNoun
Q71	proposedTerm	http://tbx2rdf.lider-project.eu/tbx#proposedTerm
Q72	public	http://tbx2rdf.lider-project.eu/tbx#public
Q73	rarelyUsed	http://tbx2rdf.lider-project.eu/tbx#rarelyUsed
Q74	recommendedTerm	http://tbx2rdf.lider-project.eu/tbx#recommendedTerm
Q75	regulatedTerm	http://tbx2rdf.lider-project.eu/tbx#regulatedTerm
Q76	regulatedTerm-admn-sts	http://tbx2rdf.lider-project.eu/tbx#regulatedTerm-admn-sts
Q77	serviceMark	http://tbx2rdf.lider-project.eu/tbx#serviceMark
Q78	shortcut	http://tbx2rdf.lider-project.eu/tbx#shortcut
Q79	shortForm	http://tbx2rdf.lider-project.eu/tbx#shortForm
Q80	singular	http://tbx2rdf.lider-project.eu/tbx#singular
Q81	sku	http://tbx2rdf.lider-project.eu/tbx#sku
Q82	slangRegister	http://tbx2rdf.lider-project.eu/tbx#slangRegister
Q83	standardizedTerm	http://tbx2rdf.lider-project.eu/tbx#standardizedTerm
Q84	standardizedTerm-admn-sts	http://tbx2rdf.lider-project.eu/tbx#standardizedTerm-admn-sts
Q85	standardText	http://www.lexinfo.net/ontology/2.0/lexinfo#standardText
Q86	starterElement	http://tbx2rdf.lider-project.eu/tbx#starterElement
Q87	string	http://www.lexinfo.net/ontology/2.0/lexinfo#string
Q88	supersededTerm	http://tbx2rdf.lider-project.eu/tbx#supersededTerm
Q89	supersededTerm-admn-sts	http://tbx2rdf.lider-project.eu/tbx#supersededTerm-admn-sts
Q90	symbol	http://www.lexinfo.net/ontology/2.0/lexinfo#symbol
Q91	synonym	http://www.lexinfo.net/ontology/2.0/lexinfo#synonym
Q92	synonymousPhrase	http://tbx2rdf.lider-project.eu/tbx#synonymousPhrase
Q93	technicalRegister	http://tbx2rdf.lider-project.eu/tbx#technicalRegister
Q94	trademark	http://tbx2rdf.lider-project.eu/tbx#trademark
Q95	tradeName	http://tbx2rdf.lider-project.eu/tbx#tradeName
Q96	transcribedForm	http://tbx2rdf.lider-project.eu/tbx#transcribedForm
Q97	transdisciplinaryBorrowing	http://tbx2rdf.lider-project.eu/tbx#transdisciplinaryBorrowing
Q98	translatedContext	http://tbx2rdf.lider-project.eu/tbx#translatedContext
Q99	translatedDefinition	http://tbx2rdf.lider-project.eu/tbx#translatedDefinition
Q100	translingualBorrowing	http://tbx2rdf.lider-project.eu/tbx#translingualBorrowing
Q101	transliteratedForm	http://tbx2rdf.lider-project.eu/tbx#transliteratedForm
Q102	variant	http://tbx2rdf.lider-project.eu/tbx#variant
Q103	verb	http://tbx2rdf.lider-project.eu/tbx#verb
Q104	vulgarRegister	http://tbx2rdf.lider-project.eu/tbx#vulgarRegister
Q105	workingElement	http://tbx2rdf.lider-project.eu/tbx#workingElement
