wd_lid,lemma,category,sense,definition
L230829,ablazio,Q1084,L230829-S1,(Geol.) erliebeak mekanikoki (higadura) zein kimikoki (disoluzioa) materia galtzea
L230829,ablazio,Q1084,L230829-S2,(Med.) erauzketa
L51137,abokatu,Q1084,L51137-S1,"judizioan, auzilarien eskubideak eta interesak defendatzen dituen eta lege-arazoei buruz aholkua ematen duen profesionala"
L51137,abokatu,Q1084,L51137-S2,"bitartekoa, arartekoa"
L50067,abokatutza,Q1084,L50067-S1,abokatuen jarduera; haien erakundea
L224776,abolitu,Q24905,L224776-S1,"(Zuz.) ohitura, lege edo arau bat bertan behera utzi, indargabetu"
L230815,abolizio,Q1084,L230815-S1,abolitzea (ekintza eta ondorioa)
L230820,abolizionismo,Q1084,L230820-S1,ohitura edo lege bat indargabetzea eskatzen duen jarrera edo doktrina; esklabotza eta heriotza-zigorrarena bereziki
L290201,abolizionista,Q7233569,L290201-S1,abolizionismoari dagokiona edo haren aldekoa
L230843,abomaso,Q1084,L230843-S1,"(Zool.) gatzagia, hausnarkarien urdailaren laugarren barrunbea"
L51833,abonamendu,Q1084,L51833-S1,"ikuskizun bat, zerbitzu bat eta abar denbora-tarte jakin batean erabiltzea posible egiten duen sarrera- edo tiket-multzoa"
L51833,abonamendu,Q1084,L51833-S2,harpidetza
L224622,abonatu,Q24905,L224622-S1,"losintxatu, balakatu"
L224622,abonatu,Q24905,L224622-S2,(Kont.) kontuen hartzeko aldean idatzi
L230839,abonu,Q1084,L230839-S1,abonatzea (ekintza eta ondorioa)
L224320,abordatu,Q24905,L224320-S1,(Itsas.) bi ontzik elkarrekin talka egin
L224320,abordatu,Q24905,L224320-S2,(Itsas.) ontzi batek beste bat harrapatzeko asmoz eraso
L290202,aborigen,Q7233569,L290202-S1,lurralde batean jatorrizkoa den norbait edo zerbait
L640373,aboro,Q380057,L640373-S1,"ugari, asko"
L223585,abortatu,Q24905,L223585-S1,"enbrioi edo fetu hila, edo amaren sabeletik kanpo bizitzeko gai ez dena, egotzi edo egotzarazi"
L50057,abortu,Q1084,L50057-S1,abortatzea
L50057,abortu,Q1084,L50057-S2,abortatzen den fetua
L230822,abortza,Q1084,L230822-S1,(Itsas.) belaontzi txikien azpialdean egonkortasuna handiagotzeko ezartzen den ohol edo xafla bertikala
L230831,abrasio,Q1084,L230831-S1,(Geol.) garraiatutako materialak (harri-zatiek) harriaren kontra jo eta higatzea; bereziki harri-zatiak daramatzan urak itsaslabarra higatzea
L230841,abrigu,Q1084,L230841-S1,"keinua, imintzioa (inoiz ez ona)"
L51779,abrikot,Q1084,L51779-S1,"(Bot.) abrikotondoaren fruitua, hori edo laranja-kolorekoa, oso mamitsua eta jaki ona dena"
L49021,abrikotondo,Q1084,L49021-S1,"(Bot.) bihotz-formako hostoak eta lore arrosa argiak dituen zuhaitza, fruta-arbola modura landatzen dena (Prunus armeniaca)"
L49896,absenta,Q1084,L49896-S1,beratzen egondako zenbait landare destilatuz lortzen den edari alkoholikoa
L50246,absentismo,Q1084,L50246-S1,"bertan egotea nahitaezkoa den tokira (lanpostu, eskola, legebiltzar eta abarretara) ez azaltzea"
L230840,absentzia,Q1084,L230840-S1,"(Med.) kontzientziaren etenaldi labur eta bat-batekoaren gisan agertzen den epilepsia-mota, uneko jarduera geldiarazten duena, baina erorialdi eta konbultsiorik gabea"
L51950,abside,Q1084,L51950-S1,"elizetan, burualde edo atzeko fatxadako zati irtena"
L223527,absolbitu,Q24905,L223527-S1,(Erl.) bekatuen barkamena eman
L223527,absolbitu,Q24905,L223527-S2,"(Zuz.) judizio batean, erruztatua errugabetzat jo"
L290203,absolutibo,Q7233569,L290203-S1,"(Hizkl.) deklinabideko kasu gramatikaletako bat, Ø kasu-atzizkiaren bitartez gauzatzen dena"
L49918,absolutismo,Q1084,L49918-S1,"estatuburuak, erregeak eskuarki, botere mugagabea duen gobernu-sistema. XVII. eta XVIII. mendeetan mendebaldeko Europako monarkien gobernu-eredua izan zen"
L290204,absolutista,Q7233569,L290204-S1,absolutismoari dagokiona edo haren alde dagoena
L290205,absolutu,Q7233569,L290205-S1,beste ezeren arabera hartzen ez dena
L50796,absoluzio,Q1084,L50796-S1,absolbitzea (ekintza eta ondorioa)
L50796,absoluzio,Q1084,L50796-S2,"(Erl.) penitentziako sakramentuan, bekatuen barkamena eta hartarako erritua"
L224623,absorbatu,Q24905,L224623-S1,"(Fis.) substantzia batek bere baitan erradiazioa, energia edo eskuarki jariakor den beste substantzia bat hartu, xurgatu"
L290206,absorbatzaile,Q7233569,L290206-S1,absorbatzen duena
L48846,absortzio,Q1084,L48846-S1,(Fis.) solido batean fluido bat edo likido batean gas bat xurgatua gertatzea
L48846,absortzio,Q1084,L48846-S2,(Fis.) erradiazioari materia zeharkatzean gertatzen zaion energia-galera
L290207,abstemio,Q7233569,L290207-S1,alkoholdun edaririk edaten ez duena
L223170,abstenitu,Q24905,L223170-S1,abstinentzia egin
L223170,abstenitu,Q24905,L223170-S2,"hauteskunde, erreferendum edo botazio batean parte ez hartu"
L49744,abstentzio,Q1084,L49744-S1,"hauteskunde, erreferendum edo botazio batean parte ez hartzea"
L49446,abstinentzia,Q1084,L49446-S1,"haragi-uztea, bijilia"
L49446,abstinentzia,Q1084,L49446-S2,(Med.) substantzia batekiko mendekotasun fisikoa duen pertsona batek hori hartzeari uztea
L294430,abstraktu,Q7233569,L294430-S1,izaki errealetan gauzatu edo gorpuztu gabe agertzen den ezaugarriari esaten zaio
L294430,abstraktu,Q7233569,L294430-S2,"(Art.) arteaz eta artistez mintzatuz, errealitatea irudikatu nahi ez duena"
L60670,abstraktu,Q1084,L60670-S1,"(Mat.) bere unitateen izaera adierazten ez duen zenbakia (adibidez, 2, 6 eta 7 zenbaki abstraktuak dira eta 2 zaldi, 6 zaldi eta 7 zaldi, ordea, zenbaki konkretuak)"
L51850,abstrakzio,Q1084,L51850-S1,ideia abstraktuak eratzeko adimen-prozesua eta -ondorioa
L60685,absurdo,Q1084,L60685-S1,"adimen-legeen kontrako ekintza edo esana, zentzugabekeria"
L230844,abulia,Q1084,L230844-S1,(Psikiat.) ezer egin nahi ez izatearen egoera patologikoa
L290208,abuliko,Q7233569,L290208-S1,abuliari dagokiona edo abulia duena
L49161,aburu,Q1084,L49161-S1,"funts handirik gabeko ustea, irudipena"
L49161,aburu,Q1084,L49161-S2,iritzia
L223742,abusatu,Q24905,L223742-S1,"zerbait nahiz norbait bidegabeki erabili, hartaz legez kanpo, neurriz kanpo edo gehiegikeriaz baliatuz"
L223742,abusatu,Q24905,L223742-S2,"jostatu, atsegin hartu"
L51814,abusu,Q1084,L51814-S1,abusatzea; zerbait nahiz norbait bidegabeki erabiltzea
L49697,abuztu,Q1084,L49697-S1,urtearen zortzigarren hila (31 egun)
L49697,abuztu,Q1084,L49697-S2,uzta
L52133,abzesu,Q1084,L52133-S1,(Med.) infekzio baten garapenak barrunbe batean sortzen duen zornea
L51485,abzisa,Q1084,L51485-S1,"(Mat.) koordenatu cartesiarren sisteman, puntuaren posizioa adierazteko koordenatuetako bat, delako puntutik ordenatu-ardatzerako zuzen zutaren luzeraren balioa duena (x)"
L49080,accesit,Q1084,L49080-S1,"lehiaketetan, sariaren hurrengo mailako aitorpena"
L50672,adabaki,Q1084,L50672-S1,saretua edo zulatua dagoenari josten zaion oihal edo ehunezko zatia
L50672,adabaki,Q1084,L50672-S2,"arazo bat konpontzeko edo, hartzen den behin-behineko erabakia"
L224321,adabatu,Q24905,L224321-S1,"konpondu, zuzendu"
L51343,adabegi,Q1084,L51343-S1,"enbor edo adar baten eta, oro har, zuraren begia"
L230821,adabeso,Q1084,L230821-S1,zuhaitzaren adar nagusietako bakoitza
L48762,adaburu,Q1084,L48762-S1,zuhaitz baten adar-multzoa
L49718,adagio,Q1084,L49718-S1,(Mus.) delako tempoa; tempo horretan jotzen den konposizioa edo atala
L49462,adaje,Q1084,L49462-S1,animalia baten adar-multzoa
L49711,adakera,Q1084,L49711-S1,adajea
L49711,adakera,Q1084,L49711-S2,zuhaitz baten adar-multzo eta eitea
L49927,adaki,Q1084,L49927-S1,"adar moztua, bereziki, adaxkak eta hostoak kendu zaizkiona"
L49538,adar,Q1084,L49538-S1,zenbait animaliak bekoki aldean dituzten hezurrezko luzakinetako bakoitza
L49538,adar,Q1084,L49538-S2,zenbait animaliaren buru aldeko luzakina
L49538,adar,Q1084,L49538-S3,zuhaitzaren enborretik ateratzen diren besoetako bakoitza
L49538,adar,Q1084,L49538-S4,"sirena, bereziki, lantegikoa"
L49538,adar,Q1084,L49538-S5,"animalia-adar hustua, ontzi gisa erabiltzen dena"
L49538,adar,Q1084,L49538-S6,beste ibai batera isurtzen den erreka edo ibaia
L49538,adar,Q1084,L49538-S7,zenbait gauza banatzen diren zati edo ataletako bakoitza
L49538,adar,Q1084,L49538-S8,"(Mus.) animalia-adar hustu eta zulatua, zenbait herri-musikatan musika-tresnatzat erabiltzen dena"
L294431,adarbakar,Q7233569,L294431-S1,adar bakarra duena
L49703,adarbakar,Q1084,L49703-S1,"alegiazko animalia, zaldi-gorputzez eta bekoki erdiko adar zuzen batez irudikatzen dena"
L294432,adarbakoitz,Q7233569,L294432-S1,adar bakarra duena
L60649,adarbakoitz,Q1084,L60649-S1,"alegiazko animalia, zaldi-gorputzez eta bekoki erdiko adar zuzen batez irudikatzen dena"
L260347,adardun,Q34698,L260347-S1,adarrak dituena
L290209,adarjotzaile,Q7233569,L290209-S1,"adarra jotzea, txantxetan ibiltzea atsegin zaiona"
L49117,adarjotze,Q1084,L49117-S1,txantxa
L49117,adarjotze,Q1084,L49117-S2,"engainua, iruzurra"
L49689,adarkada,Q1084,L49689-S1,animalia batek adarrez jotako kolpea
L51678,adarkadura,Q1084,L51678-S1,zerbait adarretan banatzea; adarrok elkarren artean duten antolamendua eta adar horietako bakoitza
L51678,adarkadura,Q1084,L51678-S2,"(Biol.) zurtoin, sustrai edo beste organo baten ardatzetik bigarren, hirugarren zein beste maila bateko adarrak eratzea"
L224143,adarkatu,Q24905,L224143-S1,animalia batek adar-kolpez jo edo zauritu
L224143,adarkatu,Q24905,L224143-S2,adarretan bereizi
L230826,adarki,Q1084,L230826-S1,animalien adarrak eginik dauden gaia
L225899,adarra jo,Q24905,L225899-S1,"iseka egin, trufatu"
L226494,adarrak ipini,Q24905,L226494-S1,bikotekidea beste batekin sexu-harremanak izanez engainatu
L230836,adarrondo,Q1084,L230836-S1,"adabegia, adarra ernatzen den gunea"
L290210,adartsu,Q7233569,L290210-S1,adar asko dituena
L224777,adartu,Q24905,L224777-S1,adarretan banatu
L60661,adarzabal,Q1084,L60661-S1,"(Zool.) oreinaren antzeko ugaztuna, adar luze eta zabalak eta orban zuriz jantzitako ilaje arrea dituena (Dama dama)"
L260348,adasdun,Q34698,L260348-S1,adatsa duena
L49540,adats,Q1084,L49540-S1,"buruko ileen multzoa, bereziki, luzea denean"
L49540,adats,Q1084,L49540-S2,"(Astron.) kometen gunea inguratzen duen hauts-hodeia, Eguzkiaren kontrako noranzkoan orientatzen dena"
L49586,adausi,Q1084,L49586-S1,zaunka
L50786,adaxka,Q1084,L50786-S1,adarkaduraren azken mailako adar txikia
L50786,adaxka,Q1084,L50786-S2,txirikorda
L52048,adberbio,Q1084,L52048-S1,(Hizkl.) aditzak adierazitakoari buruzko informazio osagarria ematen duen hitza edo hitz-multzoa. Bere baitan adizlagunak eta aditzondoak biltzen ditu
L290211,adbertsatibo,Q7233569,L290211-S1,(Hizkl.) aurkaria
L50449,adei,Q1084,L50449-S1,adeitasuna
L290212,adeigabe,Q7233569,L290212-S1,norbaitekiko harremanetan adeitasunik edo begirunerik erakusten ez duena
L49647,adeitasun,Q1084,L49647-S1,norbaitekiko harremanetan erakusten den begirune edo onginahia
L290213,adeitsu,Q7233569,L290213-S1,adeitasunez jokatzen duena
L208728,adi,Q83034,L208728-S1,norbait deitzeko edo arreta eskatzeko erabiltzen den hitza
L226078,adi egon,Q24905,L226078-S1,"zentzumenen bidez zerbaitez jabetzera jarri, eta bereziki begiratu, entzun"
L50948,adia,Q1084,L50948-S1,"deiadarra, auhena edo deitorea, bereziki, norbaiten heriotzak eragina"
L225638,adia galdu,Q24905,L225638-S1,adi egoteari utzi
L224779,adiakatu,Q24905,L224779-S1,adia egin
L49166,adibide,Q1084,L49166-S1,"zerbait argitu, adierazi edo ulertarazteko erabiltzen den egite, aipu edo gertaera"
L51693,adiera,Q1084,L51693-S1,"adimena, ezaguera"
L51693,adiera,Q1084,L51693-S2,"esanahia; bereziki, hitz batek esanahi bat baino gehiago dituenean, horietako bakoitza"
L290470,adierazezin,Q7233569,L290470-S1,ezin adieraz daitekeena
L294433,adierazgarri,Q7233569,L294433-S1,zerbait argi eta egoki adierazten duena
L294433,adierazgarri,Q7233569,L294433-S2,adieraz daitekeena
L48814,adierazgarri,Q1084,L48814-S1,"zerbait adierazten duen zera, seinalea"
L184947,adierazi,Q24905,L184947-S1,jakinarazi
L48791,adierazi,Q1084,L48791-S1,"(Hizkl.) hizkuntza-zeinuaren osagaietako bat, eduki edo kontzeptuari dagokiona"
L290471,adierazkaitz,Q7233569,L290471-S1,adierazezina
L230814,adierazkizun,Q1084,L230814-S1,adierazi behar den zera
L290472,adierazkor,Q7233569,L290472-S1,bizitasunez edo argiro adierazten duena
L230838,adierazkortasun,Q1084,L230838-S1,adierazkorra denaren nolakotasuna
L50314,adierazle,Q1084,L50314-S1,zerbait aditzera ematen duena
L50314,adierazle,Q1084,L50314-S2,magnitude baten balioa adierazten duen tresna
L50314,adierazle,Q1084,L50314-S3,interpretea; testu baten esanahia azaltzen edo argitzen duen pertsona
L50314,adierazle,Q1084,L50314-S4,"(Hizkl.) hizkuntza-zeinuaren osagaietako bat, forma edo irudi akustikoari dagokiona"
L48898,adierazpen,Q1084,L48898-S1,adieraztea (ekintza eta ondorioa)
L48898,adierazpen,Q1084,L48898-S2,jendaurrean zerbait jakinaraziz egiten den hitzaldia edo izkribua
L48898,adierazpen,Q1084,L48898-S3,"nork bere barnean duena adieraztea, bereziki, hizkuntzaren bidez"
L48898,adierazpen,Q1084,L48898-S4,(Mat.) ikur edota zenbakien bidezko edozein forma matematiko
L51352,adierazpide,Q1084,L51352-S1,"aditzera emateko bidea, baliabidea"
L51352,adierazpide,Q1084,L51352-S2,"zerbait adierazteko erabiltzen den ikur, irudi edo idatzizko baliabidea"
L290473,adierraz,Q7233569,L290473-S1,"aditua izateko erraza, ulerterraza"
L290474,adiezin,Q7233569,L290474-S1,ulertezina
L290475,adigabe,Q7233569,L290475-S1,"pertsonez mintzatuz, arreta jartzen ez duena"
L48824,adigai,Q1084,L48824-S1,kontzeptua
L290476,adigaitz,Q7233569,L290476-S1,ulergaitza
L290477,adigalkor,Q7233569,L290477-S1,adia galtzeko joera duena
L294434,adigarri,Q7233569,L294434-S1,ulergarria
L294434,adigarri,Q7233569,L294434-S2,entzuna izatea merezi duena
L50621,adigarri,Q1084,L50621-S1,azalpena
L50621,adigarri,Q1084,L50621-S2,esanahia
L230813,adigarritasun,Q1084,L230813-S1,ulergarritasuna
L225003,adikatu,Q24905,L225003-S1,"nekatu, unatu"
L290478,adikor,Q7233569,L290478-S1,beste pertsonekiko harremanetan haiek adeitasunez hartzen dituena
L49035,adimen,Q1084,L49035-S1,"ulertzeko ahalmena, pentsamendu bidez nor bere buruaz eta inguruaz jabetzeko ahalmena"
L49035,adimen,Q1084,L49035-S2,"egoera bati aurre egiteko, arazo bati irtenbidea emateko, zirkunstantzien arabera aukera egiteko ahalmena"
L260349,adimendun,Q34698,L260349-S1,adimena duena
L290479,adimengabe,Q7233569,L290479-S1,"adimenik ez duena, adimenik ez balu bezala jokatzen duena"
L290480,adimentsu,Q7233569,L290480-S1,ulertzeko edo ikasteko gaitasun handia duena
L50451,adin,Q1084,L50451-S1,"norbaiti edo zerbaiti buruz, jaio edo eratu zenetik igaro den denbora"
L50451,adin,Q1084,L50451-S2,giza bizitza denbora-jarraitutasuntzat hartua
L50451,adin,Q1084,L50451-S3,bizitza banatzen den zati bakoitza
L225800,adin izan,Q24905,L225800-S1,adin bereko izan
L225743,adina izan,Q24905,L225743-S1,"beste baten maila, balio, kalitate berekoa izan"
L267817,adinako,Q12259986,L267817-S1,neur daitekeen ezaugarri bat beste zerbait edo norbaiten mailakoa duena
L267818,adinbateko,Q12259986,L267818-S1,"hain handia, halako tamainakoa; handia, ona"
L225639,adindu,Q24905,L225639-S1,"zahartu, adin handi samarra izatera heldu"
L269589,adindu,Q7233569,L269589-S1,"adinean sartua, nagusia"
L260350,adindun,Q34698,L260350-S1,"adinean sartua, adin handikoa, adinekoa"
L260350,adindun,Q34698,L260350-S2,adinez nagusia
L267819,adineko,Q12259986,L267819-S1,"adinean sartua, adin handikoa, adinduna"
L290481,adingabe,Q7233569,L290481-S1,(Zuz.) adin-nagusitasunera heldu ez den pertsona
L290481,adingabe,Q7233569,L290481-S2,zerbaitetarako aski adin ez duena
L267820,adingabeko,Q12259986,L267820-S1,adingabea
L50804,adingabetasun,Q1084,L50804-S1,adingabea denaren nolakotasuna
L290482,adinkide,Q7233569,L290482-S1,adin edo garai berekoa
L290483,adinon,Q7233569,L290483-S1,kalitatez nahiz kantitatez erdi-mailakoa dena
L290483,adinon,Q7233569,L290483-S2,"arte makurrez eta trikimailuz jokatzen duena, lotsagabea"
L269587,adintsu,Q7233569,L269587-S1,adin handikoa
L50074,adio,Q1084,L50074-S1,agurra
L290484,adiposo,Q7233569,L290484-S1,gantzari dagokiona edo gantza duena
L49382,adiskidantza,Q1084,L49382-S1,adiskidetasuna
L48832,adiskide,Q1084,L48832-S1,norbaiti adiskidetasunez lotua dagoen pertsona
L48832,adiskide,Q1084,L48832-S2,"zaletua; bereziki, zaletasun berekoekin elkarte batean dagoena"
L230830,adiskidego,Q1084,L230830-S1,adiskidetasuna
L230832,adiskidekeria,Q1084,L230832-S1,kutunkeria
L48896,adiskidetasun,Q1084,L48896-S1,"bi pertsonak elkarri dioten begikotasun edo atxikimendua, odolean edo sexuan oinarritzen ez dena"
L48896,adiskidetasun,Q1084,L48896-S2,"bi erakundek, herrik, elkartek eta abarrek elkarrenganako duten begikotasuna edo atxikimendua"
L290485,adiskidetsu,Q7233569,L290485-S1,adiskidetasuna adierazten duena; adiskidetasunean oinarritua
L223198,adiskidetu,Q24905,L223198-S1,"adiskide bihurtu, bereziki, haserreturik edo etsaiturik zeudenak"
L223198,adiskidetu,Q24905,L223198-S2,"(Zuz.) auzia hasi aurretik, partaideak adostasunera iritsi"
L49090,adiskidetze,Q1084,L49090-S1,adiskide bihurtzea (ekintza eta ondorioa)
L49090,adiskidetze,Q1084,L49090-S2,"(Zuz.) auzia hasi aurretik, partaideak adostasunera iristea"
L51362,aditasun,Q1084,L51362-S1,"adi egotea, adi dagoenaren egoera"
L269654,aditu,Q7233569,L269654-S1,zerbaitetan jakinduria duena
L60632,aditu,Q1084,L60632-S1,zerbaitetan jakinduria duena
L60632,aditu,Q1084,L60632-S2,alor jakin batean ezagutza bereziak dituen pertsona
L50101,aditz,Q1084,L50101-S1,"(Hizkl.) ekintza, egoera, gertaera bat adierazten duen hitza, bertan gauzatzen diren denbora, pertsona eta abarren arabera aldatzen dena. Euskaraz nor, nork eta nori kasuek komunztadura dute aditzarekin"
L51192,aditzaile,Q1084,L51192-S1,entzulea
L51192,aditzaile,Q1084,L51192-S2,ulertzen duena
L50608,aditze,Q1084,L50608-S1,aditu aditzaren ekintza
L230810,aditzoin,Q1084,L230810-S1,"aditzaren aspekturik gabeko forma. Euskaltzaindiak ez du erabilera arautu. Dena dela, adizki jokatu gisa, *edin eta *ezan aditz laguntzaileen bidez eratutako aditz perifrastikoetan erabili ohi da. Adizki jokatugabe gisa, aldiz, oro har galdera erretoriko, agindu, atsotitz eta antzeko esapideetan erabili ohi da"
L49748,aditzondo,Q1084,L49748-S1,(Hizkl.) kasu-atzizkirik gabe adberbio-funtzioa betetzen duen hitza
L49424,adizkera,Q1084,L49424-S1,adizkia
L49705,adizki,Q1084,L49705-S1,aditzak har ditzakeen formetako bakoitza
L230819,adizkitegi,Q1084,L230819-S1,(Hizkl.) aditz-taula
L52161,adizlagun,Q1084,L52161-S1,(Hizkl.) adberbio-funtzioa betetzen duen kasu-atzizkidun izen-sintagma
L52089,adjektibo,Q1084,L52089-S1,"(Hizkl.) izen-sintagmaren atribuzio-osagaia, izena nolakotasun edo zehaztasunaren aldetik mugatzen duena. Izenondoak (izenaren eskuinekoak) eta izenlagunak (izenari ezkerretik -ko edo -en atzizkien bidez lotuak) biltzen ditu"
L49635,adjudikazio,Q1084,L49635-S1,(Zuz.) esleipena
L290486,adjudikaziodun,Q7233569,L290486-S1,izendatze; norbaiti zerbait dagokiola adieraztea
L290487,adlatibo,Q7233569,L290487-S1,"(Hizkl.) zenbait hizkuntzatan, bereziki norabidea adierazten duen deklinabide-kasua"
L48678,administrari,Q1084,L48678-S1,administrazioko langilea
L51624,administraritza,Q1084,L51624-S1,administrazioa
L290488,administratibo,Q7233569,L290488-S1,administrazioari dagokiona
L223637,administratu,Q24905,L223637-S1,zerbait zuzendu edo gobernatu
L223637,administratu,Q24905,L223637-S2,pertsona edo erakunde baten ekonomia zuzendu
L49826,administratzaile,Q1084,L49826-S1,administratzen duena
L50181,administrazio,Q1084,L50181-S1,administratzea (ekintza eta ondorioa)
L50181,administrazio,Q1084,L50181-S2,zerbitzu publikoa
L50181,administrazio,Q1084,L50181-S3,erakunde publikoen zerbitzuen multzoa
L49066,adobe,Q1084,L49066-S1,(Eraik.) pezoa
L230960,adobo,Q1084,L230960-S1,haragia eta beste elikagai batzuk kontserbatzeko edo ontzeko likidoa
L223768,adoptatu,Q24905,L223768-S1,"norberarena ez den umea, legeak xedatzen dituen baldintzak betez, seme-alabatzat hartu"
L49964,adopzio,Q1084,L49964-S1,adoptatzea (ekintza eta ondorioa)
L290489,adoragarri,Q7233569,L290489-S1,"gurgarria, adoratua izatea merezi duena"
L223332,adoratu,Q24905,L223332-S1,jainkotzat hartzen den zerbait gurtu
L51645,adorazio,Q1084,L51645-S1,adoratzea (ekintza eta ondorioa)
L49494,adore,Q1084,L49494-S1,"kemena, bizidunen indarra"
L49494,adore,Q1084,L49494-S2,"oztopo, neke eta arriskuei aurpegi emateko gaitasuna"
L290490,adoregabe,Q7233569,L290490-S1,adorerik ez duena
L224095,adoregabetu,Q24905,L224095-S1,adorea galdu edo kendu
