lexeme,lemma,statement
L1627,haizetsu,L1627-FF85ADCC-D81E-470E-BB2F-77A380CF415C
L1628,haizetu,L1628-E53C8877-6AB3-4B63-81F4-674DACABDFA4
L1629,haizetxo,L1629-7A0F4A35-C31A-49D0-8186-03BD677DA71B
L1630,haizetzar,L1630-E2CC41EC-BC0E-4C45-8F9A-22F2A1664C73
L1631,haizetze,L1631-8DBA81B2-4C92-47D3-98D8-714FE50C5A09
L1632,aizeun,L1632-1D5F49A2-4F77-41FE-97AA-A193D9CAAA54
L1633,aizexka,L1633-33635D8A-541B-4A2A-A1DA-B946B3D0FC68
L1634,haizeztari,L1634-723EB17A-F0E1-4828-99C2-A0EB35792E36
L1635,haizeztatu,L1635-DADA0FA7-9963-4C52-98E7-B0653C6B0C0A
L1636,aizina,L1636-7B37D1BA-5F38-4660-B7C9-B0383B81C39C
L1637,aizinadun,L1637-32BC85C9-7391-4AD6-9C09-69E93E397FE1
L1638,aizinant,L1638-317F20FE-BAEE-4C8A-98D7-62F936AC601C
L1639,aizinatu,L1639-3CE9DD23-0A9F-4E0F-9CFF-D20D166D8805
L1640,aizizi,L1640-787E5649-9986-45B9-8E45-4875F0ECA1AC
L1641,haizka,L1641-B2B69FA2-BF6D-4689-8799-03FB6DC5CBBA
L1642,aizkatu,L1642-35210984-5B92-4033-AD5A-DE9A3999D847
L1643,aizkiñ,L1643-7A0EDDC4-5837-4C2D-92A2-286F1A035C0A
L1644,aizko,L1644-E6A574E5-8209-4ABE-BF01-16BA89BE6DAD
L1645,aizkol,L1645-BF0C877C-4717-4FFF-8FE4-7C52CAB84F98
L1646,aizkolari,L1646-DDA5EB4C-32A5-49E8-AF35-ABE9774A65A2
L1647,aizkoldo,L1647-12097D0D-C6AC-47A5-BA57-A1E701D5EB32
L1648,aizkolketa,L1648-5C897068-96AD-47FA-A761-120227C9517B
L1649,aizkolko,L1649-80A70785-05D9-4EE8-8FA7-3A66FF159C68
L1650,aizkolta,L1650-5BB43777-679A-464F-AC11-25231183A9E0
L1651,aizkora,L1651-8ACE3D46-3E2E-44CF-AB1C-5E7D4484D08E
L1652,aizkoragile,L1652-8E172742-1A36-44D0-8B0C-E5B99EE782BC
L1653,aizkoragintza,L1653-50CB0392-9E3E-4771-A2EC-713FC79649FE
L1654,aizkorakada,L1654-6F2969DF-0C32-436E-B2E6-8B3669DD2E5A
L1655,aizkoraketa,L1655-8DA52EFF-36FB-43DB-80C2-798755DE70DF
L1656,aizkorategi,L1656-DAFE45AB-2AE6-409F-A318-2422C8B848EE
L1657,aizkoriala,L1657-7BBB52B6-DB64-49E3-B5D6-59D18F809D22
L1658,aizkorol,L1658-B2917F3C-0A1F-402D-B682-D73BB10BCF90
L1659,aizolbe,L1659-DB838A1B-8C69-47EE-A29F-0DD3968D9037
L1660,aizotegi,L1660-BD51671F-9559-4FBF-B929-3985B65B5C2C
L1661,ahizpa,L1661-0B3B8CCB-BF06-4045-8F37-77DF271C820F
L1662,ahizpaginarreba,L1662-B21516D7-2B4E-4358-9EB3-CF5DDA87154F
L1663,ahizpaizun,L1663-2592A99C-8486-4754-BEF5-D629486E1211
L1664,ahizpaño,L1664-2767235B-E461-4D6E-A9D8-1386A2EA37A5
L1665,aizpatan,L1665-6A31050A-3A73-4428-BECB-332CDCE44805
L1666,ahizpatasun,L1666-10EE493D-CBA6-4AB7-903A-45F33D95BDF3
L1667,ahizpatu,L1667-F7079E45-CC34-4DA9-8B5A-1DFE3F96A65A
L1668,ahizpatxo,L1668-6F4779B8-2640-4A60-833A-26A1386DF7A3
L1669,ahizpatzako,L1669-F9A46071-34F7-42EF-B422-F13EEDC0DB83
L1670,haizpe,L1670-FB4EEC6D-77BF-43F3-B2B2-90E076BEAF4F
L1671,ahizperdi,L1671-AC69974F-9DB1-4398-B8DB-0DED607020F3
L1672,aizpil,L1672-1D6EE810-934D-4025-92CF-E2B00056A930
L1673,aizpiltze,L1673-37B115F3-BF97-40DC-BBE7-60F19AF3F960
L1674,aizpuru,L1674-EB1C3B3B-6AC3-4A87-98BD-01566325CE68
L1675,aiztaga,L1675-1F577D8C-69A9-4199-8E45-5DDA139169F6
L1676,aiztagari,L1676-D156DAE4-F4CF-4612-A734-D7721AEE1865
L1677,aiztamakil,L1677-B3ED8289-5D00-4DAE-94C2-E410FC097D18
L1678,aizteri,L1678-A1ADA2E7-0EB2-447C-AF49-35F1B6173C90
L1679,aizto,L1679-A2614ABF-2E9A-43DB-B77D-49B589B30517
L1680,aiztorde,L1680-8477953C-ED44-466C-916F-6D2893A96E40
L1681,aiztotxo,L1681-B909838F-5F06-4210-B0DD-378A09F51D0D
L1682,aiztur,L1682-FC3CF452-C1CE-4F82-AB86-8034EC0B8699
L1683,haizu,L1683-8356BACE-DC8D-4FE6-8C62-C682EFA6AA22
L1684,haizugoa,L1684-B6FDCDF1-C486-47F2-BF17-253CAEB45439
L1685,haizukeria,L1685-BE98D264-A260-468F-82B9-DD83F80CDBAA
L1686,haizuki,L1686-32884DCD-B15A-4CA2-8A9A-AE3A5534ED20
L1687,aizun,L1687-D145FAF2-7036-4E9C-824D-B867B27EF03D
L1688,aizunkeria,L1688-97B70861-B2D5-4404-BEA5-70C043DB1052
L1689,haizutasun,L1689-2BE1EFEA-97B5-432F-917F-4CF90CBC70AD
L1690,haizutu,L1690-BD3A3E1F-38F2-43D3-8556-32C18F459613
L1691,ajaja,L1691-2B9ED514-5372-479B-9D18-776D62A78AD6
L1692,ajargatu,L1692-26C9672B-D1DB-42A6-B568-81E0C56692BB
L1693,aje,L1693-B14590C7-2B7A-4456-B822-23C05E59CE47
L1694,ajeatu,L1694-0A3FD0E1-388D-4F1D-8E32-2A20A1F1ABCD
L1695,ajetibo,L1695-934F6AE9-BBC4-470B-AD58-7F9C1A369487
L1696,ajetu,L1696-5C5EC500-65DF-4803-8057-BAC07ECA8B8B
L1697,ajitu,L1697-85B62894-5BA0-404C-8DAC-1B95BFAEAA4A
L1698,ajui,L1698-BC4E4402-9B0A-46F3-9469-5CA66A43AC5B
L1699,ajustatu,L1699-0EC40AD7-3C97-400F-9607-D48379A8A1A3
L1700,ajuste,L1700-3841A523-B3CB-4B6A-ABD6-541F7B0D6077
L1701,akabaera,L1701-76BB6FFC-0C2B-4BE7-9575-0DBAED974C39
L1702,akabagarri,L1702-3B0609BC-C3AB-4997-AC6A-DE0B5DF27101
L1703,akabaila,L1703-9D47CCFD-9DB3-45B9-B386-B471D4622B4B
L1704,akabaillu,L1704-9D39053E-52C2-45BC-9A40-BEFBAA72203E
L1705,akaballozko,L1705-4E33A4FE-8774-46BB-A9F9-C550BB776607
L1706,akabantza,L1706-D0888BF2-DD13-4D61-AE16-E92305210BBC
L1707,akabantzagabe,L1707-79E275C1-0111-4E7F-9437-FC66507661EE
L1708,akabarazi,L1708-3478EC14-7CD9-4EFA-9D01-479C31FB01D2
L1709,akabatu,L1709-C36828DD-C530-4527-B576-658D43CC9688
L1710,akabatzaile,L1710-5AB1C701-6749-4313-8AF9-976CE0C70292
L1711,akabatze,L1711-5333379E-507A-4650-96FB-2DD51D05D9CE
L1712,akabera,L1712-D69139E3-23D0-48E8-8C6D-CBF617A25F84
L1713,akabi,L1713-5B2F1C67-9680-4D2C-A981-2C502BF19A4E
L1714,akabo,L1714-3AE5B85A-EA93-4EF5-8E29-23D087ADA7A9
L1715,akabu,L1715-46C767F0-199C-4C45-98B3-C788B7E0CD29
L1716,akademia,L1716-2A29BBDB-C708-48B0-8D85-7F3EA8574255
L1717,akademitar,L1717-E45BF78D-0870-48CC-B9E6-11267B7CF825
L1718,akadoi,L1718-8435C4E5-7EC9-4209-9976-B9D5602A687A
L1719,akadoikeria,L1719-7DCA2578-87E7-47BE-8094-A19C5A067CC8
L1720,akadoiki,L1720-DD71E6A4-752B-40ED-945C-751332F43AEF
L1721,akadoitu,L1721-6B6D39FC-3DF0-4FEA-82F4-A97F156287B4
L1722,akal,L1722-E20D96BA-6930-45C6-8ADB-FCE1B0A366BF
L1723,akalami,L1723-3829D93E-16A1-45E3-B277-B4842CB5DE50
L1724,akalde,L1724-EB1D552D-CA93-46A4-8A2D-792C2D985081
L1725,akaldu,L1725-56BEDCCC-1975-4046-BF13-4F3C60B85F3E
L1726,akar,L1726-B838C1EF-CE33-46E9-985B-AC1091679D48
L1727,akara,L1727-66C4833E-7538-4D4A-9221-FD7169C01491
L1728,akaraki,L1728-A79D8D86-3963-4074-9F62-90222B11915D
L1729,akarraba,L1729-9FDCE68B-C9BC-484F-B3E5-72941E17900C
L1730,akartu,L1730-4B5D043C-815D-47BE-B8C4-8C23CEA4BABA
L1731,akaso,L1731-6E7EB632-FB49-47CE-8B7F-25D191B66CCD
L1732,akastu,L1732-D9EBB794-26C3-45D7-B953-7C49514E4CBC
L1733,akastun,L1733-CDA4E8A5-3552-4C7D-961F-E1C20A66575D
L1834,alabaina,L1834-C01808A7-6AAF-4E26-958E-A431ED85C83E
L1835,alabaizun,L1835-A9E4582E-BD86-49B0-A6A9-8216C750671B
L1836,alabaki,L1836-DE46EDCE-5EB3-42DF-B2C0-82CC7B5A9F9D
L1837,alabakoi,L1837-709094F9-EEDD-4D0E-8FFF-8FC8FDC93534
L1838,alabantza,L1838-B9927FB8-B956-466D-B2B0-15EF208E25C5
L1839,alabantzaldi,L1839-167B99BF-6A76-4BAF-A094-6FDECD508055
L1840,alabaño,L1840-7B0B9DE1-85B9-4785-A23D-08A894ECBE7C
L1841,alabasazan,L1841-D3CFB4C5-67AE-4468-8328-E5319CA2BAE2
L1842,alabaso,L1842-2AAE16A4-437A-4AED-B9FF-4415650E54A1
L1843,alabatasun,L1843-BBC2AA97-597D-4B10-B3A3-0996E52888D8
L1844,alabatu,L1844-B07F91BA-2F68-4A90-A8EB-0B7EFCF32A58
L1845,alabatxo,L1845-FBFEAAD3-45B6-4ADB-B441-0C804E15056F
L1846,alabatzaile,L1846-2B561490-88BA-497D-A081-BCCDF2684712
L1847,alabatzako,L1847-E9B5129C-FB96-4602-8258-5DD35CDCAE07
L1848,alabaza,L1848-4104C975-7CED-49E4-90E8-FE0785629FF8
L1849,alabea,L1849-E053E058-DFA3-4D0B-BFA9-0881B3AF766A
L1850,halabehar,L1850-69CC4E25-056C-4577-A300-B03A462E7688
L1851,halabeharti,L1851-709DCF58-DEF7-40BF-A512-09FB9221F783
L1852,halaber,L1852-14DBABCD-3AFB-4446-A0F8-ED72FC0A3135
L1853,alaberean,L1853-E77CAFA5-5BC1-41EA-B903-4DA14D9A611F
L1854,halaberki,L1854-644D2BDC-316E-45AD-9807-666C4936BD7B
L1855,alabes,L1855-FD1BB89C-1F88-4306-8DA3-2EBD7DF21D3C
L1856,alabitxi,L1856-A3CBBAAE-E2DE-4237-9D93-B26865EE0513
L1857,halabiz,L1857-A754D251-14E4-4896-963F-18208D4FF63C
L1858,aladura,L1858-9FBC5743-D4F5-4D8B-A720-4E0B753BE98E
L1859,alaen,L1859-97CBEF3E-8DC6-4DFD-A9FA-F739061CDFF6
L1860,alafede,L1860-646DFC8D-BA37-411C-91A0-5AFFEC678542
L1861,alagai,L1861-4AD1E253-F180-48D5-A413-A77E1B5A0A8B
L1862,alagaia,L1862-CBAFE599-6A37-4527-92AC-E545FFABC5FD
L1863,alagala,L1863-34370A9B-EBCA-4AB2-B33C-695CB8E6E324
L1864,alagar,L1864-466B5B51-5671-45C3-9A9D-779C636CC63C
L1865,alagera,L1865-202A4C73-BB37-4F7B-8799-64A908A24477
L1866,alagest,L1866-AD5646E6-D0C2-4E1F-84B6-8306E659FE70
L1867,alhagia,L1867-401F5E34-8E72-4005-ACAF-959D2320F979
L1868,alagrantza,L1868-5EC06069-1817-4953-84EE-D84501E41EC8
L1869,alagune,L1869-95B04011-27F2-4857-9321-B9F7FEE805B6
L1870,alai,L1870-F1F963E4-3365-4D1A-99A8-62296DCA51F0
L1871,alaiagotu,L1871-7D4C2CEA-32C5-4B2E-A7AE-485781297F48
L1872,alaiatu,L1872-808D41F4-3CC2-45D3-96D8-9E6BCAC381C2
L1873,alaibide,L1873-D7962702-2F2C-4AE1-B217-11D3D32505B5
L1874,alaide,L1874-86E50897-142B-43D7-9251-B72B1F10AF2D
L1875,alaiera,L1875-3C97918D-F905-4BA2-9510-8823F8A8BEC3
L1876,alaierazi,L1876-2994F1AD-73A8-4FB6-8CDD-96B8BA89A123
L1877,alaigarri,L1877-416D9CF3-ED82-4C3D-9001-A635996A7CEF
L1878,alaige,L1878-48F41BA7-AA6E-461E-848B-C566EF673BD3
L1879,alaigetu,L1879-88D04DD6-F522-4702-A364-5DF627DF0A14
L1880,alaigoa,L1880-9E4E948C-09CB-44DC-A720-EF41FBFEE9B8
L1881,alaiki,L1881-B6FB769F-B862-40C0-A373-6F32CCDD59CA
L1882,alaikida,L1882-19013D86-E8ED-4C7A-8ECA-039C62E7FB27
L1883,alaikiro,L1883-2D4CB7ED-C138-47C4-840E-0BF978B056D6
L1884,alain,L1884-B9D2116B-1133-41E8-94EE-0267BCED877E
L1885,alainan,L1885-C2BD9CD2-9E23-4995-9E4A-7E628E352A5C
L1886,alaino,L1886-7A51FBBA-2EBB-4641-BE96-91AD5D17F2AF
L1887,alaintso,L1887-08D23979-84A9-406C-A86C-A32E33D17A11
L1888,alainxe,L1888-CA8ABBC2-41AD-476A-890F-2823CFDCC49C
L1889,alaio,L1889-C56DAAEC-B323-4C01-AFC9-C3BCE6CBFBB6
L1890,alairo,L1890-0C3E79E0-EF37-4BC0-BE97-A728512CD59A
L1891,alaitasun,L1891-9C4206DF-6FFA-480F-B181-8FCD0A07029D
L1892,alaitsu,L1892-65DD82C5-3680-4DFF-9EAA-853BF3BEC490
L1893,alaitu,L1893-FC2B86C9-F647-4E29-81D7-617916DE9E4D
L1894,alaja,L1894-9E58C415-EF1B-481E-9C73-DEB9B0818CB3
L1895,alajaina,L1895-13B733E5-73CC-4DB7-BAAB-533F1BE236D4
L1896,alajainkoa,L1896-429BF0BB-4ED4-473E-90AB-2FDC4986ED11
L1897,alajategi,L1897-78BA4ECD-0695-400B-A2E6-081124B44B7E
L1898,alajeria,L1898-7B2ECBB1-F2CF-4851-AA0A-1279C29ABF53
L1899,alaka,L1899-559F7CD2-204B-4AEA-A915-D484DDC40D2D
L1900,halakara,L1900-DF033FE0-8E18-458E-BEDE-34F3F2EAB0DB
L1901,alakatu,L1901-0B3B65E0-F017-4D2F-B4E9-38E28D686D6D
L1902,halakatu,L1902-E365A6CB-9E9D-4B98-A9D6-8F6041EF0DA5
L1903,halako,L1903-F9B2E034-64AF-4BF8-AC3F-8FA8F83FB854
L1904,halakotu,L1904-733DD5CE-69D3-4F36-B831-3175D47FA707
L1905,halakotz,L1905-1FC7D2B1-CF52-414F-B6FB-6E9FBB6657D8
L1906,halakret,L1906-273F58F0-7D17-4105-8DBE-85EA7228217B
L1907,alaleku,L1907-8396CC6B-E8A9-4B71-B517-96E061C225A6
L1908,alama,L1908-04ABDD44-669F-4850-A2A2-612E84A8FB34
L1909,alamen,L1909-44C8BA39-6F45-4B01-925C-D9C19D971452
